origin,audio_url,nationality,category,dates,name,title,technique,image_url,dimension,birthDate,deathDate,EA_id
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1979,Edna Andrade,Finale Drawing,Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-20-pma.jpg,Sheet: 11 x 10 inches (27.9 x 25.4 cm),1917,2008,cde67ae949ea
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1963,Edna Andrade,Figure Moving,Pen and black ink on thin beige wove paper,http://www.philamuseum.org/images/cad/large/2008-100-11-pma.jpg,Sheet: 13 x 17 inches (33 x 43.2 cm),1917,2008,805c025e37c9
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1961,Edna Andrade,Figure and Bird Line Drawing III,Pen and black ink on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-6-pma.jpg,Sheet: 14 x 17 inches (35.6 x 43.2 cm),1917,2008,1f287088cd84
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1948,Edna Andrade,Disappearing Man and Conch Shell,Opaque watercolor on beige wove paper,http://www.philamuseum.org/images/cad/large/2008-100-3-pma.jpg,Sheet: 8 1/8 x 9 3/4 inches (20.6 x 24.8 cm),1917,2008,ea2825391d0d
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1970,Edna Andrade,Decagon,White opaque watercolor or ink on tan card with silver foil facing paper,http://www.philamuseum.org/images/cad/large/2008-100-13-pma.jpg,Sheet: 9 x 9 inches (22.9 x 22.9 cm),1917,2008,d5a0d08f88d7
"Photograph taken in New Mexico, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1932 (negative); 1970s (print),Paul Strand,"Adobe Facade, New Mexico",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-719-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)",1890,1976,1c34ab28e471
"Photograph taken in New Mexico, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1932 (negative); 1970s (print),Paul Strand,"Adobe Facade, New Mexico",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-718-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)",1890,1976,23b239d936e0
"Photograph taken in New Mexico, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1932 (negative); 1970s (print),Paul Strand,"Adobe Facade, New Mexico",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-717-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)",1890,1976,915d8c47b2cf
"Photograph taken in New Mexico, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1932 (negative); 1970s (print),Paul Strand,"Adobe Facade, New Mexico",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-716-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)",1890,1976,2c828923b0bc
"Photograph taken in Connecticut, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1916 (negative); 1950s (print),Paul Strand,"Abstraction, Porch Shadows, Twin Lakes, Connecticut",Gelatin silver print,http://www.philamuseum.org/images/cad/large/1980-21-9-pma.jpg,Image (sight): 12 5/8 x 8 3/4 inches (32.1 x 22.2 cm),1890,1976,ed89ed85ca2b
"Photograph taken in Connecticut, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1915 (negative); 1917 (photogravure),Paul Strand,"Abstraction, Porch Shadows, Twin Lakes, Connecticut",Photogravure,http://www.philamuseum.org/images/cad/large/1967-285-266-pdp.jpg,Sheet: 11 11/16 x 8 1/16 inches (29.7 x 20.5 cm),1890,1976,c72f4693a1cb
"Photograph taken in Connecticut, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1915 (negative); 1917 (photogravure),Paul Strand,"Abstraction, Porch Shadows, Twin Lakes, Connecticut",Photogravure,http://www.philamuseum.org/images/cad/large/1966-205-49-50(10)-pdp.jpg,Sheet: 11 5/8 x 8 15/16 inches (29.5 x 22.7 cm),1890,1976,c8e5a68c76b1
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1916 (negative); 1917 (photogravure),Paul Strand,"Abstraction, Bowls, Twin Lakes, Connecticut",Photogravure,http://www.philamuseum.org/images/cad/large/1967-285-264-pdp.jpg,Sheet: 10 x 8 inches (25.4 x 20.3 cm),1890,1976,ae87bcc15759
"Photograph taken in Taos, New Mexico, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1932 (negative); 1932 (print),Paul Strand,"Abandoned House, Taos, New Mexico",Platinum print,http://www.philamuseum.org/images/cad/large/1985-113-5-rec.jpg,Image and sheet: 7 5/8 x 9 11/16 inches (19.4 x 24.6 cm),1890,1976,251400de98ec
"Photograph taken in New Mexico, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1932 (negative); 1960s (print),Paul Strand,"Abandoned House, New Mexico",Gelatin silver print,http://www.philamuseum.org/images/cad/large/1980-21-114-pdp.jpg,Image (sight): 8 5/8 x 10 15/16 inches (21.9 x 27.8 cm),1890,1976,93d3db6ab738
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1979,Edna Andrade,"Color Grid Diptych (Related to ""Grid,"" 1980)",Graphite and colored pencil on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-21-pma.jpg,Sheet: 8 9/16 x 11 inches (21.7 x 27.9 cm),1917,2008,8233181bfea5
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1916 (negative); 1917 (photogravure),Paul Strand,"Abstraction, Bowls, Twin Lakes, Connecticut",Photogravure,http://www.philamuseum.org/images/cad/large/1966-205-49-50(11)-pdp.jpg,Sheet: 11 11/16 x 8 1/16 inches (29.7 x 20.5 cm),1890,1976,cac117201dd8
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1941,Edna Andrade,Bailey Island Shore,Graphite on tan wove paper,http://www.philamuseum.org/images/cad/large/2008-100-1-pma.jpg,Sheet: 9 x 11 1/2 inches (22.9 x 29.2 cm),1917,2008,66bb295a4bae
"Photograph taken in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1946 (negative); printed later,Paul Strand,"""Death, The Victor,"" Tombstone, Vermont",Gelatin silver print,http://www.philamuseum.org/images/cad/large/1980-21-190-pma.jpg,Image: 9 7/16 x 7 1/2 inches (24 x 19.1 cm),1890,1976,fc4acc4a74e8
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,Philadelphia,American Art,1865-1880,Attributed to Allen and Brother,Center Table,"Walnut, Circassian walnut l veneer, ebonized and gilt decoration; brass; marble top",http://www.philamuseum.org/images/cad/large/2002-79-1-ov-CX.jpg,30 3/4 x 58 1/2 x 30 1/2 inches (78.1 x 148.6 x 77.5 cm),1835,1896,f0faf9b9ac62
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1785-95,Attributed to John Aitken,Side Chair,"Mahogany, lightwood stringing, ash, softwood",http://www.philamuseum.org/images/cad/large/2007-65-6-ov.jpg,"37 1/4 x 21 x 20 1/2 inches (94.6 x 53.3 x 52.1 cm)
Seat: 17 1/2 x 21 x 17 1/2 inches (44.5 x 53.3 x 44.5 cm)",1790,1814,94efe54a7332
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1790-93,Possibly by Thomas Affleck,Senate Armchair,"Mahogany, oak",http://www.philamuseum.org/images/cad/large/1977-3-1-pma-CX.jpg,"34 1/4 x 24 x 24 inches (87 x 61 x 61 cm)
Seat: 15 x 24 x 19 1/2 inches (38.1 x 61 x 49.5 cm)",1740,1795,79d803438812
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1771,Stand and frame made by the Workshop of Thomas Affleck,Fire Screen,Mahogany; modern embroidered silk textile,http://www.philamuseum.org/images/cad/large/1967-266-1v1-cons.jpg,"5 feet 2 1/4 inches x 19 x 17 1/2 inches (158.1 x 48.3 x 44.5 cm)
Height (Screen): 22 1/4 inches (56.5 cm)",1740,1795,7f130e6bd6e3
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1770-85,Attributed to Thomas Affleck,Chest-on-Chest,"Mahogany, mahogany veneer, red gum, white cedar, yellow poplar; brass",http://www.philamuseum.org/images/cad/large/1926-19-1-sl.jpg,8 feet 2 1/2 inches x 3 feet 11 1/2 inches x 1 feet 11 1/4 inches (250.2 x 120.7 x 59.1 cm),1740,1795,492e2a0d10ba
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1770-71,Made by the workshop of Thomas Affleck,Easy Chair,"Mahogany, yellow pine, white oak, white cedar, black walnut, tulip poplar",http://www.philamuseum.org/images/cad/large/2001-12-1view3.jpg,46 x 36 1/2 x 34 inches (116.8 x 92.7 x 86.4 cm),1740,1795,3fc7c2588746
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1770-71,Workshop of Thomas Affleck,Card Table,"Mahogany, yellow pine, yellow poplar, oak",http://www.philamuseum.org/images/cad/large/1984-6-1view1.jpg,28 7/8 x 39 x 19 3/4 inches (73.3 x 99.1 x 50.2 cm),1740,1795,64c4bccc6c24
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1760-70,Attributed to Thomas Affleck,Side Chair,"Mahogany, yellow pine",http://www.philamuseum.org/images/cad/large/2011-88-1v1-pma.jpg,40 3/16 x 22 1/16 x 22 7/16 inches (102.1 x 56 x 57 cm),1740,1795,601951106bc4
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,Philadelphia,American Art,1865-1880,Attributed to Allen and Brother,Center Table,"Walnut, Circassian walnut l veneer, ebonized and gilt decoration; brass; marble top",http://www.philamuseum.org/images/cad/large/2002-79-1-ov-CX.jpg,30 3/4 x 58 1/2 x 30 1/2 inches (78.1 x 148.6 x 77.5 cm),1835,1896,ea93a673d35f
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1785-95,Attributed to John Aitken,Side Chair,"Mahogany, lightwood stringing, ash, softwood",http://www.philamuseum.org/images/cad/large/2007-65-6-ov.jpg,"37 1/4 x 21 x 20 1/2 inches (94.6 x 53.3 x 52.1 cm)
Seat: 17 1/2 x 21 x 17 1/2 inches (44.5 x 53.3 x 44.5 cm)",1790,1814,7fa9f596fab0
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1770-71,Made by the workshop of Thomas Affleck,Easy Chair,"Mahogany, yellow pine, white oak, white cedar, black walnut, tulip poplar",http://www.philamuseum.org/images/cad/large/2001-12-1view3.jpg,46 x 36 1/2 x 34 inches (116.8 x 92.7 x 86.4 cm),1740,1795,8c947d7df0ef
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1771,Stand and frame made by the Workshop of Thomas Affleck,Fire Screen,Mahogany; modern embroidered silk textile,http://www.philamuseum.org/images/cad/large/1967-266-1v1-cons.jpg,"5 feet 2 1/4 inches x 19 x 17 1/2 inches (158.1 x 48.3 x 44.5 cm)
Height (Screen): 22 1/4 inches (56.5 cm)",1740,1795,219382b0068a
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1770-85,Attributed to Thomas Affleck,Chest-on-Chest,"Mahogany, mahogany veneer, red gum, white cedar, yellow poplar; brass",http://www.philamuseum.org/images/cad/large/1926-19-1-sl.jpg,8 feet 2 1/2 inches x 3 feet 11 1/2 inches x 1 feet 11 1/4 inches (250.2 x 120.7 x 59.1 cm),1740,1795,8dab3d134f18
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1770-71,Workshop of Thomas Affleck,Card Table,"Mahogany, yellow pine, yellow poplar, oak",http://www.philamuseum.org/images/cad/large/1984-6-1view1.jpg,28 7/8 x 39 x 19 3/4 inches (73.3 x 99.1 x 50.2 cm),1740,1795,75e2bd47783f
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1790-93,Possibly by Thomas Affleck,Senate Armchair,"Mahogany, oak",http://www.philamuseum.org/images/cad/large/1977-3-1-pma-CX.jpg,"34 1/4 x 24 x 24 inches (87 x 61 x 61 cm)
Seat: 15 x 24 x 19 1/2 inches (38.1 x 61 x 49.5 cm)",1740,1795,72df941365c1
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1760-70,Attributed to Thomas Affleck,Side Chair,"Mahogany, yellow pine",http://www.philamuseum.org/images/cad/large/2011-88-1v1-pma.jpg,40 3/16 x 22 1/16 x 22 7/16 inches (102.1 x 56 x 57 cm),1740,1795,06664aefe56b
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,Philadelphia,American Art,c. 1835,Made by American Porcelain Company (formerly Tucker Factory),Pitcher,Porcelain with enamel and gilt decoration,http://www.philamuseum.org/images/cad/large/1947-51-1v1-ov.jpg,9 7/8 x 12 5/8 x 3 inches (25.1 x 32.1 x 7.6 cm),1835,1837,901ed5348236
"Made in United States, North and Central America",,American,American Art,Late 19th century,Artist/maker unknown,"""Giant Bull's Eye"" Cruet, without Stopper",Colorless non-lead glass (pressed),http://www.philamuseum.org/images/cad/large/2001-22-17-neh.jpg,4 3/4 x 4 x 3 1/2 inches (12.1 x 10.2 x 8.9cm),,,d7159e10263d
"Made in Albany, New York, United States, North and Central America",,Albany,American Art,1847-50,Made by Albany Glass Works,Flask,Bluet non-lead glass (blown-molded),http://www.philamuseum.org/images/cad/large/1938-23-217-ov.jpg,Height: 7 inches (17.8 cm),,,c5c506233b68
"Made in Albany, New York, United States, North and Central America",,Albany,American Art,1847-50,Made by Albany Glass Works,Flask,Non-lead glass (olive),http://www.philamuseum.org/images/cad/large/1938-23-184-ov.jpg,Height: 7 inches (17.8 cm),,,728c5aaacb3e
"Made in Albany, New York, United States, North and Central America",,Albany,American Art,1847-50,Made by Albany Glass Works,Flask,Non-lead glass (olive),http://www.philamuseum.org/images/cad/large/1938-23-184-ov.jpg,Height: 7 inches (17.8 cm),,,379d01fd6eaf
"Made in Albany, New York, United States, North and Central America",,Albany,American Art,1847-50,Made by Albany Glass Works,Flask,Bluet non-lead glass (blown-molded),http://www.philamuseum.org/images/cad/large/1938-23-217-ov.jpg,Height: 7 inches (17.8 cm),,,880679c3e3d1
"Made in Bellaire, Ohio, United States, North and Central America",,Bellaire,American Art,1880-90,Made by Aetna Glass and Manufacturing Company,Napkin Holder with Salt and Pepper,Non-lead amber glass (pressed),http://www.philamuseum.org/images/cad/large/1928-95-365-neh.jpg,5 3/16 x 4 13/16 x 4 inches (13.2 x 12.2 x 10.2 cm),,,1f14e6ee1959
"Possibly made in Pittsburgh, Pennsylvania, United States, North and Central America",,Pittsburgh,American Art,1851-70,Possibly made by Adams and Company,Flask in the Form of a Scroll,Non-lead glass (aqua),http://www.philamuseum.org/images/cad/large/1938-23-168-ov.jpg,Height: 6 1/2 inches (16.5 cm),1851,1888,7b45fb4d419f
"Made in Pittsburgh, Pennsylvania, United States, North and Central America",,Pittsburgh,American Art,c. 1874,Made by Adams and Company,Bread Tray,Yellow glass,http://www.philamuseum.org/images/cad/large/1981-68-1-neh.jpg,1 1/8 x 11 x 8 1/8 inches (2.9 x 27.9 x 20.6 cm),1851,1888,b12f36862f70
"Made in United States, North and Central America",,American,American Art,Late 19th century,Artist/maker unknown,"""Giant Bull's Eye"" Cruet, without Stopper",Colorless non-lead glass (pressed),http://www.philamuseum.org/images/cad/large/2001-22-17-neh.jpg,4 3/4 x 4 x 3 1/2 inches (12.1 x 10.2 x 8.9cm),,,4cfe336420a7
"Made in Bellaire, Ohio, United States, North and Central America",,Bellaire,American Art,1880-90,Made by Aetna Glass and Manufacturing Company,Napkin Holder with Salt and Pepper,Non-lead amber glass (pressed),http://www.philamuseum.org/images/cad/large/1928-95-365-neh.jpg,5 3/16 x 4 13/16 x 4 inches (13.2 x 12.2 x 10.2 cm),,,c8334bdbd73c
"Possibly made in Pittsburgh, Pennsylvania, United States, North and Central America",,Pittsburgh,American Art,1851-70,Possibly made by Adams and Company,Flask in the Form of a Scroll,Non-lead glass (aqua),http://www.philamuseum.org/images/cad/large/1938-23-168-ov.jpg,Height: 6 1/2 inches (16.5 cm),1851,1888,e0d0e5fbccf1
"Made in Pittsburgh, Pennsylvania, United States, North and Central America",,Pittsburgh,American Art,c. 1874,Made by Adams and Company,Bread Tray,Yellow glass,http://www.philamuseum.org/images/cad/large/1981-68-1-neh.jpg,1 1/8 x 11 x 8 1/8 inches (2.9 x 27.9 x 20.6 cm),1851,1888,9eaa1849a188
"Made in Toledo, Ohio, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1949,Designed by Freda Diamond,"""Classic Crystal"" Glasses",Glass,http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg,"Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)",1905,1998,3a4b13555623
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1978-84; made 1985,Designed by Robert Venturi,"""Chippendale"" Chair",Bent laminated wood; plastic laminate,http://www.philamuseum.org/images/cad/large/1985-94-4.jpg,"37 1/2 x 23 1/8 x 18 1/2 inches (95.3 x 58.7 x 47 cm)
Seat height: 15 3/4 inches (40 cm)",1925,,44e93dc9b55e
"Made in New York, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1962,Designed by Erwine Laverne,"""Champagne"" Chair","Plexiglas, aluminum; upholstery",http://www.philamuseum.org/images/cad/large/1971-1-1.jpg,"31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)",1909,2003,1ae866c4dec7
"Made in Ojai, California, United States, North and Central America",,American,American Art,1996,Beatrice Wood,"""Blindman"" Pin",Silver,http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg,4 1/2 x 3 1/2 inches (11.4 x 8.9 cm),1893,1998,7938a58f5f44
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1947,Designed by George Nelson,"""Ball"" Wall Clock","Painted birch, steel, brass",http://www.philamuseum.org/images/cad/large/1983-50-4.jpg,Diameter: 13 3/8 inches (34 cm),1908,1986,0a955666d85e
"Made in United States, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1990 (restyled 1997),Karim Rashid,"""Aura"" Table","Metal, glass",http://www.philamuseum.org/images/cad/large/1999-154-1.jpg,18 3/4 x 35 1/2 x 32 1/8 inches (47.6 x 90.2 x 81.6 cm),1960,,05be8df7f7a3
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1904,Reproduction after a painting by A. Rom猫s,"""As a Little Child""",Color photomechanical reproduction,http://www.philamuseum.org/images/cad/large/1985-52-39491-pdp.jpg,"Plate: 20 1/2 x 14 3/8 inches (52 x 36.5 cm)
Sheet: 27 3/16 x 21 1/2 inches (69 x 54.6 cm)",1896,1908,8f04aba05ceb
"Made in United States, North and Central America",,American(bornGermany),European Decorative Arts and Sculpture,Designed 1952,Designed by Greta von Nessen,"""Anywhere"" Lamp",Aluminum and enameled metal,http://www.philamuseum.org/images/cad/large/1974-57-1-neh.jpg,14 x 14 x 14 inches (35.6 x 35.6 x 35.6 cm),1900,1978,52f6352f4917
"Made in United States, North and Central America",,American,Costume and Textiles,1980-83,Pearlie Posey,"""Animals"" Quilt",Cotton; running stitch,http://www.philamuseum.org/images/cad/large/2006-163-7-pma.jpg,76 1/4 x 62 1/2 inches (193.7 x 158.8 cm),1894,1984,967c7ddbbfc7
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-6-pma.jpg,75 x 50 inches (190.5 x 127 cm),1904,1988,eda6896a694c
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-7-pma.jpg,6 feet 3 inches x 14 inches (190.5 x 35.6 cm),1904,1988,673039af0b76
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-4-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 2 1/2 x 27 1/2 x 27 1/2 inches (6.4 x 69.9 x 69.9 cm)",1904,1988,09eb2e594ebc
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-5-pma.jpg,63 x 23 inches (160 x 58.4 cm),1904,1988,11681e3a887f
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1976,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-2-pma.jpg,47 x 22 inches (119.4 x 55.9 cm),1904,1988,d7d18374d21b
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mulberry bark paper, bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-1-pma.jpg,"open: 45 x 32 inches (114.3 x 81.3 cm)
closed: 7 x 30 1/4 x 30 1/4 inches (17.8 x 76.8 x 76.8 cm)",1904,1988,aec11b5b9760
"Made in New York, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1962,Designed by Erwine Laverne,"""Champagne"" Chair","Plexiglas, aluminum; upholstery",http://www.philamuseum.org/images/cad/large/1971-1-1.jpg,"31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)",1909,2003,7adbbeeeec27
"Made in New York, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1962,Designed by Erwine Laverne,"""Champagne"" Chair","Plexiglas, aluminum; upholstery",http://www.philamuseum.org/images/cad/large/1971-1-1.jpg,"31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)",1909,2003,0eab5208968d
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1947,Designed by George Nelson,"""Ball"" Wall Clock","Painted birch, steel, brass",http://www.philamuseum.org/images/cad/large/1983-50-4.jpg,Diameter: 13 3/8 inches (34 cm),1908,1986,5f18a1506597
"Made in Ojai, California, United States, North and Central America",,American,American Art,1996,Beatrice Wood,"""Blindman"" Pin",Silver,http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg,4 1/2 x 3 1/2 inches (11.4 x 8.9 cm),1893,1998,2a7f98c89ef8
"Made in United States, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1990 (restyled 1997),Karim Rashid,"""Aura"" Table","Metal, glass",http://www.philamuseum.org/images/cad/large/1999-154-1.jpg,18 3/4 x 35 1/2 x 32 1/8 inches (47.6 x 90.2 x 81.6 cm),1960,,d0979da9dfaa
"Made in United States, North and Central America",,American(bornGermany),European Decorative Arts and Sculpture,Designed 1952,Designed by Greta von Nessen,"""Anywhere"" Lamp",Aluminum and enameled metal,http://www.philamuseum.org/images/cad/large/1974-57-1-neh.jpg,14 x 14 x 14 inches (35.6 x 35.6 x 35.6 cm),1900,1978,1b6df44e54c1
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-7-pma.jpg,6 feet 3 inches x 14 inches (190.5 x 35.6 cm),1904,1988,fdea18d7684d
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm)",1904,1988,05b4f1f68a96
"Made in United States, North and Central America",,American,Costume and Textiles,1980-83,Pearlie Posey,"""Animals"" Quilt",Cotton; running stitch,http://www.philamuseum.org/images/cad/large/2006-163-7-pma.jpg,76 1/4 x 62 1/2 inches (193.7 x 158.8 cm),1894,1984,e353fec350a8
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-6-pma.jpg,75 x 50 inches (190.5 x 127 cm),1904,1988,c0ab3ef329ea
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm)",1904,1988,f3f55e55efd2
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm)",1904,1988,3828797ff404
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1976,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-2-pma.jpg,47 x 22 inches (119.4 x 55.9 cm),1904,1988,f2e5e363672f
"Made in Toledo, Ohio, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1949,Designed by Freda Diamond,"""Classic Crystal"" Glasses",Glass,http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg,"Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)",1905,1998,df0990e1ed8f
"Made in New York, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1962,Designed by Erwine Laverne,"""Champagne"" Chair","Plexiglas, aluminum; upholstery",http://www.philamuseum.org/images/cad/large/1971-1-1.jpg,"31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)",1909,2003,d9b1f339450b
