Artistname,Nationality,birthYear,deathYear,Titleofartwork,Typeofartwork,Dimensions,Credit,ImageURL,EA_id
Frederic Remington,American,1861,1909,"Coming Through the Rye (Over the Range), modeled 1902, cast in bronze 1902/06",Bronze with brown patina,72.4 x 71.1 x 47 cm (28 1/2 x 28 x 18 1/2 in.),Right side front edge of base: Frederic Remington\nRight side back edge of base: Copyrighted 1902 by / Frederic Remington\nBack side of base: Roman Bronze Works NY\n\nThe George F. Harding Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000095/19164_763626.jpg,55f409e0a204
Thomas Doughty,American,1793,1856,"Coming Squall (Nahant Beach with a Summer Shower), 1835",Oil on canvas mounted on cradled panel,52.1 x 71.4 cm (20 1/2 x 28 1/8 in.),Restricted gift of Mrs. Herbert A. Vance,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/36510_361294.jpg,9585a0a323f2
Benjamin Burt,American,1729,1805,"Communion Dish, 1781",Silver,"33.2 x 3.8 cm (13 1/16 x 1 1/2 in.)\nMarked near center on underside of bowl: ""B.BURT"" (in rectangle)","; engraved around rim of dish: a cherub's head and the words ""The Legacy of the Honble ISAAC ROYALL ESQ. to the CHURCH OF CHRIST in Medford 1781.""\n\nGift of the Antiquarian Society",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83415_383151.jpg,bb5779db1613
Emil Carlsen,American,1853,1932,"Connecticut Hillside, c. 1920",Oil on canvas,74.3 x 69.5 cm (29 1/4 x 27 3/8 in.),Walter H. Schulze Memorial Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/7425_623003.jpg,81be665d4f92
Ammi Phillips,American,1788,1865,"Cornelius Allerton, 1821/22",Oil on canvas,83.8 x 69.9 cm (33 x 27 1/2 in.),Gift of Robert Allerton,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000074/114832_628153.jpg,80245dd167da
Boston & Sandwich Glass Company Sandwich,Massachusetts,1825,1888,"Covered Dish, 1835/40",Pressed glass,12.7 x 26.7 x 22.2 cm (5 x 10 1/2 x 8 3/4 in.),Through prior gift of Emily Crane Chadbourne,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173698_1342298.jpg,949010240c39
New England Glass Company,American,1818,1888,"Covered Sugar Bowl, 1820/30",Pressed glass,13 x 12.4 x 9.8 cm (5 1/8 x 4 7/8 x 3 7/8 in.),Gift of the Antiquarian Society through Quinn E. Delaney,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83398_382949.jpg,4cc993ef9588
Georgia O'Keeffe,American,1887,1986,"Cow's Skull with Calico Roses, 1931",Oil on canvas,91.4 x 61 cm (36 x 24 in.),Alfred Stieglitz Collection gift of Georgia O'Keeffe,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/131385_1357734.jpg,bcc07448beb3
Sanford Robinson Gifford,American,1823,1880,"Cows in a Pond at Sunset, 1860",Oil on canvas,19.1 x 35.9 cm (7 1/2 x 14 1/8 in.),"signed lower left in wet paint: ""SR Gifford '60""\n\nThrough prior acquisition from the Charles H. and Mary F.S. Worcester Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/5563_354539.jpg,4f0f578e4fa6
Bancroft Woodcock,American,1732,1817,"Cream Pot, 1765/75",Silver,10.8 x 5.7 cm (diam. at base) (4 1/4 x 2 1/4 in.),"Stamped on bottom in Roman capitals ""B. WOODCOCK"" in a rectangle conforming to letter shapes\n\nGift of the Antiquarian Society",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4647_761160.jpg,048d6ffab0b0
Winslow Homer,American,1836,1910,"Croquet Scene, 1866",Oil on canvas,40.3 x 66.2 cm (15 7/8 x 26 1/16 in.),"Signed lower right: ""WINSLOW HOMER/-66-""\n\nFriends of American Art Collection; Goodman Fund",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/171650_1368515.jpg,ab1d5d837de6
George Inness,American,1825,1894,"Crossing the Ford, 1848",Oil on canvas,57.2 x 62.2 cm (22 1/2 x 24 1/2 in.),"Signed on reverse of canvas: ""Geo. Inness 1848""\n\nGift of Mrs. Edith Kepke MacDonald",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/4552_1171344.jpg,a87d08a787e2
Edward Warren Sawyer,American,1876,1932,"Curley-Custer Scout-Crow.Crow Agency.Montana.1912, 1912",Bronze,7 cm (2 3/4 in.),Gift of Edward E. Ayer,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/399_357931.jpg,e04eaf36a2ce
Paul Manship,American,1885,1966,"Dancer and Gazelles, 1916",Bronze\nh.,78.7 cm (31 in.)\nbase: 84.5 x 25.4 cm (33 1/4 x 10 in.),"Inscribed: ""Paul Manship c 1916""\n\nFriends of American Art Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/37039_1171284.jpg,c4eb7851dcf0
Toshiko Takaezu,American,1922,2011,"Dancing Brush, 1990",Glazed stoneware,91.4 x 55.9 cm (42 1/2 x 22 in.),Gift of Toshiko Takaezu,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55370_1181834.jpg,a3182039d029
John Singleton Copley,American,1738,1815,"Daniel Hubbard, 1764",Oil on canvas,127.2 x 100.8 cm (50 1/8 x 39 11/16 in.),"Signed on base of column: ""John S. Copley pinx. 1764""\n\nThe Art Institute of Chicago Purchase Fund",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000067/2605_587385.jpg,3cb98befc31f
Thomas Ball,American,1819,1911,"Daniel Webster, modeled and cast 1853",Bronze,76.2 x 30.4 x 27.9 cm (30 x 12 x 11 in.),"Incised at back of drapers: ""T Ball Sculpt/Boston Mass/1853/Patent assigned to / C W Nichols""\n\nGift of Richard and Mary L. Gray",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000116/5316_1163604.jpg,500091b5edb4
Attributed to Felix Huntington,American,1749,1823,"Desk, 1775/1790",Mahogany zebrawood and white pine,109.8 x 112.5 x 56 cm (43 1/4 x 44 1/4 x 22 in.),Gift of the Antiquarian Society through the Jessie Spalding Landon Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/83421_1354777.jpg,8aaaabed6ce9
Frank Lloyd Wright,American,1867,1959,"Desk, 1908",Oak,144.9 x 102 x 60.6 cm (57 x 40 1/8 x 23 7/8 in.),Restricted gift of the Graham Foundation for Advanced Studies in the Fine Arts,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4322_762498.jpg,dd82cbef7efb
Attributed to R. J. Horner and Company,American,1886,1915,"Desk, c. 1880",Maple and bird's-eye maple,174.6 x 46.4 x 43.8 cm (68 3/4 x 17 1/2 x 16 1/2 in.),Quinn E. Delaney fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000045/94002_475509.jpg,13217070d876
Designed by Frank Lloyd Wright,American,1867,1959,"Desk, 1937/39",Painted steel tubing maple work surface with later laminated surface,96.5 x 212.7 x 138.8 cm (38 x 83 3/4 x 54 5/8 in.),Gift of the Johnson Wax Company,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4323_762522.jpg,997303cde031
Ladislaus Zdzieblowski,American,1857,1929,"Desk and Bookcase, 1893",Oak,190.5 x 149.8 x 67.3 cm (75 x 59 x 26 1/2 in.),Gift of the family of Irene M. Groenier in her memory,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/172726_1332987.jpg,de7b4abef5c0
Frederick W. Macmonnies,American,1863,1937,"Diana, modelled 1889, cast after 1900",Bronze,76.2 x 50.8 x 48.3 cm (30 x 20 x 19 in.),Roger McCormick Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4965_728237.jpg,eab3c6e8d92d
Thomas Cole,American,1801,1848,"Distant View of Niagara Falls, 1830",Oil on panel,47.9 x 60.6 cm (18 7/8 x 23 7/8 in.),"Signed lower right: ""Thomas Cole / 1830""\n\nFriends of American Art Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000081/10141_672686.jpg,ba33618553a0
Ivan Albright,American,1897,1983,"Divided and Divided, 1941",Oil on canvas,68.6 x 106.7 cm (27 x 42 in.),Signed lower left: Ivan Le Lorraine Albright\n\nGift of Ivan Albright,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4537_728213.jpg,43c7e28a7522
Arthur Dove,American,1880,1946,"Dogs Chasing Each Other, 1929",Oil on canvas,45.4 x 54.3 cm (17 7/8 x 21 3/8 in.),Alfred Stieglitz Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/2751_354637.jpg,bdf073df8111
Ivan Albright,American,1897,1983,"Dorian Gray, 1945",Gouache on silk,41.9 x 7.6 cm (16 1/2 x 3 in.),Gift of Mr. and Mrs. Joseph Randall Shapiro,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/6144_1301227.jpg,9a3f355c0d81
Cecilia Beaux,American,1855,1942,"Dorothea and Francesca, 1898",Oil on canvas,203.5 x 116.8 cm (80 1/8 x 46 in.),"Signed lower left: ""Cecilia Beaux""\n\nA. A. Munger Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169441_1299303.jpg,2404c1a0f66a
Boston and Sandwich Glass Company,American,1825,1888,"Double-Plated Lamp, c. 1865",Cobalt blue opaque white and clear glass gilt bronze and marble\nh:,97.8 cm (38 1/2 in.),to top of shade\n\nThe Mrs. Maurice H. Mandelbaum Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/6030_762414.jpg,668e9d8192a0
Henry Benbridge,American,1743,1812,"Dr. Jonathan Potts (1745-1781), 1770/76",Oil on canvas,61.6 x 48.9 cm (24 1/4 x 19 1/4 in.),Allan and Sallie Bulley Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/5707_355458.jpg,6ed25ecdab69
George Inness,American,1825,1894,"Early Morning, Tarpon Springs, 1892",Oil on canvas,107.2 x 82.2 cm (42 1/8 x 32 3/8 in.),"Signed lower left: ""G. Inness 1892""\n\nEdward B. Butler Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000116/373_1164114.jpg,14ead88e02ca
Toby Edward Rosenthal,American,1848,1917,"Elaine, 1874",Oil on canvas,97.9 x 158.8 cm (38 9/16 x 62 1/2 in.),"Signed lower right: ""Toby E. Rosenthal Munich. 1874""\n\nGift of Mrs. Maurice Rosenfeld",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/437_1345331.jpg,c1d0eff75d7b
Frederic Remington,American,1861,1909,"Fire-Eater Raised His Arms, c. 1900",Oil on canvas,69.2 x 102.6 cm (27 1/4 x 40 3/8 in.),George F. Harding Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4990_625039.jpg,6ea9e7e55e93
Shepard Alonzo Mount,American,1804,1868,"Fish, 1842",Oil on panel,17.2 x 27.3 cm (6 3/4 x 10 3/4 in.),Restricted gift of Charles C. Haffner III,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5220_623323.jpg,91a5f4be673c
Frederic Remington,American,1861,1909,"First and Best Camp of the Trip, 1895",Oil on canvas,68.9 x 102.6 cm (27 1/8 x 40 3/8 in.),George F. Harding Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000143/4991_1490388.jpg,0bfb6fb6cc7b
Ivan Albright,American,1897,1983,"Flesh, 1928",Oil on canvas,91.4 x 61 cm (36 x 24 in.),Signed 1.r.: Ivan Le Lorraine Albright.\n\nGift of Ivan Albright,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4160_623545.jpg,f1f5e491b633
George Hitchcock,American,1850,1913,"Flower Girl in Holland, 1887",Oil on canvas,79.1 x 147.3 cm (31 1/8 x 58 in.),"Signed lower left: ""Geo. Hitchcock op. XXXV 1-8-8-7""\n\nPotter Palmer Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171649_1321650.jpg,f3d1a5e4afbb
Milton Avery,American,1885,1965,"Flowers and Lamp, 1942",Oil on canvas,71.1 x 91.4 cm (28 x 36 in.),Mary and Earle Ludgin Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4849_728021.jpg,c9c9449abac6
Georgia O'Keeffe,American,1887,1986,"From a Day with Juan IV, 1977",Oil on canvas,121.9 x 91.4 cm (48 x 36 in.),Alfred Stieglitz Collection bequest of Georgia O'Keeffe,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5446_623197.jpg,0faab4876dd1
Hannah Brown Skeele,American,1829,1901,"Fruit Piece, 1860",Oil on canvas,50.8 x 60.6 cm (20 x 23 7/8 in.),Restricted gifts of Charles C. Haffner III Mrs. Harold T. Martin Mrs. Herbert A Vance and Mrs. Jill B. Zeno; through prior acquisition of the George F. Harding Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/7048_359696.jpg,85f6bd212812
William Rush,American,1756,1833,"General Andrew Jackson, 1819",Terracotta,50.5 x 47.9 x 22.2 cm (19 7/8 x 18 7/8 x 8 3/4 in.),Restricted gift of Jamee J. and Marshall Field the Brooks and Hope B. McCormick Foundation and the Bessie Bennett W. G. Field Ada Turnbull Hertle Laura T. Magnuson and Major Acquisitions funds,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5223_760608.jpg,5211f56247a4
Charles Spencer Humphreys,American,1818,1880,"George Franklin Archer and the Archer Residence, 1871",Oil on canvas,62.2 x 76.5 cm (24 1/2 x 30 1/8 in.),"Signed lower right by impression in point: ""Chas. S. Humphries. 1871""\n\nThrough prior acquisition of the George F. Harding Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169405_1298989.jpg,baead657384b
Arthur B. Davies,American,1862,1928,"Golden Sea Garden, c. 1912",Oil on canvas,43.5 x 54.3 cm (16 3/8 x 21 3/8 in.),George F. Porter Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/1491_623743.jpg,4d46cd5b2169
Georgia O'Keeffe,American,1887,1986,"Green Mountains, Canada, 1932",Oil on canvas,30.5 x 91 cm (12 x 36 in.),Alfred Stieglitz Collection gift of Georgia O'Keeffe,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/3269_760716.jpg,e60298c26fc3
James McNeill Whistler,American,1834,1903,"Grey and Silver: Old Battersea Reach, 1863",Oil on canvas,50.8 x 68.6 cm (20 x 27 in.),"Signed lower left: ""Whistler 63""\n\nGift of Honor锟?and Potter Palmer",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/166067_1378332.jpg,f384c0f4ea17
