Artwork_Title,date,name,nationality,birth_date,death_date,dimensions_inch,medium,credit_line,description,image_url,EA_id
Early Evening in Summer,,Peter Hurd,American,1904,1984,6 1/16 x 8,watercolor and graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens",,http://emuseum.huntington.org/internal/media/dispatcher/16117/resize:format$003dfull,39c4cd4b1c8d
Elderly Woman in a Cap,1907,Charles Webster Hawthorne,American,1872,1930,15 x 11,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27965/resize:format$003dfull,f3dff0ffb006
English Village, 1843-1845,John Frederick Kensett,American,1816,1872,9 7/8 x 14,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16196/resize:format$003dfull,83fc048d5245
Enlarging the Composition,,Theodore Russell Davis,American,1840,1894,9 x 12 1/2,black ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18057/resize:format$003dfull,690c770e4dfb
"Entrance to Fishermans Wharf, San Francisco, Calif.",1936,E. A. Burbank,American,1858,1949,10 x 12 1/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",,http://emuseum.huntington.org/internal/media/dispatcher/22334/resize:format$003dfull,2a46d92f40b2
Eskimo Couple About to Go Shopping,,Samuel D. Ehrhart,American,,,19 1/2 x 24,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28001/resize:format$003dfull,06225d732722
Espiritu Santo-Texas, 1885-1932,Christian Jorgensen,American,1860,1935,14 1/2 x 10 1/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",,http://emuseum.huntington.org/internal/media/dispatcher/27931/resize:format$003dfull,ce2a1f976bda
"Evening, Santa Ynez",,Thomas Craig,American,1909,1969,15 x 22 5/8,watercolor and graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Anne Bacon",,http://emuseum.huntington.org/internal/media/dispatcher/17993/resize:format$003dfull,7efeb88c9834
Fallen Sequoia,1871,James David Smillie,American,1833,1909,9 x 6 1/4,graphite heightened with Chinese white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28300/resize:format$003dfull,3faeaf37dd49
Family Life,1855,American School,,,,9 3/4 x 11 3/4,gray wash on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20466/resize:format$003dfull,8f4f5d6862ba
Family on a Train,1931,Don Freeman,American,1908,1978,4 3/4 x 6 3/4,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30265/resize:format$003dfull,74ee308a5ce2
Farm House in France,1908,Joseph Basil Girard,American,1846,1918,sheet: 4 13/16 x 7 7/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/28491/resize:format$003dfull,1b7581cec342
Farm House in Surrey,1908,Joseph Basil Girard,American,1846,1918,sheet: 4 13/16 x 7 7/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/28495/resize:format$003dfull,012849a73fca
Farmer Takes a Wife,1940,Roger Medearis,American,1920,2001,sheet: 11 x 13,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Elizabeth Medearis",,http://emuseum.huntington.org/internal/media/dispatcher/30556/resize:format$003dfull,b3d994e9f30e
"Farmhouse, August 16, 1890",1890,Joseph Basil Girard,American,1846,1918,4 11/16 x 6 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20081/resize:format$003dfull,a57a00bab5b7
"Farmhouse, August 21, 1890",1890,Joseph Basil Girard,American,1846,1918,4 3/4 x 6 13/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20082/resize:format$003dfull,05617a61a750
"Farmhouse, March 27, 1876",1876,Joseph Basil Girard,American,1846,1918,4 13/16 x 7 5/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20078/resize:format$003dfull,9db3ff9575b3
Fear,1955,Don Freeman,American,1908,1978,14 7/8 x 19 1/4,"ink, gouache, and litho crayon","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/31594/resize:format$003dfull,15c2573128d9
Female Figure Study,,Frank Duveneck,American,1848,1919,9 1/4 x 6 1/8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16170/resize:format$003dfull,59ff91bfc64c
Female Figure Study,,Frank Duveneck,American,1848,1919,9 1/4 x 6 1/8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16171/resize:format$003dfull,e3ac83f1f9cc
Female Figure Study,,Frank Duveneck,American,1848,1919,9 1/4 x 6 1/8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16172/resize:format$003dfull,6658404c964c
Figure in a Landscape,1900,Frank Vincent Dumond,American,1865,1951,18 1/2 x 12 1/4,"black crayon, pen and black ink heightened with white on board","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16230/resize:format$003dfull,81c25e737a9b
Figure of a Prophet,,Frank Vincent Dumond,American,1865,1951,18 1/2 x 12 1/4,charcoal on gray paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16229/resize:format$003dfull,fa8bcecc99ee
Figure Studies,,Toby Edward Rosenthal,American,1848,1914,10 5/8 x 15 1/4,graphite on tan paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18050/resize:format$003dfull,9be33b800e09
Figure Study,,Colleen Browning,American,,,11 5/8 x 7 1/4,brown ink on buff paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Halsband",,http://emuseum.huntington.org/internal/media/dispatcher/16127/resize:format$003dfull,a817404b920b
"Figure Study for ""State Fair""",1929,John Steuart Curry,American,1897,1946,20 x 25,charcoal drawing,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20494/resize:format$003dfull,d19fa521e659
Figure with a Basket,,American School,,,,14 3/4 x 8 3/4,watercolor and gouache en grisaille on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18083/resize:format$003dfull,c16ae6c6fd48
Figures in a Park,1922,Jerome Myers,American,1867,1940,5 x 6 3/4,pastel on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Margery and Maurice Katz",,http://emuseum.huntington.org/internal/media/dispatcher/784/resize:format$003dfull,b2647f1ce6e4
Fillette au Grand Chapeau,1908,Mary Cassatt,American,1844,1926,25 1/4 x 19 1/2,pastel on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Arabella D. Huntington Memorial Collection",,http://emuseum.huntington.org/internal/media/dispatcher/1018/resize:format$003dfull,50aec98d96c3
"Fishermans Wharf, S.F., Calif.",1936,E. A. Burbank,American,1858,1949,10 9/16 x 12 13/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",,http://emuseum.huntington.org/internal/media/dispatcher/22326/resize:format$003dfull,e25ae35d8ae7
Five Mounted Cowboys,,Edward Borein,American,1872,1945,8 7/16 x 14,India ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/26355/resize:format$003dfull,b4d7e9761aa5
"Five Mule Team, Munroe",1829,Henry Jackson Morton,American,1827,1860,,graphite and watercolor heightened with white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18054/resize:format$003dfull,ed4273e47e42
"Florence, Duomo from the Mozzi Garden",1877,Henry Roderick Newman,American,1843,1917,9 7/8 x 13 3/4,watercolor and bodycolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27962/resize:format$003dfull,ea95d3b52be0
Flower Study,1902,Charles Erskine Wood,American,1852,1944,18 x 12,watercolor and pastel on paper laid on board,"The Huntington Library, Art Collections, and Botanical Gardens.",,http://emuseum.huntington.org/internal/media/dispatcher/17982/resize:format$003dfull,de4cb0d2261f
Flower Study,1902,Charles Erskine Wood,American,1852,1944,18 x 12,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens.",,http://emuseum.huntington.org/internal/media/dispatcher/17983/resize:format$003dfull,66cbe37f14e3
Fly in the Ointment,1891,George Benjamin Luks,American,1867,1933,11 1/2 x 9 1/4,pen and black ink on board,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16247/resize:format$003dfull,9726d0676da7
Foot of Sentinel Fall,1871,James David Smillie,American,1833,1909,9 x 6 1/4,graphite heightened with Chinese white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28309/resize:format$003dfull,5861dd740331
Forest Scene,1921,Charles Erskine Wood,American,1852,1944,14 x 9 15/16,watercolor and charcoal on paper,"The Huntington Library, Art Collections, and Botanical Gardens.",,http://emuseum.huntington.org/internal/media/dispatcher/17970/resize:format$003dfull,2699442d8c61
Forest Scene,,Charles Erskine Wood,American,1852,1944,13 15/16 x 10,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens.",,http://emuseum.huntington.org/internal/media/dispatcher/17971/resize:format$003dfull,3dfabb09298d
Forest Scene,,Charles Erskine Wood,American,1852,1944,13 15/16 x 10,watercolor and charcoal on paper,"The Huntington Library, Art Collections, and Botanical Gardens.",,http://emuseum.huntington.org/internal/media/dispatcher/17972/resize:format$003dfull,a837119bddfd
Forms Through a Panel,1933,Werner Drewes,American,1899,1985,11 7/8 x 9 1/2,"watercolor, gouache, and graphite on paper","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Kenneth W. Treiman",,http://emuseum.huntington.org/internal/media/dispatcher/18154/resize:format$003dfull,688515bfff93
"Fort Apache Arizona in 1873 from the West, January 7, 1910",1910,Joseph Basil Girard,American,1846,1918,5 3/8 x 7 9/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20136/resize:format$003dfull,6a9eb0a72f73
"Fort Apache, Arizona, in 1873, January 5, 1909",1909,Joseph Basil Girard,American,1846,1918,6 x 7 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20123/resize:format$003dfull,608826d4acd2
"Fort Corcoran, Arlington Heights, Va.",,Alfred Thompson,British,1840,1895,7 1/4 x 9 7/8,watercolor and graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18069/resize:format$003dfull,ed584bf096fc
"Fort D. A. Russell W.T. from the South-East, September, 1869",1869,Joseph Basil Girard,American,1846,1918,6 1/2 x 9 3/4,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20061/resize:format$003dfull,e4db810804ce
"Fort D.A. Russell W.T. from the North-East, July, 1869",1869,Joseph Basil Girard,American,1846,1918,5 3/16 x 9 1/8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20059/resize:format$003dfull,cc41fd5c5682
"Fort D.A. Russell, Wyoming in 1869 Seen from the North-East December 8, 1909",1909,Joseph Basil Girard,American,1846,1918,4 3/4 x 8 5/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20131/resize:format$003dfull,efac813c2087
"Fort Davis Texas in 1880, June 10, 1908",1908,Joseph Basil Girard,American,1846,1918,5 5/16 x 8 3/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20116/resize:format$003dfull,6a4376fc623e
"Fort Davis Texas in 1880, June 13, 1908",1908,Joseph Basil Girard,American,1846,1918,5 3/16 x 8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20117/resize:format$003dfull,036c14c5412b
"Fort Davis, Texas in 1880, February 14, 1910",1910,Joseph Basil Girard,American,1846,1918,5 x 7 5/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20141/resize:format$003dfull,46b847cb6517
"Fort Fetterman W.F. from the South-East, November 1869",1869,Joseph Basil Girard,American,1846,1918,5 3/8 x 9 9/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20064/resize:format$003dfull,4e3dcfd4b825
"Fort Fetterman, Wyoming in 1869, Dec. 13, 1909",1909,Joseph Basil Girard,American,1846,1918,5 15/16 x 8 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20132/resize:format$003dfull,211cc2c2bef1
"Fort Fetterman, Wyoming in 1869, Nov. 4, 1908",1908,Joseph Basil Girard,American,1846,1918,5 1/4 x 8 5/16,watercolor on paper mounted on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20119/resize:format$003dfull,3d1545846c59
"Fort Fred Steele W.T. from the North-East, July, 1870",1870,Joseph Basil Girard,American,1846,1918,6 3/16 x 9 3/4,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20065/resize:format$003dfull,e0d57bd785b9
"Fort Fred Steele W.T. from the North-West, September, 1870",1870,Joseph Basil Girard,American,1846,1918,6 13/16 x 9 7/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20068/resize:format$003dfull,0129c8ed09ab
"Fort Fred Steele Wy. on the Platte River, Dec. 29, 1909",1909,Joseph Basil Girard,American,1846,1918,5 15/16 x 9 1/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20135/resize:format$003dfull,622d45385cad
"Fort Fred Steele, Wyoming in 1870, Dec. 3, 1909",1909,Joseph Basil Girard,American,1846,1918,5 3/16 x 8 7/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20133/resize:format$003dfull,490ca734ce8b
"Fort Fred Steele, Wyoming in 1870, Dec., 3. 1909",1909,Joseph Basil Girard,American,1846,1918,5 15/16 x 8 9/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20130/resize:format$003dfull,bdc2706b9b03
"Fort Fred Steele, Wyoming in 1870, December 19, 1910",1910,Joseph Basil Girard,American,1846,1918,5 5/16 x 8 9/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20151/resize:format$003dfull,c6d6e8cea62f
"Fort Fred Steele, Wyoming in 1890, Nov. 16, 1908",1908,Joseph Basil Girard,American,1846,1918,6 x 9,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20121/resize:format$003dfull,b2b341074d85
"Fort Garry in 1871, October 29, 1890",1890,Joseph Basil Girard,American,1846,1918,4 1/8 x 6 1/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20092/resize:format$003dfull,efe9cfe42a46
"Fort Grant, Arizona in 1882, February 19, 1910",2/19/1910,Joseph Basil Girard,American,1846,1918,5 3/4 x 8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20142/resize:format$003dfull,318e4b55d9e7
"Fort Sanders W.T. from the South-West, August, 1869",1869,Joseph Basil Girard,American,1846,1918,5 x 9 3/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20060/resize:format$003dfull,4598479d70d9
"Fort Santiago, Manila - Santa Barbara Bastion, Dec. 28, 1908",1908,Joseph Basil Girard,American,1846,1918,5 5/8 x 7 11/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20122/resize:format$003dfull,d99cf1e6f6f2
"Fort Wayne, Mich. in 1877 Water Front, November 4, 1910",1910,Joseph Basil Girard,American,1846,1918,5 x 8 3/8,watercolor on paper mounted on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20147/resize:format$003dfull,05e324cad016
"Fort Wayne, Michigan Enterance in 1877, November 9, 1910",1910,Joseph Basil Girard,American,1846,1918,4 1/16 x 5 5/16,watercolor on paper mounted,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20148/resize:format$003dfull,9f3c3335ed71
"Fort Yuma in 1876, December 9, 1910",1910,Joseph Basil Girard,American,1846,1918,5 x 7,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20150/resize:format$003dfull,40d24a504a47
"Fort Yuma in 1876, May 20, 1908",1908,Joseph Basil Girard,American,1846,1918,5 5/16 x 7 1/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20115/resize:format$003dfull,14857d36e5f8
Fountain, 1885-1932,Christian Jorgensen,American,1860,1935,9 1/4 x 14 9/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",,http://emuseum.huntington.org/internal/media/dispatcher/27916/resize:format$003dfull,ac44f2d9369c
Four Eyes,1921,Guy Pène Du Bois,American,1884,1958,14 5/8 x 12 1/8,watercolor and ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Art Collectors' Council",,http://emuseum.huntington.org/internal/media/dispatcher/20853/resize:format$003dfull,a79210d22fa6
Four Groupings of Trees,,Joseph Basil Girard,American,1846,1918,5 3/8 x 7 3/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20160/resize:format$003dfull,b0bb0800a30e
Four Trees on a Hill,,Joseph Basil Girard,American,1846,1918,5 3/8 x 7 3/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20161/resize:format$003dfull,9fa5046f98d7
Fox Family in Burrow with Large Fox Approaching Holding Rabbit in its Mounth,,Joseph Basil Girard,American,1846,1918,6 3/4 x 8 7/8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20168/resize:format$003dfull,d7846f9835a4
Françoise Holding a Little Dog,1906,Mary Cassatt,American,1844,1926,26 7/8 x 22 3/4,pastel on paper,"The Huntington Library, Art Collections, and Botanical Gardens.\r\nArabella Huntington Memorial Collection",,http://emuseum.huntington.org/internal/media/dispatcher/220/resize:format$003dfull,37f7f3911fdf
From a Photo of Lincoln Taken in 1864,1931,E. A. Burbank,American,1858,1949,15 x 10 1/4,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",,http://emuseum.huntington.org/internal/media/dispatcher/22328/resize:format$003dfull,dc71e941868b
Fruit Seller,1951,John Mackie Falconer,American,1820,1903,7 1/2 x 9 3/4,watercolor and graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16309/resize:format$003dfull,2c950fdaef71
Games,1860,John Gadsby Chapman,American,1808,1889,,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18053/resize:format$003dfull,87f92b6a8068
Garlic,1983,Joe Price,American,1935,,sheet: 5 3/4 x 10 1/4,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Joe Price and M. Lee Stone Fine Prints",,http://emuseum.huntington.org/internal/media/dispatcher/30372/resize:format$003dfull,613f8de46616
Garlic,1983,Joe Price,American,1935,,sheet: 5 3/4 x 10 1/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Joe Price and M. Lee Stone Fine Prints",,http://emuseum.huntington.org/internal/media/dispatcher/30373/resize:format$003dfull,653bf6a6cdb5
"General Sigel's Corps at the Second Battle of Bull Run, August 29, 1862",,William F. Davenport,American,,,8 1/2 x 14,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20457/resize:format$003dfull,9a582d2e63df
"General View of Yosemite, from Summit of Cloud's Rest",1871,James David Smillie,American,1833,1909,9 x 6 1/4,graphite heightened with Chinese white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28316/resize:format$003dfull,ca35de1c4590
Gesturing Figure,1945,Francis de Erdely,American,1904,1959,9 3/8 x 7 7/8,gouache,"The Huntington Library, Art Collections, and Botanical Gardens. Edward W. and Julia B. Bodman Collection",,http://emuseum.huntington.org/internal/media/dispatcher/16115/resize:format$003dfull,ef25d0ad5947
Gibralter,1860,Samuel Colman,American,1832,1920,12 x 10 1/4,graphite heightened with white on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18029/resize:format$003dfull,37dfb39eecaa
Girl,,John Whitworth Robson,American,1881,1946,10 1/2 x 5 1/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson",,http://emuseum.huntington.org/internal/media/dispatcher/27846/resize:format$003dfull,8837ede21d0a
Girl in Bronx Park,1931,Alexander Zerdin Kruse,American,1890,1972,23 1/2 x 18,charcoal on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Kruse family trust",,http://emuseum.huntington.org/internal/media/dispatcher/28323/resize:format$003dfull,43c54a3e64aa
Girvenae [?] for Lisa,1924,Charles Erskine Wood,American,1852,1944,8 5/16 x 12 1/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens.",,http://emuseum.huntington.org/internal/media/dispatcher/16132/resize:format$003dfull,b39b4e824269
Gloucester Cathedral,,Joseph Pennell,American,1866,1926,20 7/8 x 19 1/2,"brush and black ink heightened with white, and pencil on gray paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18037/resize:format$003dfull,24a0e17e000e
God Bless...A Journal of Our Times,1941,Don Freeman,American,1908,1978,13 15/16 x 10 1/4,watercolor and ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30271/resize:format$003dfull,17d00fb9a583
"Golden Gate Park, S.F., Calif.",1931,E. A. Burbank,American,1858,1949,9 3/16 x 10 3/16,colored pencil on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",,http://emuseum.huntington.org/internal/media/dispatcher/22332/resize:format$003dfull,35c57e8ebd23
"Golding Gorge, upper Potomac",,Charles Lanman,American,1819,1895,7 1/2 x 9 1/8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18067/resize:format$003dfull,92c1a2b47e7e
"Gorge of the Merced, from Glacier Point Trail",1871,James David Smillie,American,1833,1909,9 x 6 1/4,graphite heightened with Chinese white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28317/resize:format$003dfull,b5df80a95e7f
Granite Rocks by the Sea,1888,Aaron Draper Shattuck,American,1832,1928,12 x 15,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18025/resize:format$003dfull,8b6a39ac0562
Grasmere,1856,John Frederick Kensett,American,1816,1872,9 3/4 x 13 3/4,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16197/resize:format$003dfull,a8ae57517408
