technique,provenance,title,imageUrl,dimensions,artist,type,url,EA_id
Pencil on paper.,Anonymous Gift,"Landscape, Rocky outcrop",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CRocky+Outcrop%2Ejpg,"6¼ x 8½""",Edward Mitchell Bannister,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=7,5da1e5c9b122
Charcoal on paper,Anonymous Gift,Landscape with Cows,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CCows%2Ejpg,"6½ x 9½""",Edward Mitchell Bannister,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=8,667002e100a5
Pencil on paper.,Anonymous Gift,"Landscape, Cows and Figure",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CCows+Figure%2Ejpg,"5½ x 8½""",Edward Mitchell Bannister,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=9,de55588a924e
Pencil on paper.,Anonymous Gift,"Landscape, Meadow, House on a Hill",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CMeadow+House%2Ejpg,"4½  x 6½""",Edward Mitchell Bannister,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=10,730ab6fda747
Pencil on paper.,Anonymous Gift,"Oxen, Cart and Two figures",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5COxen%2Ejpg,"8½ x 5¼""",Edward Mitchell Bannister,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=11,15953e0a00ed
Oil on canvas,Gift of M. Earl and Flora C. Grant,The Old Servant,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COld+Servant%2Ejpg,"27½ x 24½ x ¾""",Edwin Augustus Harleston,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edwin+Augustus+Harleston&whereclause=where+maker%3D%27Edwin+Augustus+Harleston%27+OR+cleanmaker%3D%27Edwin+Augustus+Harleston%27+OR+maker1%3D%27Edwin+Augustus+Harleston%27+OR+maker2%3D%27Edwin+Augustus+Harleston%27+OR+maker3%3D%27Edwin+Augustus+Harleston%27+OR+maker4%3D%27Edwin+Augustus+Harleston%27+OR+maker5%3D%27Edwin+Augustus+Harleston%27&current_record=1,e18e0d42e34d
Photomechanical reproduction,Gift of Robert A. Grimm,Le Monde Diplomatique - Fevrier 1977,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPosters%5CCleaver%2Ejpg,"19"" H x 25"" W","Eldridge Cleaver Legal Defense Fund, Jean Plantu (animation)",HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29&whereclause=where+maker%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+cleanmaker%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker1%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker2%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker3%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker4%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker5%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27&current_record=1,1b631ed8f4e4
Gold-toned gelatin silver print,Gift of Alice Weston,"Conversation (Africa II: The Turkana, Kenya)",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSunday%5FConversation%2Ejpg,"21.75"" x 17.25"" W",Elisabeth Sunday,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elisabeth+Sunday&whereclause=where+maker%3D%27Elisabeth+Sunday%27+OR+cleanmaker%3D%27Elisabeth+Sunday%27+OR+maker1%3D%27Elisabeth+Sunday%27+OR+maker2%3D%27Elisabeth+Sunday%27+OR+maker3%3D%27Elisabeth+Sunday%27+OR+maker4%3D%27Elisabeth+Sunday%27+OR+maker5%3D%27Elisabeth+Sunday%27&current_record=1,49c772cb8012
Photograph,Gift of Wayne & Shelby Kostman,Collection of historic photographs,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CE4%2EBMP,"6¾ x 9¾""",Elite Studios,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elite+Studios&whereclause=where+maker%3D%27Elite+Studios%27+OR+cleanmaker%3D%27Elite+Studios%27+OR+maker1%3D%27Elite+Studios%27+OR+maker2%3D%27Elite+Studios%27+OR+maker3%3D%27Elite+Studios%27+OR+maker4%3D%27Elite+Studios%27+OR+maker5%3D%27Elite+Studios%27&current_record=1,1d81dcb07e0a
Woodcut on rice paper,Gift of the Arts Council,Untitled,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCatlett%5CCatlett%5FUntitled%2Ejpg,"18.75"" x 15.5""",Elizabeth Catlett,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elizabeth+Catlett&whereclause=where+maker%3D%27Elizabeth+Catlett%27+OR+cleanmaker%3D%27Elizabeth+Catlett%27+OR+maker1%3D%27Elizabeth+Catlett%27+OR+maker2%3D%27Elizabeth+Catlett%27+OR+maker3%3D%27Elizabeth+Catlett%27+OR+maker4%3D%27Elizabeth+Catlett%27+OR+maker5%3D%27Elizabeth+Catlett%27&current_record=1,10353f5c689e
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Dream Dancing [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11e%2Ejpg,"Diameter: 12""",Ella Fitzgerald,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald&whereclause=where+maker%3D%27Ella+Fitzgerald%27+OR+cleanmaker%3D%27Ella+Fitzgerald%27+OR+maker1%3D%27Ella+Fitzgerald%27+OR+maker2%3D%27Ella+Fitzgerald%27+OR+maker3%3D%27Ella+Fitzgerald%27+OR+maker4%3D%27Ella+Fitzgerald%27+OR+maker5%3D%27Ella+Fitzgerald%27&current_record=1,eea13dda4a3c
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Fine and Mellow [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11f%2Ejpg,"Diameter: 12""",Ella Fitzgerald,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald&whereclause=where+maker%3D%27Ella+Fitzgerald%27+OR+cleanmaker%3D%27Ella+Fitzgerald%27+OR+maker1%3D%27Ella+Fitzgerald%27+OR+maker2%3D%27Ella+Fitzgerald%27+OR+maker3%3D%27Ella+Fitzgerald%27+OR+maker4%3D%27Ella+Fitzgerald%27+OR+maker5%3D%27Ella+Fitzgerald%27&current_record=2,cc2c4fc281b3
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Montreux '77 [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11a%2Ejpg,"Diameter: 12""",Ella Fitzgerald with the Tommy Flanagan Trio,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio&whereclause=where+maker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+cleanmaker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker1%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker2%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker3%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker4%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker5%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27&current_record=1,452505a7e343
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Montreux '77 [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11b%2Ejpg,"Diameter: 12""",Ella Fitzgerald with the Tommy Flanagan Trio,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio&whereclause=where+maker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+cleanmaker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker1%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker2%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker3%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker4%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker5%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27&current_record=2,754b49d1f82a
mixed media collage,Gift of Elliott Pinkney,Stop The Shooting,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPinkney%5FStopShooting+copy%2Ejpg,"34"" H x 48"" W",Elliott Pinkney,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elliott+Pinkney&whereclause=where+maker%3D%27Elliott+Pinkney%27+OR+cleanmaker%3D%27Elliott+Pinkney%27+OR+maker1%3D%27Elliott+Pinkney%27+OR+maker2%3D%27Elliott+Pinkney%27+OR+maker3%3D%27Elliott+Pinkney%27+OR+maker4%3D%27Elliott+Pinkney%27+OR+maker5%3D%27Elliott+Pinkney%27&current_record=1,3957e1f44144
Chromogenic print,Gift of Ethel Arnold Bradley and daughters,Mayor Tom Bradley,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTom+Bradley%5CPhotograph%2Ejpg,"14"" H x 11"" W",Elson-Alexander Studios,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elson%2DAlexander+Studios&whereclause=where+maker%3D%27Elson%2DAlexander+Studios%27+OR+cleanmaker%3D%27Elson%2DAlexander+Studios%27+OR+maker1%3D%27Elson%2DAlexander+Studios%27+OR+maker2%3D%27Elson%2DAlexander+Studios%27+OR+maker3%3D%27Elson%2DAlexander+Studios%27+OR+maker4%3D%27Elson%2DAlexander+Studios%27+OR+maker5%3D%27Elson%2DAlexander+Studios%27&current_record=1,b44def9ecc58
Paper,"Gift of Helen Colvig, In Memory of Mrs. Louise Roy","Advertising card, ""Watermellion's Awful Good...""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CWatermelon%2Ebmp,"14½ x 12""",Epicure Tea,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Epicure+Tea&whereclause=where+maker%3D%27Epicure+Tea%27+OR+cleanmaker%3D%27Epicure+Tea%27+OR+maker1%3D%27Epicure+Tea%27+OR+maker2%3D%27Epicure+Tea%27+OR+maker3%3D%27Epicure+Tea%27+OR+maker4%3D%27Epicure+Tea%27+OR+maker5%3D%27Epicure+Tea%27&current_record=1,514116c62b05
Oil on canvas,Gift of Mr. & Mrs. Ron Meyer,My Miss America,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CErnie%5FBarnes%5CAmerica%5FBarnes%2Ejpg,"49"" x 37""",Ernie Barnes,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ernie+Barnes&whereclause=where+maker%3D%27Ernie+Barnes%27+OR+cleanmaker%3D%27Ernie+Barnes%27+OR+maker1%3D%27Ernie+Barnes%27+OR+maker2%3D%27Ernie+Barnes%27+OR+maker3%3D%27Ernie+Barnes%27+OR+maker4%3D%27Ernie+Barnes%27+OR+maker5%3D%27Ernie+Barnes%27&current_record=1,6e8ac1b37985
Oil on canvas,Gift of Beatrice and Irving Zeiger,Pool Hall,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CErnie%5FBarnes%5CBarnes%5FUntitled%2Ejpg,"24"" H x  36"" W",Ernie Barnes,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ernie+Barnes&whereclause=where+maker%3D%27Ernie+Barnes%27+OR+cleanmaker%3D%27Ernie+Barnes%27+OR+maker1%3D%27Ernie+Barnes%27+OR+maker2%3D%27Ernie+Barnes%27+OR+maker3%3D%27Ernie+Barnes%27+OR+maker4%3D%27Ernie+Barnes%27+OR+maker5%3D%27Ernie+Barnes%27&current_record=2,344af1149a63
Molded plastic with paint,Gift of Patricia M. Moore,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBlack%5FAmericana%5CAunt+Jemima%2Ejpg,"5.25"" H x 2.5"" Diameter",F & F Mold & Die Works,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+F+%26+F+Mold+%26+Die+Works&whereclause=where+maker%3D%27F+%26+F+Mold+%26+Die+Works%27+OR+cleanmaker%3D%27F+%26+F+Mold+%26+Die+Works%27+OR+maker1%3D%27F+%26+F+Mold+%26+Die+Works%27+OR+maker2%3D%27F+%26+F+Mold+%26+Die+Works%27+OR+maker3%3D%27F+%26+F+Mold+%26+Die+Works%27+OR+maker4%3D%27F+%26+F+Mold+%26+Die+Works%27+OR+maker5%3D%27F+%26+F+Mold+%26+Die+Works%27&current_record=1,55d54c2fc36b
"Serigraph, ink on paper",Gift of Impressions Limited Atelier,The Sunflower Quilting Bee at Arles,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CSUNFLO%7E1%2EBMP,"33.5"" H x 35"" W",Faith Ringgold,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Faith+Ringgold&whereclause=where+maker%3D%27Faith+Ringgold%27+OR+cleanmaker%3D%27Faith+Ringgold%27+OR+maker1%3D%27Faith+Ringgold%27+OR+maker2%3D%27Faith+Ringgold%27+OR+maker3%3D%27Faith+Ringgold%27+OR+maker4%3D%27Faith+Ringgold%27+OR+maker5%3D%27Faith+Ringgold%27&current_record=1,639f2719f596
"Serigraph, ink on paper",Gift of Impressions Limited Atelier,Groovin' High,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CGroovin%2Ejpg,"32.25"" H x 44"" W",Faith Ringgold,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Faith+Ringgold&whereclause=where+maker%3D%27Faith+Ringgold%27+OR+cleanmaker%3D%27Faith+Ringgold%27+OR+maker1%3D%27Faith+Ringgold%27+OR+maker2%3D%27Faith+Ringgold%27+OR+maker3%3D%27Faith+Ringgold%27+OR+maker4%3D%27Faith+Ringgold%27+OR+maker5%3D%27Faith+Ringgold%27&current_record=2,aafc7e077b3e
Rotogravure,Gift of Edward T. Garcia,"""Bunch O' Blackberries"" (Cake Walk and Two-Step)",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CBunch%5FBlackberries+copy%2Ejpg,"14"" x 11""",Feist & Frankenthaler,LIBRARY/ARCHIVES,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Feist+%26+Frankenthaler&whereclause=where+maker%3D%27Feist+%26+Frankenthaler%27+OR+cleanmaker%3D%27Feist+%26+Frankenthaler%27+OR+maker1%3D%27Feist+%26+Frankenthaler%27+OR+maker2%3D%27Feist+%26+Frankenthaler%27+OR+maker3%3D%27Feist+%26+Frankenthaler%27+OR+maker4%3D%27Feist+%26+Frankenthaler%27+OR+maker5%3D%27Feist+%26+Frankenthaler%27&current_record=1,520d6c827ddb
Rotogravure,Gift of Edward T. Garcia,"""Smoky Mokes"" (Cake Walk and Two-Step)",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CSmokyMokes+copy%2Ejpg,"14"" x 11""",Feist & Frankenthaler,LIBRARY/ARCHIVES,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Feist+%26+Frankenthaler&whereclause=where+maker%3D%27Feist+%26+Frankenthaler%27+OR+cleanmaker%3D%27Feist+%26+Frankenthaler%27+OR+maker1%3D%27Feist+%26+Frankenthaler%27+OR+maker2%3D%27Feist+%26+Frankenthaler%27+OR+maker3%3D%27Feist+%26+Frankenthaler%27+OR+maker4%3D%27Feist+%26+Frankenthaler%27+OR+maker5%3D%27Feist+%26+Frankenthaler%27&current_record=2,dbeb1c1d4747
Ink on paper [brochure],Gift of Ethel Arnold Bradley and daughters,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTom+Bradley%5CFuneral%2Ejpg,"11"" x 17"" W",First African Methodist Espiscopal Church,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+First+African+Methodist+Espiscopal+Church&whereclause=where+maker%3D%27First+African+Methodist+Espiscopal+Church%27+OR+cleanmaker%3D%27First+African+Methodist+Espiscopal+Church%27+OR+maker1%3D%27First+African+Methodist+Espiscopal+Church%27+OR+maker2%3D%27First+African+Methodist+Espiscopal+Church%27+OR+maker3%3D%27First+African+Methodist+Espiscopal+Church%27+OR+maker4%3D%27First+African+Methodist+Espiscopal+Church%27+OR+maker5%3D%27First+African+Methodist+Espiscopal+Church%27&current_record=1,d89c974d0854
Gelatin silver prints mounted on board,Gift of Melvin Orsben,"Company ""L"" 24th Infantry - Ft. Benning, Georgia",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMilitary%5CCoL%5F24ID%2Ejpg,"39"" x 29"" each",Fort Des Moines Studio,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Fort+Des+Moines+Studio&whereclause=where+maker%3D%27Fort+Des+Moines+Studio%27+OR+cleanmaker%3D%27Fort+Des+Moines+Studio%27+OR+maker1%3D%27Fort+Des+Moines+Studio%27+OR+maker2%3D%27Fort+Des+Moines+Studio%27+OR+maker3%3D%27Fort+Des+Moines+Studio%27+OR+maker4%3D%27Fort+Des+Moines+Studio%27+OR+maker5%3D%27Fort+Des+Moines+Studio%27&current_record=1,5c5cbc2e7d01
Photograph,Gift of Meredith Livingston,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHazel+Scott%5CFamily+in+Italy%2Ejpg,"9"" H x 6.75"" W",Foto Levi,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Foto+Levi&whereclause=where+maker%3D%27Foto+Levi%27+OR+cleanmaker%3D%27Foto+Levi%27+OR+maker1%3D%27Foto+Levi%27+OR+maker2%3D%27Foto+Levi%27+OR+maker3%3D%27Foto+Levi%27+OR+maker4%3D%27Foto+Levi%27+OR+maker5%3D%27Foto+Levi%27&current_record=1,fd988f59be23
Haitian oils on canvas,Gift of the artist,Conte Vaudouesque,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CVaudouesque%2Ejpg,"36"" x 44""",Francois Turenne des Pres,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=1,93e11bb34ea7
Haitian oils on canvas,Gift of the artist,Dans Une Plage Caraïbe,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CPlage%2Ejpg,"37 x 31½""",Francois Turenne des Pres,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=2,28e02aff7883
Oil on canvas,Gift of the artist,Lidie et Tina,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CLidie%2Ejpg,"25 x 30""",Francois Turenne des Pres,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=3,e8f0e308ec72
Haitian oils on canvas,Gift of the artist,Deux Bonnes Femmes,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CFemmes%2Ejpg,"30 x 24""",Francois Turenne des Pres,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=4,d94e061b5153
Haitian oils on canvas,Gift of the artist,Lone Woman,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5Cdes+Pres%5CWoman%2Ejpg,"24 x 30""",Francois Turenne des Pres,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=5,b39b06256cce
"Haitian oils, masonite",Gift of the artist,Conversation a Trois,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CTrois%2Ejpg,"20 x 24""",Francois Turenne des Pres,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=6,eed183f52a67
