Title,Artist,Classification,Medium,Dimension,Owner,Image,Description,DateOfWork,CreditLine,Sitter,sitterBirthDate,sitterDeathDate,birthDate,deathDate,EA_id
Lillian Moller Gilbreth,Frank Stanley Herring,Painting,Oil on canvas,"Frame: 114.3 x 88.6 x 4.1cm (45 x 34 7/8 x 1 5/8"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/9700118a_1.jpg,,1929-1930,"National Portrait Gallery, Smithsonian Institution; gift of Ernestine Gilbreth Carey and Lillian Carey Barley",Lillian Evelyn Moller Gilbreth,1878,1972,1894,1966,20be01bd7e78
King Camp Gillette,Jean Mannheim,Painting,Oil on canvas,"97.2cm x 86.4cm (38 1/4"" x 34""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8400032A_1.jpg,,1911,"National Portrait Gallery, Smithsonian Institution; gift of the Gillette Company",King Camp Gillette,1855,1932,1863,1945,c1266a93fe04
John Glenn,Boris Artzybasheff,Painting,"Tempera, ink and pencil on Masonite","48.2cm x 38.1cm (19"" x 15""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/.jpg,,1962,"National Portrait Gallery, Smithsonian Institution; gift of Time magazine","John Herschel Glenn, Jr.",1921,,1899,1965,00f788b12055
Robert Hutchings Goddard,Emily Burling Waite,Painting,Oil on canvas,"71.1cm x 61cm (28"" x 24""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6800006a.jpg,,1967,"National Portrait Gallery, Smithsonian Institution; gift of an anonymous donor",Robert Hutchings Goddard,1882,1945,1887,1980,8df5c1e67b5b
Grant and His Generals,Ole Peter Hansen Balling,Painting,Oil on canvas,"58.4 x 92.7cm (23 x 36 1/2"") Frame: 100.3 x 134.6 x 12.7cm (39 1/2 x 53 x 5"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7610016A_2.jpg,,c. 1865,"National Portrait Gallery, Smithsonian Institution; transfer from the Library of Congress",Thomas Casimer Devin,1822,1878,1823,1906,d367155c870a
Grant and His Generals,Ole Peter Hansen Balling,Painting,Oil on canvas,"304.8cm x 487.7cm (120"" x 192""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6600066A_1.jpg,"Left to right: Thomas C. Devin (1822-1878), George A. Custer (1839-1876), Hugh J. Kilpatrick (1836-1881), William H. Emory (1811-1887), Philip H. Sheridan (1831-1888), James B. McPherson (1828-1864), George Crook (1830-1890), Wesley Merritt (1834-1910), George H. Thomas (1816-1870), Gouverneur Kemble Warren (1830-1882), George G. Meade (1815-1872), John G. Parke (1827-1900), William T. Sherman (1820-1891), John A. Logan (1826-1886), Ulysses S. Grant (1822-1885), Ambrose E. Burnside (1824-1881), Joseph Hooker (1814-1879), Winfield Scott Hancock (1824-1886), John A. Rawlins (1831-1869), Edward O. C. Ord (1818-1883), Francis Preston Blair (1821-1875), Alfred H. Terry (1827-1890), Henry W. Slocum (1827-1894), Jefferson C. Davis (1828-1879), Oliver O. Howard (1830-1909), John M. Schofield (1831-1906), Joseph A. Mower (1827-1870)  After the Norwegian artist Ole Peter Hansen Balling had sketched President Lincoln at the White House in the fall of 1864, he obtained permission to paint life portraits of leading Union generals. Balling joined General Grant at City Point, Virginia, during the campaign against Richmond and spent five weeks there sketching officers in the field. Philip H. Sheridan was painted while in the Shenandoah Valley; the portraits of William T. Sherman and George H. Thomas were done in Washington after the end of the war. The image of George A. Custer, second from the left, is thought to be the only life portrait painted of him.",1865,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Harry Newton Blue in memory of her husband Harry Newton Blue (1893-1925), who served as an officer of the Regular U.S. Army 1917-1925",Thomas Casimer Devin,1822,1878,1823,1906,ae26fde385d5
Leroy Grumann,Boris Chaliapin,Painting,Gouache on board,"30.5cm x 27.3cm (12"" x 10 3/4""), Image ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/88T0058A_1.jpg,,1944,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Boris Chaliapin",Leroy Randle Grumann,1904,1982,1904,1979,31ffc7d826a1
Oscar Hammerstein I,,Painting,Oil on canvas,"91.5cm x 73.6cm (36"" x 29""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6600006a.jpg,,,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Oscar Hammerstein II through Mr. Alexander Ince",Oscar Hammerstein I,1847,1919,,,2539a70454b8
Robert Hare,Alvan Clark,Painting,Oil on canvas,"76.2cm x 63.5cm (30"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6600096a.jpg,,c. 1856,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum",Robert Hare,1781,1858,1804,1887,1c8b88ef38bd
Joseph Henry,Henry Ulke,Painting,Oil on canvas,"76.8cm x 63.5cm (30 1/4"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8500098a.jpg,,1885,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum",Joseph Henry,1797,1878,1821,1910,dcc45c357d95
Joseph Henry,Thomas Le Clear,Painting,Oil on canvas,"Image: 117.5 x 84cm (46 1/4 x 33 1/16"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6400018A_1.jpg,,1877,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum",Joseph Henry,1797,1878,1818,1882,7543c1552ac3
Joseph Henry,Henry Ulke,Painting,Oil on canvas,"139.7cm x 106.7cm (55"" x 42""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7900536a.jpg,,1875,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum",Joseph Henry,1797,1878,1821,1910,ec9a044478ea
Herbert Hoover,Douglas Granville Chandor,Painting,Oil on canvas,"Sight: 110.8 x 92.1cm (43 5/8 x 36 1/4"") Frame: 140.3 x 95.6 x 8.3cm (55 1/4 x 37 5/8 x 3 1/4"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6800048A_1.jpg,"Herbert Hoover seemed to be the ultimate problem-solver. As a mining engineer, he had turned marginal operations into thriving enterprises. During World War I, his administration of European food relief was nothing short of brilliant. As secretary of commerce in the 1920s, he transformed a once-sleepy department into a purposeful information clearinghouse. But as the Great Depression took hold during the second year of his presidency, Hoover was hard pressed for a solution. Believing in the power of private initiative, he hesitated to involve the federal government in reviving business. When lengthening bread lines and escalating joblessness finally convinced him of the necessity of such steps, the measures proved inadequate. As a result, Hoover was defeated by a crushing margin in his 1932 reelection bid. This portrait was intended for Time magazine's cover. But Hoover delayed his sittings, and by the time it was finished, the magazine was no longer interested. Hoover is thus the only president in Time's history never to appear on a cover while in office. ",1931,"National Portrait Gallery, Smithsonian Institution; Frame conserved with funds from the Smithsonian Women's Committee",Herbert Clark Hoover,1874,1964,1897,1953,0f2ed8ea9e3b
Herbert Clark Hoover,John Christen Johansen,Painting,Oil on canvas,"102cm x 89.5cm (40 3/16"" x 35 1/4""), Estimate ",Herbert Hoover Presidential Library And Museum,http://npgportraits.si.edu/eMuseumNPG/media/previews/ia040070.jpg,,1941?,Herbert Hoover Presidential Library and Museum,Herbert Clark Hoover,1874,1964,1876,1964,27e4c6a5ccf0
Herbert Hoover,Joseph Cummings Chase,Painting,Oil on paperboard,"Sight: 54.9 x 41cm (21 5/8 x 16 1/8"") Frame: 91.4 x 70.5 x 6cm (36 x 27 3/4 x 2 3/8"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7200230a.jpg,,1917,"National Portrait Gallery, Smithsonian Institution; gift of Mendel L. Peterson",Herbert Clark Hoover,1874,1964,1878,1965,3b5c59597ce2
Herbert Hoover,Edmund Charles Tarbell,Painting,Oil on canvas,"117cm x 91.5cm (46 1/16"" x 36""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6500050a.jpg,,1921,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the National Art Committee to the Smithsonian Institution, 1923",Herbert Clark Hoover,1874,1964,1862,1938,7d20abf84c57
Herbert Clark Hoover,William Barr,Painting,Oil on canvas,"125.9cm x 95.5cm (49 9/16"" x 37 5/8""), Estimate ",Herbert Hoover Presidential Library And Museum,http://npgportraits.si.edu/eMuseumNPG/media/previews/ia040005.jpg,,c. 1920,Herbert Hoover Presidential Library and Museum,Herbert Clark Hoover,1874,1964,1867,1933,02b5e02ac2d9
Herbert Hoover,Ernest Hamlin Baker,Painting,Gouache on board,"25.7cm x 23cm (10 1/8"" x 9 1/16"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/96t0006e.jpg,,1939,"National Portrait Gallery, Smithsonian Institution",Herbert Clark Hoover,1874,1964,1889,1975,4fca80d30b25
Herbert Clark Hoover,Violet Beatrice Wenner,Painting,Oil on canvas,"100.5cm x 75.3cm (39 9/16"" x 29 5/8""), Sight ",Union League Club of Chicago,http://npgportraits.si.edu/eMuseumNPG/media/previews/il030010.jpg,,c. 1930-1940,The Union League Club of Chicago,Herbert Clark Hoover,1874,1964,1886,1970,17f08c1dcc7e
Herbert Clark Hoover,Pilides Costa,Painting,Oil on canvas,"115.1cm x 89.9cm (45 5/16"" x 35 3/8""), Sight ",Herbert Hoover Presidential Library And Museum,http://npgportraits.si.edu/eMuseumNPG/media/previews/ia040028.jpg,,1930,Herbert Hoover Presidential Library and Museum,Herbert Clark Hoover,1874,1964,1891,1947,c537b8e5ee80
William Temple Hornaday,George Rufus Boynton,Painting,Oil on canvas,"122.5cm x 92cm (48 1/4"" x 36 1/4""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8300694a.jpg,,,"National Portrait Gallery, Smithsonian Institution; gift of William T. Hornaday Conservation Trust, Inc.",William Temple Hornaday,1854,1937,1854,1945,d5d6065c91e3
Herbert Ives,Chester Warner Slack,Painting,Oil on canvas,"61cm x 58cm (24"" x 22 13/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8500432a.jpg,,1933,"National Portrait Gallery, Smithsonian Institution; gift of Kenneth I. Ives and Barbara Ives Beyer, the sitter's children",Herbert E. Ives,1882,1953,1850,1950,90bb2d964b68
Thomas Jefferson,,Painting,Pastel on paper,"22.8cm x 17.8cm (9"" x 7""), Estimate ","Museum of Fine Arts, Houston",http://npgportraits.si.edu/eMuseumNPG/media/previews/tx010033.jpg,,c. 1800,"The Museum of Fine Arts, Houston; the Bayou Bend Collection, gift of Miss Ima Hogg",Thomas Jefferson,1743,1826,,,91c296b7b524
Thomas Jefferson,Charles Bird King,Painting,Oil on wood panel,"Sight: 49.5 x 41.3cm (19 1/2 x 16 1/4"") Frame: 72.4 x 65.4 x 8.6cm (28 1/2 x 25 3/4 x 3 3/8"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/9200220a.jpg,"This work replicates an unusual profile portrait of Thomas Jefferson that Gilbert Stuart painted in Washington, D.C., in 1805, at the beginning of Jefferson's second presidential term. The neoclassical composition ""in the medallion form"" was suggested by Jefferson, who later wrote that Stuart's portrait (now owned by Harvard University) was ""deemed the best which has been taken of me."" King, a Washington painter, made the copy for Jefferson's family, who preferred this neoclassical profile over Stuart's three-quarter view of Jefferson, which was painted at the same sittings. ",1836,"National Portrait Gallery, Smithsonian Institution",Thomas Jefferson,1743,1826,1785,1862,98bc18810401
Thomas Jefferson,Charles Willson Peale,Painting,Oil on canvas,"Image: 61 x 50.8cm (24 x 20"") Frame: 66 x 55.9cm (26 x 22"") ",Independence National Historical Park,http://npgportraits.si.edu/eMuseumNPG/media/previews/pa300150.jpg,"In 1791, Charles Willson Peale added this portrait of Secretary of State Thomas Jefferson to his museum's collection of American heroes. Jefferson appears younger than his fifty years, perhaps evoking the young man the artist remembered as the Virginia delegate to the Continental Congress. Jefferson was well known to Americans in 1791, having also served as governor of Virginia and ambassador to France. Notwithstanding George Washington's desire for unity in his administration, Jefferson quickly found himself at odds with Secretary of the Treasury Alexander Hamilton, whose power and influence on the president rivaled his own. Jefferson favored a smaller, weaker national government, with more power residing in the states, and closer ties to France; Hamilton argued for a powerful national government allied to Great Britain. From these differences the first American party system-Democratic-Republicans (Jefferson) versus Federalists (Hamilton)-was born.",1791,"Courtesy of Independence National Historical Park Collection, Philadelphia, PA",Thomas Jefferson,1743,1826,1741,1827,e2a16ea53a8a
Thomas Jefferson,Gilbert Stuart,Painting,Oil on canvas,"73cm x 59cm (28 3/4"" x 23 1/4""), Sight ",Colonial Williamsburg,http://npgportraits.si.edu/eMuseumNPG/media/previews/va060036.jpg,,1805-1814,Colonial Williamsburg,Thomas Jefferson,1743,1826,1755,1828,67eb682d866b
Thomas Jefferson,,Painting,Pastel on paper,"22.5cm x 17.5cm (8 7/8"" x 6 7/8""), Sight ",Independence National Historical Park,http://npgportraits.si.edu/eMuseumNPG/media/previews/pa300229.jpg,,c. 1796-1797,Independence National Historical Park,Thomas Jefferson,1743,1826,,,6df46b230a8a
Thomas Jefferson,Mather Brown,Painting,Oil on canvas,"Sight: 91.4 x 71.1cm (36 x 28"") Frame: 102.2 x 82.2 x 5.7cm (40 1/4 x 32 3/8 x 2 1/4"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/9900178A_3.jpg,"As the new American republic emerged from its war with the mother country, Thomas Jefferson and John Adams, collaborators in the formulation of the Declaration of Independence (although Jefferson wrote the final document), were brought together as trade negotiators in France, where their mutual respect turned into friendship. In the spring of 1786-when Jefferson was the American minister to France and Adams the American minister to England-Jefferson visited Adams, who suggested that he pose for the young Boston-born artist Mather Brown. An exchange of portraits between the two colleagues ensued. This painting, the earliest known likeness of Jefferson, remained in Adams's family until given to the nation in 1999. 	The background contains the classical figure of Freedom holding a staff topped by a cap, which had its origins in the conical cloth cap adopted by freed Roman slaves as the symbol of their liberty. ",1786,"National Portrait Gallery, Smithsonian Institution; bequest of Charles Francis Adams; Frame conserved with funds from the Smithsonian Women's Committee",Thomas Jefferson,1743,1826,1761,1831,ce55b597ed75
Thomas Jefferson,Bradley Stevens,Painting,Oil on panel,"66.3cm x 53.1cm (26 1/8"" x 20 7/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8600006a.jpg,,1986,"National Portrait Gallery, Smithsonian Institution",Thomas Jefferson,1743,1826,1954,,1c812ea837de
Thomas Jefferson,Rembrandt Peale,Painting,Oil on canvas,"71.1cm x 59.7cm (28"" x 23 1/2""), Estimate ",New-York Historical Society,http://npgportraits.si.edu/eMuseumNPG/media/previews/ny300001_2.jpg,,1805,New-York Historical Society,Thomas Jefferson,1743,1826,1778,1860,219fec245202
Thomas Jefferson,John Trumbull,Painting,Oil on wood,"10.5cm x 8cm (4 1/8"" x 3 1/8""), Sight ","Monticello, Thomas Jefferson Foundation",http://npgportraits.si.edu/eMuseumNPG/media/previews/va100071.jpg,,c. 1788,"Monticello/Thomas Jefferson Foundation, Incorporated",Thomas Jefferson,1743,1826,1756,1843,509326dc8975
Thomas Jefferson,Bass Otis,Painting,Oil on canvas,"74.5cm x 62.1cm (29 5/16"" x 24 7/16""), Sight ","Monticello, Thomas Jefferson Foundation",http://npgportraits.si.edu/eMuseumNPG/media/previews/va100070_2.jpg,,c. 1816,,Thomas Jefferson,1743,1826,1784,1861,35bb079b0bb6
Thomas Jefferson,,Painting,Watercolor on ivory,"8cm x 6.5cm (3 1/8"" x 2 9/16""), Sight ","Monticello, Thomas Jefferson Foundation",http://npgportraits.si.edu/eMuseumNPG/media/previews/va100069_2.jpg,,c. 1800-1810,"Monticello/Thomas Jefferson Foundation, Incorporated",Thomas Jefferson,1743,1826,,,befc341de36e
Thomas Jefferson,,Painting,Oil on marble,"9.5cm x 8.9cm (3 3/4"" x 3 1/2""), Accurate ",Maryland Historical Society,http://npgportraits.si.edu/eMuseumNPG/media/previews/md140434_2.jpg,,c. 1775-1785,"The Maryland Historical Society, Baltimore, Maryland",Thomas Jefferson,1743,1826,,,2c4b906a54c0
Thomas Jefferson,John Trumbull,Painting,Watercolor on paper,"7cm x 6.5cm (2 3/4"" x 2 9/16""), Sight ",Virginia Historical Society,http://npgportraits.si.edu/eMuseumNPG/media/previews/VA220200.jpg,,c. 1787-1843,The Virginia Historical Society,Thomas Jefferson,1743,1826,1756,1843,7977dbdd52ba
Thomas Jefferson,Caleb Boyle,Painting,Oil on canvas,"233.8cm x 154.4cm (92 1/16"" x 60 13/16""), Estimate ",Lafayette College,http://npgportraits.si.edu/eMuseumNPG/media/previews/pa220101.jpg,,1801?,"Lafayette College, Easton, Pennsylvania",Thomas Jefferson,1743,1826,1750,1850,e404effe769b
Thomas Jefferson,Bass Otis,Painting,Oil on canvas,"90.6cm x 70.6cm (35 11/16"" x 27 13/16""), Sight ",Chicago History Museum,http://npgportraits.si.edu/eMuseumNPG/media/previews/il100348.jpg,,1816-1825,Chicago Historical Society,Thomas Jefferson,1743,1826,1784,1861,0edeaa46a4eb
Thomas Jefferson,Gilbert Stuart,Painting,Oil on mahogany panel,"66.4cm x 53.3cm (26 1/8"" x 21"") ",,http://npgportraits.si.edu/eMuseumNPG/media/previews/8200232A_1.jpg,"On his epitaph, Thomas Jefferson indicated his authorship of the Declaration of Independence and the Virginia Statute for Religious Freedom, and his founding of the University of Virginia. He omitted, however, any mention of being the third president of the United States, perhaps because his policies failed to end encroachments on American rights during the Napoleonic Wars of the early 1800s. Great Britain, with its naval superiority, forbade American ships from supplying Napoleon闂佺偨鍎查悰?armies and forced American sailors to serve in its navy (impressment). After failing to change British policy with a Non-Importation Act (1806), Congress passed Jefferson闂佺偨鍎查悰?Embargo Act (1807), prohibiting American ships and goods from leaving port. In the final month of his presidency, Jefferson repealed the embargo and signed the Non-Intercourse Act, which reopened trade with all nations except Great Britain and France. It also authorized his successor, James Madison, to resume trade with whichever of those nations stopped violating American neutral trading rights. ",1805/1821,"National Portrait Gallery, Smithsonian Institution; owned jointly with Monticello, Thomas Jefferson Foundation, Incorporated, Charlottesville, Virginia; purchase funds provided by the Regents of the Smithsonian Institution, the Trustees of the Thomas Jefferson Foundation, Incorporated, and the Enid and Crosby Kemper Foundation",Thomas Jefferson,1743,1826,1755,1828,0b0df85bcac6
Thomas Jefferson,Charles Peale Polk,Painting,Oil on canvas,"68.4cm x 58.4cm (26 15/16"" x 23""), Sight ","New York State Office of Parks, Recreation and Historic Preservation",http://npgportraits.si.edu/eMuseumNPG/media/previews/ny190170.jpg,,c. 1799,"Philipse Manor Hall, New York State Office of Parks, Recreation and Historic Preservation",Thomas Jefferson,1743,1826,1767,1822,aeb652ba3a06
Samuel William Johnson,William N. Dovener,Painting,Oil on canvas,"111.8cm x 91.5cm (44"" x 36""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6510078a.jpg,,1931,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives",Samuel William Johnson,1830,1909,1870,1954,3ec2b6af3457
Percy L. Julian,Richard Ruh Epperly,Painting,Oil on canvas,"81.3 x 66 cm (32 x 26"" ) ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/9700476a.jpg,,1952,"National Portrait Gallery, Smithsonian Institution; gift of Eugene V. Epperly",Percy L. Julian,1899,1975,1891,1973,97c1dda19a38
John Harvey Kellogg,Emil Fuchs,Painting,Oil on canvas,"122cm x 91.5cm (48 1/16"" x 36""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6600058a.jpg,,1927,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Dr. Edward Kellogg, 1963",John Harvey Kellogg,1852,1943,1866,1929,3acc3d5c7b4d
Charles Franklin Kettering,,Painting,Oil on canvas,"76cm x 63.5cm (29 15/16"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7300060a.jpg,,,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Eugene W. Kettering",Charles Franklin Kettering,1876,1958,,,9126cc943820
Samuel Pierpont Langley,Robert Gordon Hardie,Painting,Oil on canvas,"76.2cm x 63.5cm (30"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7910127a.jpg,,1893,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum",Samuel Pierpont Langley,1834,1906,1854,1904,190a7cebd87d
Benjamin Latrobe,Charles Frederick Von Breda,Painting,Oil on canvas,"Stretcher: 18.1 x 13.3cm (7 1/8 x 5 1/4"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/B1000128A.jpg,"Born Yorkshire, England  Benjamin Latrobe was the most important architect of the early republic, transforming the discipline from an avocation for amateurs to a profession with standards and practices. Latrobe trained several of America闂佺偨鍎查悰?next generation of architects, including the designer of this building, Robert Mills. Born in England, Latrobe trained there and in Germany. He but we know little of Latrobe闂佺偨鍎查悰?early work because his records were lost at sea when he immigrated to America in 1795 ?6. His influential American buildings include the Philadelphia Water Works, New York City Hall, and redesigns of the Capitol and White House after they were burned in the War of 1812. Latrobe and artist Charles Frederick von Breda were at the beginning of their careers in London when this portrait was made. Von Breda created it to recall the lively and successful composition of a larger painting now in the collection of the Maryland Historical Society.",c. 1790,"National Portrait Gallery, Smithsonian Institution",Benjamin Henry Latrobe,1764,1820,1759,1818,a79576faf05b
Isaac Lea,Bernard Albrecht Uhle,Painting,Oil on canvas mounted on wood,"128.5cm x 108cm (50 9/16"" x 42 1/2""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6600100a.jpg,,c. 1884-1885,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Marjorie Lea Hudson, 1961",Isaac Lea,1792,1886,1847,1930,3a29acf4e7dd
Willard Frank Libby,Alvin L. Gittins,Painting,Oil on canvas,"91.4cm x 122cm (36"" x 48 1/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8200114a.jpg,,1968,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Willard F. Libby",Willard Frank Libby,1908,1980,1922,1981,a30b996af296
Eben Jenks Loomis,Edwin Burrage Child,Painting,Oil on canvas,"91.5cm x 75.9cm (36"" x 29 7/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6910056a.jpg,,1910,"National Portrait Gallery, Smithsonian Institution; bequest of Millicent Todd Bingham",Eben Jenks Loomis,1828,1912,1868,1937,856140dea7d7
Eben Jenks Loomis,Edwin Burrage Child,Painting,Oil on canvas,"127cm x 91.5cm (50"" x 36""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6910066a.jpg,,1910,"National Portrait Gallery, Smithsonian Institution; bequest of Millicent Todd Bingham",Eben Jenks Loomis,1828,1912,1868,1937,ed8300920c45
Charles Frederick Marvin,William N. Dovener,Painting,Oil on canvas,"111.8cm x 91.2cm (44"" x 35 7/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6510086a.jpg,,1931,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives",Charles Frederick Marvin,1858,1943,1870,1954,ae3b8e9f8424
Edward Maynard,George Willoughby Maynard,Painting,Oil on canvas,"77.5cm x 63.5cm (30 1/2"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7100006A_1.jpg,,1881,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the artist, 1910",Edward Maynard,1813,1891,1843,1923,2d1faa4a70f6
Cyrus Hall McCormick,Charles Loring Elliott,Painting,Oil on canvas,"Stretcher: 51.4 x 41.3 x 3.8cm (20 1/4 x 16 1/4 x 1 1/2"") Frame: 59.7 x 49.5 x 6.7cm (23 1/2 x 19 1/2 x 2 5/8"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7500004a.jpg," Territorial expansion generated a spirit of technological adventure and a search for new methods to handle the unique conditions of American life. Cyrus McCormick, a farmer in Virginia's Shenandoah Valley, succeeded where his father had failed by constructing the first practical reaping machine. This reaper was a first step in the mechanization of American agriculture, allowing the efficient cultivation of large tracts of farmland by small numbers of farmers. This industrialization of the land allowed the United States to boost agricultural production to unprecedented levels and to feed growing cities and industrial towns. McCormick's design was pirated by competitors, but he overcame his rivals by founding his own factory outside Chicago in 1847. There, he contributed to the pace of industrial growth by using standardized parts and assembly-line production-methods that had been pioneered by Samuel Colt and others. ",mid 19th Century,"National Portrait Gallery, Smithsonian Institution; gift of Chauncey and Marion Deering McCormick Foundation and Mrs. Gilbert Harrison",Cyrus Hall McCormick,1809,1884,1812,1868,db1fb28adf30
Men of Progress,Christian Schussele,Painting,Oil on canvas,"Stretcher: 128.3 x 190.5 x 5.1cm (50 1/2 x 75 x 2"") Frame: 162.6 x 225.7 x 12.7cm (64 x 88 7/8 x 5"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6500108A_2.jpg,"In 1857, the inventor of a coal-burning stove, Jordan Mott, commissioned Christian Schussele to paint a group portrait of eighteen American scientists and inventors who ""had altered the course of contemporary civilization."" As with Schussele's celebration of American letters, Washington Irving . . . at Sunnyside, the group portrait did not mark an actual occasion but was designed to honor the achievements of American industry. The artist sketched study portraits of each of his subjects before putting them all into his final, formal composition. Men of Progress is a remarkable document of the growth of the American economy by the 1850s as it celebrates the inventions and processes of manufacturing pioneered by men such as Cyrus McCormick, Charles Goodyear, Samuel Colt, Samuel Morse, Elias Howe, and fourteen others. ",1862,"National Portrait Gallery, Smithsonian Institution; transfer from the National Gallery of Art; gift of the A.W. Mellon Educational and Charitable Trust, 1942",William Thomas Green Morton,1819,1868,1824,1879,e16c8307130f
Thomas Corwin Mendenhall,Annie Ware Sabine Siebert,Painting,Watercolor on ivory,"Ivory: 10.2 x 7cm (4 x 2 3/4"") Frame: 14 x 11.9cm (5 1/2 x 4 11/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6710222A_1.jpg,"Born Hanoverton, Ohio   Thomas Corwin Mendenhall, a physicist and professor at Ohio State University, became president of Worcester Polytechnic Institute in 1894. This miniature of him was painted in 1918 by his former Ohio State pupil Annie Ware Sabine Siebert. Wallace Siebert, the artist闂佺偨鍎查悰?brother, wrote of her talents: 闂佺偨鍎叉潻鏀 ?always seem to get the essence of a man, that which does not change with lapse of time. ?A remarkable woman of her era, Siebert became the first recipient of a master of arts degree from Ohio State in 1886 and one of the first women to earn an architecture degree from MIT. ",1918,,Thomas Corwin Mendenhall,1841,1924,1864,1947,97870063745d
