description,title,artist,credit,materials,image_URL,dimensions,EA_id
"1 negative : b&amp;w; ; 4 x 5 in.  Nine men display boxes of canned goods and bags of Arkansas Blue Rose rice donated to the Japanese American Citizens' League annual Christmas Cheer project, Los Angeles, California, December 1957.  An older man kneels, left, next to boxes and bags of food displayed in front a table full of canned goods and rice.  Eight men stand behind table.","Canned goods and rice donated to the JACL Christmas Cheer project, Los Angeles, California, December 1957",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.466_1_a.jpg,,19672d22d9bf
"1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, April 26, 1957.  Group portrait of Southern California Comittee on Kiyosato Educational Experiment Project (KEEP) on the occassion of honoring Colonel Paul Rusch, director of KEEP, in a room at the Imperial Gardens restaurant in Los Angeles, California, April 25, 1957.  Three Caucasian and five Japanese American men in suits; two men wear clergy white collars. Two sculptures of Bodhisattvas in background with calligraphy on shiny paper on wall behind group.","Southern California Committe on KEEP tribute to Colonel Paul Rusch at Imperial Gardens restaurant, Los Angeles, California, April 25, 1957",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.433_1_a.jpg,,a338414d9d1b
"1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, October 22, 1957.  Hiro Omura, chairman of the tenth annual Christmas Cheer project, and six volunteers stuff envelopes for a mail campaign to raise funds Japanese American Citizens' League (JACL) Christmas Cheer project at the JACL downtown office in Little Tokyo, Los Angeles, California, October 20, 1957.  Six men and one woman stand in office holding envelopes and smile at viewer.  They are identified (left to right): George Fujita, Roy Yamadera, George Nomi, Omura, Jim Higashi, Miwa Yanamoto, and Fred Takata.  Desk in foreground; open door in background.","JACL Christmas Cheer project fund drive kickoff at JACL office, Los Angeles, California, October 20, 1957","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.457_1_p_a.jpg,,b80475a2c1a3
"1 negative : b&amp;w; ; 4 x 5 in.  Graduation studio portrait of a smiling young woman, Eiko Masuyama, in Little Tokyo, Los Angeles, California, February 5, 1957.  Masuyama wears a white blouse and is turned slightly to the right.","Eiko Masuyama, graduation portrait, Los Angeles, California, February 5, 1957","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.415_1_a.jpg,,c42d03d1d131
"1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, June 17, 1957.  Six Berendo Junior High School students stand in front of a curtain holding American Legion awards at a special assembly in Los Angeles, California, June 14, 1957.  One girl holds a poster of a basket of poppies in front of a white cross, ""American Legion Auxiliary, Poppy Day.""  Two girls and a boy hold certificates.  The Sansei are identified (left to right): Dennis Matsuura, American Legion honorable mention; Erino Shimomura, first place American Legion poppy poster contest; Helen Funai, A-9 class president and American Legion award winner; Eileen Tada, second place essay contest; Harriet Nakasone, Lady of Friendship, honorable mention; Mariann Akiyama, student body president.","Berendo Junior High School students receive American Legion awards, Los Angeles, California, June 14, 1957","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.448_1_a.jpg,,dc78c5762a82
"1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, June 18, 1957.  Nisei relay queen and five attendants pose outside in front of Herb Murayama's house, California, June 17, 1957.  Five women sit and stand around woman wearing tiara and sitting in chair in center.  Punchbowl on table at right.  The women are identified: front, Nancy Akiyoshi, Gail Nakamura, queen JoAnne Miyamoto, Jane Kanimoto; standing, Dorothy Yagabe and Louise Sakamoto.","Queen and attendants at Herb Murayama's house, California, June 17, 1957","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.450_1_a.jpg,,17b40a33191e
"2 negatives : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, July 24, 1958.  Two models in gowns designed by Kow Kaneko for a fashion show for Lady's night of Nisei Veterans reunion pose at Kaneko's studio in Pasadena, California, July 22, 1958.  Includes women standing outside on steps and pathway in front of building, and women posing with designer Kow Kaneko in eyeglasses and matching dress and bolero in background.  The models are: Etsu Andow in dark gown and Masako Hirano in light gown.","Kow Kaneko designs for Lady's night fashion show of Nisei Veterans reunion, Pasadena, California, July 22, 1958",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.634_1_a.jpg,,889075296b11
"1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, October 10 , 1958.  George Izumi stands beside Mrs. Lucille Kusagaki Parks of Liliha Bakery in Honolulu and Master Bakers Retailers Association president Frank Plusko at awards dinner of the 2nd annual ""Ideas for Bakers"" show held at the Los Angeles Breakfast Club in Los Angeles, California, October 10, 1958.  Izumi, smiling man in dark suit and light necktie, stands at right on tile walkway beside a smiling woman in a long floral patterned dress, center, and a tall Caucasian man in plaid jacket, left.  Low stone wall and trees in background.","George Izumi at 2nd annual ""Ideas for Bakers"" show awards dinner at Los Angeles Breakfast Club, Los Angeles, California, October 10, 1958",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.644_1_a.jpg,,812e26bbf511
"1 negative : b&amp;w; ; 4 x 5 in.  Three people, Miss Hygo, Mr. Wilder, and John, of the new President Committee examine a government contract in an office at the Federal Building in Los Angeles, California, March 21, 1958.  Man in suit, bow tie and eyeglasses stands at right holding papers in his hands as a Caucasian man in suit and eyeglasses sitting at desk points to page.  Woman in suit and eyeglasses sits at left looking at contract while holding a pencil in proper right hand.  Fan on wall, top left corner.","New President Committee at Federal Building, Los Angeles, California, March 21, 1958",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.610_a.jpg,,710605374c4f
"3 photographic prints : b&amp;w; ; 5 x 7 in.  4 negatives : b&amp;w; ; 4 x 5 in.  American and Japanese swim teams in pool and on awards stand at Los Angeles International Swim Meet held at the Los Angeles Swimming Stadium in Los Angeles, California, June 27-29, 1958.  Also includes promotional images of American swimmer Murray Rose of the University of Southern California (USC) eating Japanese food with chopsticks in restaurant at Kawafuku restaurant in Little Tokyo, Los Angeles, California, May 8, 1958.","American swim team at Kawafuku restaurant, Los Angeles, California, May 7, 1958","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.616_7_a.jpg,,954a458891b7
"1 negative : b&amp;w; ; 4 x 5 in.  A young woman, Margaret Ohara, stands beside a Caucasian man, Sheriff Peter J. Pitchess, in the Los Angeles Sheriff's office for Girl's Week in Government, Los Angeles, California, March 19, 1958.  Ohara, left, wears a light-colored suit and hat with veil, and a name tag pinned to her collar.  Pitchess, right, wears a suit and smiles directly at the viewer.  Curtains in background.  Sign on wall, ""A man may fail many times, but he is not a failure until he begins to blame somebody.""","Margaret Ohara and Sheriff Peter J. Pitchess at  Los Angeles Sheriff's office for Girl's Week in Government, Los Angeles, California, March 19, 1958",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.609_1_a.jpg,,49d2fd8cd7d4
"1 photographic print : b&amp;w; ; 5 x 7 in.  Fire at Leilani's Cafe on Weller Street and East First Street in Little Tokyo, Los Angeles, California, September 21, 1955.  A number of fire trucks and people gather in front of smoking building across the street from viewer.  Two firefighters stand on roof of building where ladder is propped against edge.  Several people watch from roofs of adjoining buildings.  Fire hose on ground leading from fire engine parked on Weller Street at left.  Cars pass on First street in foreground.","Fire at Leilani's Cafe on Weller Street and East First Street, Los Angeles, California, September 21, 1955",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.295_1_p_a.jpg,,a141349cd9fe
"1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, November 24, 1954.  Two Belmont High School students, Merecedes Urbina and Mabel Yamaguchi, help three women, including Esther Hoag and Mrs. Taeko Mitamura, working at a nylon drive for war widows in Japan sponsored by the Pan American Club, November 1954.  A Japanese young woman assists a young Caucasian woman at L dump a bagful of nylons into a full box of nylons with sign, ""Nylon drive, 1 pair plus 1 penny helps war widows, Nov. 15-Nov. 19, Sponsored by Pan-American Club,"" as two Japanese and an older Caucasian woman look on.  Stuffed animals on table in foreground.","Nylon drive for war widows, California, November 24, 1954",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.226_1_a.jpg,,41d447982085
"2 photographic prints : b&amp;w; ; 5 x 7 in.  Group portrait of John F. Kennedy and members of the Japanese American Democratic Club, including Frank Chuman, Frank Kurihara, Meri-Jane Yokoe and James Mitsumori, at a reception for the Massachusetts U.S. Senator at the Biltmore Hotel in Los Angeles, California, September 19, 1956.  All five men and women wear suits.  American flag on stand in background.","John F. Kennedy and Japanese American Democratic Club at Biltmore Hotel reception, Los Angeles, California, September 19, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.368_1_p_a.jpg,,0cf8127fc9c1
"2 photographic prints : b&amp;w; ; 5 x 7 in.  2 negatives : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, September 26, 1955.  Installation ceremony of Richard Miyazaki as Master Councillor of the Bellflower Chapter Order of DeMolay at Bellflower Masonic Hall, Bellflower, California, September 24, 1955.  Eighteen year-old Miyazaki wears a cape over suit.  Includes father, Yon Miyazaki, shaking hands with son Miyazaki; and Miyazaki standing at head of group of young men in capes.","Installation ceremony for Richard Miyasaki, Master Councillor of Bellflower Chapter Order of DeMolay, California, September 24, 1955","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.296_2_p_a.jpg,,eb147b286555
"5 negatives : b&amp;w; ; 4 x 5 in.  Neg 1 was published in Rafu Shimpo, February 16, 1956.  Group of Caucasian and Japanese men and women attending the presentation of an electron microscope to the University of California, Los Angeles (UCLA) Medical Center by the Japanese Government, California, February 15, 1956.  Negative 1 includes three men with microscope, Chancellor Raymond B. Allen (seated), Dr. Bunya Tadano, and Consul General of Japan Shigeru Nakamura (right).","Electron microscope open house at UCLA, Los Angeles, California, February 15, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.328_1_a.jpg,,8ea45297836b
"1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, June 16.1956.  Passing of the gavel from past president Mrs. Tom Nagashima to incoming president Mrs. John Gerlach at the installation ceremony of the Parents Teacher Association (PTA) president at Virginia Road Elementary School auditorium in Los Angeles, California, June 14, 1956.  Caucasian woman in dark belted dress holds handle of gavel and smiles at Japanese American woman in dark suit holding head of gavel.   They are flanked by two women, Mrs. Hughes Tatara, first vice president, and Mrs. Ben Yano, historian.  Past president, Mrs. Ferrol Fortier, stands in center.","Installation ceremony of Virginia Road Elementary School PTA president, Los Angeles, California, June 14, 1956","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.353_1_p_a.jpg,,e00876d7d540
"1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, October 19, 1956, Japanese section.  Mrs. Sosei Matsumoto, a Los Angeles tea ceremony instructor, prepares tea for the Headmaster of the Urasenke school of tea in a new tea room at the Matsumoto residence in Los Angeles, California, October 17, 1956.  Dressed in a patterned kimono, Matsumoto leans forward with a tea cup at left; there are chanoyu, or tea ceremony implements next to her.  A man in a dark kimono sits at right with hands in lap.  A scroll with Japanese calligraphy hangs in the tokonoma, or alcove, next to a squat pot with branches at right.  Matsumoto's husband, Eddie, stands at far left in a light colored suit smiling with proper left hand on shoji screen.","Mrs. Sosei Matsumoto preparing tea for Headmaster of Urasenke in Japan at Matsumoto residence, Los Angeles, California, October 17, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.371_1_p_a.jpg,,762fcb12f1a0
"1 photographic print : b&amp;w; ; 5 x 7 in.  Studio half-portrait of a smiling woman dressed in a kimono, Mrs. Chiba from Japan, Los Angeles, California, August 29, 1956.  She looks to left of viewer.","Mrs. Chiba from Japan, California, August 29, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.363_1_p_a.jpg,,ca945ee56ccf
"4 photographic prints : b&amp;w; ; 5 x 7 in.  5 negatives : b&amp;w; ; 4 x 5 in.  Pacific Southwest District Chapter of the Year award presentation at Japanese American Citizens' League (JACL) Pacific Southwest District Chapter clinic hosted by the Pasadena members at Hotel Green in Pasadena, California, February 12, 1956.  Consul General of Japan, Shinsaku Hogen was in attendence.<br>1 and 5 (L to R): Mayor Warren M. Dorn, Dr. Toru Iura, Tut Yata, George Kodama, and Shinsaku Hogen with the George Inagaki perpetual plaque.<br>3. (L to R): Mayor Warren M. Dorn, Dr. Toru Iura, George Kodama, Tut Yata and Shinsaku Hogen with the George Inagaki perpetual plaque.<br>4. People dining.<br>2 and 6 (L to R): Dr. Roy Ishikawa, David Yokozeki, Mayor Warren M. Dorn, Shinsaku Hogen, and unknown.","Pacific Southwest District Chapter of the Year award presentation at Japanese American Citizens' League dinner at Hotel Green, Pasadena, California, February 12, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.327_3_p_a.jpg,,b842dfa79478
"1 photographic print : b&amp;w; ; 5 x 7 in.  4 negatives : b&amp;w; ; 4 x 5 in.  Performers with the Akatsuki Band and audience at the Nodo Jiman amateur singing contest held at the Nishi Honganji Temple in Little Tokyo, Los Angeles, California, May 20, 1956.  Includes an elderly woman holding on to microphone as she sings with eyes closed, a young girl in a white dress, and a man in a suit singing in front of the Akatsuki Band; in some cases a man sits on a chair holding a mallet next to a framed gong.  Paper plates with Japanese characters hang below lanterns hanging from ceiling.  Backdrop of trees and rocks in background next to stage curtain at left.  The audience is full, with people spilling out of doorway.  A young man shakes hands with a man in a suit as he receives a wrapped box.","Nodo Jiman amateur singing contest at Nishi Honganji Temple, Los Angeles, California, May 20, 1956","Miyatake, Archie","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.345_1_p_a.jpg,,a579462665b3
"1 photographic print : b&amp;w; ; 5 x 7 in.  2 negatives : b&amp;w; ; 4 x 5 in.  Men and women of the Trick or Treat Dance committe and dance hostesses stand in front of stage at Fox Hills Country Club in Los Angeles, California, October 20, 1956.  Stage is decorated with small haystacks, pumpkins and a large mask above band instruments of Tets Bessho and the Nisei Serenaders.","Trick or Treat dance at Fox Hills Country Club, Los Angeles, California, October 20, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.372_1_p_a.jpg,,816c6e21238d
"1 negative : b&amp;w;  ; 4 x 5 in.  Published in Rafu Shimpo, December 17, 1956.  Five boys belonging to Boy Scout Troop #379 based in Koyasan stand next to the troop's donation of boxes of canned food for the Japanese American Citizens' League (JACL) Christmas Cheer program in Little Tokyo, Los Angeles, California, December 15, 1956.  The boys stand in front of Miyako Hotel before taking the last load up to the JACL office.  They are identified (L-R): Robert Kazahaya, Dick Yamamoto, Ronald Matsuno, Derick Tagawa, Eddie Wada and Ronald Hirano.","Boy Scout Troop #379 donation to downtown JACL Christmas Cheer program, Los Angeles, California, December 15, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.387_1_a.jpg,,bedc3fa62e80
"1 photographic print : b&amp;w; ; 5 x 7 in.  2 negatives : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, December 20, 1956 supplement.  John Watanabe supervises coating process in vitamin manufacturing at Boyle &amp; Company in East Los Angeles, California, December 10, 1956.  Includes Watanabe, foreman of the Coating Department, supervising another man mix vitamins in coating pans shaped like cement mixers; two men dressed in white clothing with hats scooping vitamins from round chamber; and Watanabe and a woman look at machinery, possibly where vitamins are shaped.  All are dressed in white; men wear hats.","John Watanabe supervising vitamin coating at Boyle & Company, Los Angeles, California, December 10, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.388_1_p_a.jpg,,b49c61faad5c
"1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 4 x 5 in.  Three Hollenbeck Junior High School students stand with American Legion certificate of school awards in Los Angeles, California, June 17, 1956.  Girl in white dress with black loop design stands at left with honorable mention certificate; boy in eyeglasses and suit stands in center holding plaque; girl in stripes and pattern dress stands at right holding plaque.  They are identified: Sally Morita, Makoto Nakayama, and Elaine Horiuchi.","Hollenbeck Junior High School American Legion School award winners, Los Angeles, California, June 17, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.354_1_p_a.jpg,,b7fcec6be232
"1 photographic print : b&amp;w; ; 5 x 7 in.  2 negatives : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, March 7, 1956.  Special reception in tribute to Taro Yashima at his one-man art exhibition attended by Consul Generals of Mexico, Japan and Israel at Soto-Michigan Center in Boyle Heights, Los Angeles, California, March 6, 1956.  Includes Ernest Romero (Mexico), Shigeru Nakamura (Japan) and Dr. Avraham Biren (Israel).  Includes Yashima talking with Mrs. Hogen and his wife who is dressed in a kimono, next to his paintings.","Taro Yashima art exhibition, March 6, 1956","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.334_1_p_a.jpg,,dc7722262209
"1 photographic print : b&amp;w; ; 5 x 7 in.  2 negatives : b&amp;w; ; 4 x 5 in.  Mr. Torizawa with kiln, California,1956.  Includes portrait of Torizawa in suit and eyeglasses looking at viewer, and Torizawa pulling an object out of a small kiln with tongs as two men work with crates.","Mr. Torizawa with kiln, California, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.405_1_p_a.jpg,,0ef083310297
"1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, September 8, 1956.  Tsukasa Kiyono presents a two thousand dollar check donation to Mike Masaoka of the Japanese American Citizens' League (JACL), Los Angeles, California, September 6, 1956.  Kiyono, a retired Camellia grower, is an older man in light colored suit standing at left, who gazes right.  Masaoka, Washington legislative representative for the JACL, stands at right wearing a tweed jacket and a bow tie and gazes left.  Both men wear eyeglasses.  World map on wall in the background; Asian continent in center of map.","Two thousand dollar donation to Japanese American Citizens' League, California, September 6, 1956","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.364_1_p_a.jpg,,a8cb75e9f6a0
"1 photographic print : b&amp;w; ; 5 x 7 in.  3 negatives : b&amp;w; ; 4 x 5 in.  Queen coronation and awards at California Intercollegiate Nisei Organization (CINO) at University of California in Oakland, California and ""Spirit of New Year 1957"" award at dance Biltmore Hotel in Los Angeles, California.  <br>1N and 2N: Midori Nakagawa, crowned Miss Nisei Coed, amongst ten young women in white gowns and gloves.  <br>4N: Young man and woman hold basketball trophies at CINO.  <br>3N: Margaret Ouchi named ""Spirit of New Year 1957"" surrounded by streamers and confetti with emcee Paul Bannai at Biltmore Hotel.","CINO queen coronation in Oakland, California ; ""Spirit of New Year 1957"" at Biltmore Hotel, Los Angeles, California",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.395_1_p_a.jpg,,6876b92d8465
"1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, June 11, 1956.  Six girls and boys receive awards from American Legion Post #325 at Foshay Junior High School in Los Angeles, California, June 11, 1956.  Four girls stand in front row; Caucasian man stands wearing garrison cap with American Legion patches stands in center back row flanked by two Caucasian women and two male students.  Four of the students hold certificates.  Group stands on lawn with multi-storey school building in background; boy holding books stands in background, right.  The people are identified: (first row) Kiyofumi Fukumoto, Takako Satogami, both medal and certificate winners; Susie Kinoshita, winter certificate winner; Ann Hiramatsu, summer medal and certificate winner; Nancy Takahashi, second place essay contest winner in district; (second row) Mrs. Vilma Wright, Harold A. Coogan, Mrs. Jane L. Murray of the Milton Kanode American Legion Post and Auxiliary.","Students receiving American Legion Awards at Foshay Junior High School, Los Angeles, California, June 11, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.351_1_p_a.jpg,,e73ca21a3c25
"1 photographic print : b&amp;w; ; 5 x 7 in.  2 negatives : b&amp;w; ; 4 x 5 in.  Group and individual portraits of people, including Sawada, Mr. Yoshino and Mrs. Yanagida on the tarmack at an airport, California, 1956?.  Includes group of five men and a woman carrying a pomeranian dog, and of a woman in a kimono.","Sawada, Mr. Yoshino, Mrs. Yanagida at airport, California, 1956?",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.404_1_p_a.jpg,,a6e5c442ef01
"1 negative : b&amp;w; ; 5 x 7 in.  Ppublished in Rafu Shimpo, July 18, 1956.  Portrait of Eijiro Suematsu holding a framed silk painting of trout to be sent to United States President Dwight D. Eisenhower as a token of appreciation by Suematsu's wife, assisted by Rollins MacFadyen and Soichi Fukui, California, July 19, 1956.  Older man stands in center behind a large watercolor painting of seven swimming aya or trout as a tall Caucasian man, left, and Japanese man, right, hold up painting.","Eijiro Suematsu and silk painting of trout for President Eisenhower, California, July 18, 1956","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.361_1_a.jpg,,2b1b4f960034
"1 negative : b&amp;w; ; 4 x 5 in.  Three young women in white dress and gloves receive envelopes for Bank of America awards from a Caucasian man in a suit, California, 1956.","Three young women receiving Bank of America award, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.394_1_a.jpg,,8fa53a62d251
"1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, November 15, 1956.  Consul General of Japan Shigeru Nakamura discusses the clothing needs of Japan with representatives of the American Friends Service Committee (AFSC) in office, Los Angeles, California, November 7, 1956.  Two Caucasian men stand at right; one hands a piece of paper to Nakamura, who is seated at a desk in center.  Two Japanese men stand at left watching.  All men wear suits.  Desk set, books and papers on organized desk.  Windows with blinds in background.  The men are identified (L to R): Kale Williams, associate executive secretary of AFSC; Vladimir Ulitin, director of Material Aids Program, AFSC; Tats Kushida, director of Southwest Regional District, Japanese American Citizens' League; and J. Shigematsu, president of Japanese Chamber of Commerce.","Consul General of Japan discusses clothing donation to Japan with American Friends Service Committee, Los Angeles, California, November 7, 1956","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.376_1_p_a.jpg,,7096d3c0004f
1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 4 x 5 in.,"Larry Nitta holding trout in front of Granada Fish Company, Los Angeles, California, July, 1, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.359_1_p_a.jpg,,0285e19a1588
"1 photographic print : b&amp;w; ; 5 x 7 in.  2 negatives : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, July 3, 1956.  First Solemn High Mass conducted by newly ordained Father Bryce T. Nishimura at Maryknoll Church in Los Angeles, California, July 2, 1956.  Includes Nishimura seated with other priests in vestments next to choir boys, and Nishimura praying and reading in front of altar.  Nishimura was assisted by Father Hugh Lavery, left; Father Robert Menard, deacon; and Rev. Richard Bell, sub-deacon.","Father Bryce T. Nishimura officiating first Solemn High Mass at Maryknoll Church, Los Angeles, California, July 2, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.360_3_a.jpg,,aff09d3b6b45
"1 photographic print : b&amp;w; ; 5 x 7 in.  2 negatives : b&amp;w; ; 4 x 5 in.  Group of women in costume for Founder's Day program at Sixth Avenue School in Los Angeles, California, February 6, 1956.","Founder's Day at Sixth Avenue School, Los Angeles, California, February 6, 1956","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.326_1_p_a.jpg,,01af112de098
"6 negatives : b&amp;w; ; 4 x 5 in.  Published March 19, 1956.  Annual California International Flower Show, featuring flower show princesses in native costume and award winning exhibitions, at Hollywood Park in Inglewood, California, March 7, 1956.  Also includes Miss Japan winner Pauline Taeko Higurashi holding bouquet of peach blossoms with participants Yasuko Ideishi and Caro Miyeko Sugano at Olive Hill at Barnsdale Park.","Princess selection at the annual International Flower Show at Hollywood Park, Inglewood, California, March 7, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.335_1_a.jpg,,4c631a933016
"1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, May 11, 1956.  Three young Caucasian women and a young man, Roy Kiyoshi Tanabe, reach for thousand dollar checks held by an older Caucasian man standing in the center for the Bank of America Achievement Awards held in the Golden State room at the Statler Hotel in Los Angeles, California, May 10, 1956.  The people are identified (L to R): Antoinette D. Scott of Canoga Park, science and mathematics; Linda Ann Hoover of Franklin, vocational arts; Jesse W. Tapp, chairman of the board of Bank of America, Gail Greiner of Los Angeles High, liberal arts; and Tanabe, fine arts.","Roy Kiyoshi Tanabe receiving Bank of America Achievement Award in Fine Arts, Los Angeles, California, May 10, 1956","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.344_1_p_a.jpg,,c7ffc12a0f93
"1 negative : b&amp;w; ; 4 x 5 in.  Studio portrait of three women posing with a poster promoting the Montebello Japanese Club Juniors of the California Federation of Women's Club's second annual City of Hope benefit dance to be held at the Institute of Aeronautical Science in Los Angeles, California, September 22, 1956.","Montebello Japanese Women's Club Junior benefit dance, September 22, 1956",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.370_1_a.jpg,,544074a5ec5a
