dim,made,prov,title,nationality,artist,image_url,birth_date,death_date,EA_id
10-3/4 x 20-1/4 in. (27.3 x 51.4 cm),17th century,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","A Classical Landscape,",French,Claude Gellée called Claude Lorrain,,1600.0,1682.0,58a31983ace9
9-1/4 x 12-3/8 x 4-3/4 in. (23.5 x 31.4 x 12.1 cm),Before 1881,Norton Simon Art Foundation,"Study of a Mustang,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.46.S,1834.0,1917.0,fe64b9477b9d
59 x 81-1/2 in. (149.9 x 207.0 cm),1861-62,"The Norton Simon Foundation, Gift of Mr. Norton Simon","The Rape of the Sabines (after Poussin),",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=F.1983.06.P,1834.0,1917.0,385b774b9485
11-3/4 x 15-1/2 in. (29.8 x 39.4 cm),1890,"Norton Simon Museum, Museum Purchase, B. Gerald Cantor Fund","Squall in the Mountains,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=P.1965.009.1,1834.0,1917.0,9b6062c9490b
16-7/16 x 7-1/8 x 6-1/2 in. (41.7 x 18.1 x 16.5 cm),1896-1911,Norton Simon Art Foundation,"Spanish Dance,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.15.S,1834.0,1917.0,44ebf628845e
28-9/16 x 13-9/16 x 11-3/4 in. (72.5 x 34.4 x 29.8 cm),1878-79,Norton Simon Art Foundation,"Study in the Nude for the Dressed Ballet Dancer,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.36.S,1834.0,1917.0,6050a347d060
17-1/2 x 7-1/4 x 4-3/4 in. (44.5 x 18.4 x 12.1 cm),Mid 1880's,Norton Simon Art Foundation,"Spanish Dance,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.16.S,1834.0,1917.0,b4faeaf8fb73
18-1/4 x 12 x 20-1/8 in. (46.4 x 30.5 cm),1896-1911,Norton Simon Art Foundation,"Seated Woman Wiping Her Left Hip,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.56.S,1834.0,1917.0,9149f5f9b9a3
13-7/8 x 13-1/2 x 9-1/2 in. (35.2 x 34.3 x 24.1 cm),1896-1911,Norton Simon Art Foundation,"Seated Woman Wiping Her Left Side,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.64.S,1834.0,1917.0,0776758b4706
10-5/8 in. (27.0 cm),c. 1881,Norton Simon Art Foundation,"Schoolgirl,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1979.22.S,1834.0,1917.0,205ae0f3ff60
plate: 4-5/8 x 6-1/4 in. (11.7 x 15.9 cm); sheet: 8 x 9-3/8 in. (20.3 x 23.8 cm),c. 1879,Norton Simon Art Foundation,"Laundresses,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1979.01.G,1834.0,1917.0,be58cbec8209
17-5/8 x 12-1/4 in. irreg. (44.8 x 31.1 cm),c. 1878,Norton Simon Art Foundation,"Seated Dancer Rubbing Her Leg,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1978.23.D,1834.0,1917.0,e6081d3848a4
37-5/8 x 13-3/16 x 9-15/16 in. (95.6 x 33.5 x 25.2 cm),1878-81,Norton Simon Art Foundation,"Little Dancer, Aged Fourteen,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.70.S,1834.0,1917.0,ed50f2035c68
7-1/8 x 4-5/16 in. (18.1 x 11.0 cm),1874,The Norton Simon Foundation,"Jockey on Horse,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=F.1981.1.D,1834.0,1917.0,8025428eced4
15-3/4 x 12-3/8 in. (40.0 x 31.4 cm),c. 1728-30,The Norton Simon Foundation,"Still Life with Fowl,",French,Jean-Baptiste Siméon Chardin,http://images.nortonsimon.org/viewer/index.php?id=F.1969.38.03.2.P,1699.0,1779.0,0546f723c6e7
15-3/4 x 12-3/8 in. (40.0 x 31.4 cm),c. 1728-30,The Norton Simon Foundation,"Still Life with Cooking Utensils,",French,Jean-Baptiste Siméon Chardin,http://images.nortonsimon.org/viewer/index.php?id=F.1969.38.03.1.P,1699.0,1779.0,b4cb09422a4c
75-3/4 x 54-3/4 in. (192.4 x 139.1 cm),1730,The Norton Simon Foundation,"Dog and Game,",French,Jean-Baptiste Siméon Chardin,http://images.nortonsimon.org/viewer/index.php?id=F.1972.56.P,1699.0,1779.0,d07edf9e4fa1
37 x 19 x 12 in. (94.0 x 48.3 x 30.5 cm),c. 1960s,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Shiva (from Shiva with Bull and Parvati),",Indian,By Prakash Chand,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.102.1.S,,,64270dd96a85
17 x 26 x 12 in. (43.2 x 66.1 x 30.5 cm),c. 1960s,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Bull (from Shiva with Bull and Parvati),",Indian,By Prakash Chand,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.102.3.S,,,426e53b222ff
31-1/2 x 15 x 8 in. (80.0 x 38.1 x 20.3 cm),c. 1960s,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Parvati (from Shiva with Bull and Parvati),",Indian,By Prakash Chand,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.102.2.S,,,ce33f9219b0c
18-1/2 x 21-3/4 in. (47.0 x 55.2 cm),1880-1881,The Norton Simon Foundation,"Vase of Flowers,",French,Paul Cézanne,http://images.nortonsimon.org/viewer/index.php?id=F.1968.01.P,1839.0,1906.0,190aca9dd472
32-1/2 x 42 in. (82.6 x 106.7 cm),early 16th century,The Norton Simon Foundation,"Madonna and Child with St. Peter and St. Catherine of Alexandria,",Italian,Vincenzo Catena,http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.014.P,1470.0,1531.0,3d107af88223
28-1/2 x 16-1/2 in. (72.4 x 41.9 cm),1888-1890,"Norton Simon Art Foundation, Gift of Mr. Norton Simon","Tulips in a Vase,",French,Paul Cézanne,http://images.nortonsimon.org/viewer/index.php?id=M.1976.12.P,1839.0,1906.0,207731b1747f
32 x 43 in. (81.3 x 109.2 cm),after 1510,Norton Simon Art Foundation,"The Rest on the Flight into Egypt,",Italian,Vincenzo Catena,http://images.nortonsimon.org/viewer/index.php?id=M.2008.2.P,1470.0,1531.0,12c7fd3b8722
18-1/8 x 15 in. (46.1 x 38.2 cm),1866,Norton Simon Art Foundation,"Uncle Dominique,",French,Paul Cézanne,http://images.nortonsimon.org/viewer/index.php?id=M.1968.31.P,1839.0,1906.0,d20131b9b72c
36 1/8 x 28 11/16 in. (91.8 x 72.9 cm),1884-1885,Norton Simon Art Foundation,"Farmhouse and Chestnut Trees at Jas de Bouffan,",French,Paul Cézanne,http://images.nortonsimon.org/viewer/index.php?id=M.1995.1.P,1839.0,1906.0,8ebc7f8ccc2b
sheet: 30 x 22 in. (76.2 x 55.9cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 10: El Paseo,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.093,,,15e8369c67af
Image: 4-1/8 x 6-3/16 in. (10.6 x 16.2 cm); Paper: 10-13/16 x 13-13/16 in. (27.5 x 35.1 cm),1971,"Norton Simon Museum, Gift of the Artist","Washington, D.C.,",American,Joe Cameron,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.156,1939.0,,259e2bf07bf2
sheet: 30 x 22 in. (76.2 x 55.9cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 1,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.095,,,2d490649ad45
29-1/4 x 43 in. (74.3 x 109.2 cm),1967,"Norton Simon Museum, Gift of Norton Simon Inc.","Triangular Maze,",American,Alexander Calder,,1898.0,1976.0,297b16f43725
Image: 4-3/8 x 6-1/4 in. (11.1 x 15.9 cm); Paper: 10-7/8 x 13-7/8 in. (27.6 x 35.2 cm),c.1969,"Norton Simon Museum, Gift of the Artist","Washington, D.C.,",American,Joe Cameron,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.154,1939.0,,5b4290131851
Image: 4-3/16 x 6-1/4 in. (10.6 x 15.9 cm); Paper: 11 x 7 in. (27.9 x 17.8 cm),1970,"Norton Simon Museum, Gift of the Artist","Washington, D.C.,",American,Joe Cameron,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.155,1939.0,,f144f25b1f95
16-1/4 x 22-1/2 in. (41.2 x 57.2 cm),c.1865,The Norton Simon Foundation,"Woodland Scene with Hunters,",French,Michel Bouquet,http://images.nortonsimon.org/viewer/index.php?id=F.1983.05.P,1807.0,1890.0,c233f0e5f1de
48 x 22 x 21 in. (121.9 x 55.9 x 53.3 cm),1903,"Norton Simon Museum, Gift of Mr. B. Gerald Cantor","Grande Beethoven, Accoude,",French,Antoine Bourdelle,,1861.0,1929.0,ee7247a8297e
22-1/2 x 30-1/2 in. (57.2 x 77.5 cm),1944,"Norton Simon Museum, Gift of Norton Simon Inc.","On the Blue,",American,Alexander Calder,,1898.0,1976.0,b505a7e4d722
10-3/4 x 5-1/2 x 3-1/2 in. (27.3 x 14.0 x 8.9 cm),1925,"Norton Simon Museum, Gift of Mr. B. Gerald Cantor","Daumier,",French,Antoine Bourdelle,,1861.0,1929.0,5bcc38344d08
34-1/4 x 27-3/4 in. (87.0 x 70.5 cm),1850,Norton Simon Art Foundation,"Monsieur M.,",French,William-Adolphe Bouguereau,http://images.nortonsimon.org/viewer/index.php?id=M.1977.13.1.P,1825.0,1905.0,93fa68de6a67
16-1/4 x 22-1/2 in. (41.2 x 57.2 cm),c.1865,The Norton Simon Foundation,"Woodland Scene with Hunters,",French,Michel Bouquet,http://images.nortonsimon.org/viewer/index.php?id=F.1983.05.P,1807.0,1890.0,bc0e01b68526
5-5/8 x 9-3/8 in. (14.3 x 23.8 cm),1888,"Norton Simon Museum, Gift of Mr. Cary Grant","Beach at Trouville,",French,Louis-Eugène Boudin,http://images.nortonsimon.org/viewer/index.php?id=P.1980.2.2,1824.0,1898.0,f0e96d420325
19-3/4 x 24-1/8 in. (50.2 x 61.3 cm),1886,Norton Simon Art Foundation,"Low Tide, Berck,",French,Louis-Eugène Boudin,http://images.nortonsimon.org/viewer/index.php?id=M.1992.1.P,1824.0,1898.0,b7ec9eb55c54
5-7/8 x 9-7/8 in. (14.9 x 25.1 cm),1880,"Norton Simon Museum, Gift of Mr. Cary Grant","Beach at Trouville,",French,Louis-Eugène Boudin,http://images.nortonsimon.org/viewer/index.php?id=P.1980.2.1,1824.0,1898.0,d6cd15244044
8-1/4 x 16-1/4 in. (21.0 x 41.3 cm),1873,The Norton Simon Foundation,"Beach at Trouville,",French,Louis-Eugène Boudin,http://images.nortonsimon.org/viewer/index.php?id=F.1968.10.P,1824.0,1898.0,e2fa3efa4348
sheet: 30 x 22 in. (76.2 x 55.9cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 11: El Político,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.097,,,f6a6d49d0ab1
20 x 52-5/8 in. (50.8 x 133.7 cm),c.1890-1895,Norton Simon Art Foundation,"Allegory of the Arts,",French,William-Adolphe Bouguereau,,1825.0,1905.0,814454b84208
43 x 29-1/4 in. (109.2 x 74.3 cm),1967,"Norton Simon Museum, Gift of Mr. W. H. Hal Hinkle, New York","Maelstrom with Blue,",American,Alexander Calder,http://images.nortonsimon.org/viewer/index.php?id=P.1986.1,1898.0,1976.0,8d72d5932b80
Image: 7-3/16 x 10-15/16 in. (18.3 x 27.8 cm); Paper: 10-3/4 x 13-3/4 in. (27.3 x 34.9 cm),1970,"Norton Simon Museum, Gift of the Artist","Washington, D.C.,",American,Joe Cameron,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.153,1939.0,,c136a324e1b5
43-1/4 x 29-1/2 in. (109.9 x 74.9 cm),1968,"Norton Simon Museum, Gift of Norton Simon Inc.","Black Saucers,",American,Alexander Calder,,1898.0,1976.0,de4a55dfb0c4
Image: 7-1/4 x 11 in. (18.4 x 27.9 cm); Paper: 10-3/4 x 13-3/4 in. (27.3 x 34.9 cm),1969,"Norton Simon Museum, Gift of the Artist","Maryland,",American,Joe Cameron,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.152,1939.0,,d390cd0fe842
Image: 6-3/16 x 4-3/16 in. (15.7 x 10.6 cm); Paper: 13-13/16 x 10-7/8 in. (35 x 27.6 cm),c.1969,"Norton Simon Museum, Gift of the Artist","Virginia,",American,Joe Cameron,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.157,1939.0,,d3a5986c75c0
Image: 10-7/8 x 7-3/16 in. (27.6 x 18.3 cm); Paper: 13-3/4 x 10-3/4 in. (34.9 x 27.3 cm),1970,"Norton Simon Museum, Gift of the Artist","Maryland,",American,Joe Cameron,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.151,1939.0,,c3ffbdd10bba
sheet: 30 x 22 in. (76.2 x 55.9cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","La Violencia 8,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.105,,,8f25077fcf85
"Paper: 20"" x 28"" (50.8cm x 71.12 cm); Image: 18 7/8"" x 24 3/4 (47.94cm x 62.87cm)",1969,"Norton Simon Museum, Anonymous Gift, 1971","Saludo a una Personalidad,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.147,,,7995ce01f06e
sheet: 22 x 30 in. (55.9 x 76.2 cm); Image 15 x 27 1/2 in. (38.1 x 69.85 cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","La Violencia 6: El Herido,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.104,,,b6a195601a7f
sheet: 22 x 30 in. (55.9 x 76.2),1969,"Norton Simon Museum, Anonymous Gift","La Violencia 5: Los Prisioneros,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.102,,,99c77d5c2a64
sheet: 30 x 22 in. (76.2 x 55.9cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","La Violencia 7: El Muerto,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.099,,,ab289a1a98ca
sheet: 22 x 30 in. (55.9 x 76.2 cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","La Violencia 3: Los Revolucionarios,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.101,,,b96e49e964e8
sheet: 22 x 30 in. (55.9 x 76.2 cm); 18 3/4 x 25 1/8 in. (47.63 x 63.82 cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","La Violencia 2: Descolorida Paz, Preciosa Guerra,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.100,,,862774b52953
sheet: 22 x 30 in. (55.9 x 76.2 cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","La Violencia 4: La Pelea,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.103,,,2f5f995c7b4a
sheet: 30 x 22 in. (76.2 x 55.9cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 12: El Abrazo,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.092,,,90c97c613950
"Paper: 20"" x 28"" (50.8cm x 71.12 cm)",1969,"Norton Simon Museum, Anonymous Gift, 1971","El Tumulto,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.148,,,a7325c901f6b
sheet: 30 x 22 in. (76.2 x 55.9cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","La Violencia 1,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.106,,,324769bc3db7
sheet: 22 x 30 in. (55.9 x 76.2 cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 8: Larga Espero,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.090,,,0f506a8f7b9c
sheet: 30 x 22 in. (76.2 x 55.9cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 9: El Diálogo,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.098,,,1a7dc8a2da91
sheet: 22 x 30 in (55.9 x 76.2 cm),1969,"Norton Simon Museum, Anonymous Gift","The Earth 7: El Llanto,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.085,,,182096b6066c
sheet: 30 x 22 in (76.2 x 55.9  cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 6: El Carcelero,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.089,,,5a36796ae443
13-3/4 x 38-3/4 in. (34.9 x 98.4 cm),1900,The Norton Simon Foundation,"The Place Clichy, Paris,",French,Pierre Bonnard,http://images.nortonsimon.org/viewer/index.php?id=F.1969.09.P,1867.0,1947.0,17dbb3c28cf5
Norton Simon Art Foundation,1899,M.1968.34.1.01-13.G,"View of Paris Life,",French,Pierre Bonnard,,1867.0,1947.0,1aeb86506156
sheet: 30 x 22 in (76.2 x 55.9  cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 5: Vivo Tiempos Sombrios,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.087,,,a116fae2b3ec
15 x 18 in. (38.1 x 45.7 cm),late 18th century,"Norton Simon Art Foundation, Gift of Mr. Norton Simon","Interrupted Supper,",French,Louis-Léopold Boilly,http://images.nortonsimon.org/viewer/index.php?id=M.1967.23.2.P,1761.0,1845.0,2e57b2ad64dd
15 x 18 in. (38.1 x 45.7 cm),late 18th century,"Norton Simon Art Foundation, Gift of Mr. Norton Simon","Interrupted Supper,",French,Louis-Léopold Boilly,http://images.nortonsimon.org/viewer/index.php?id=M.1967.23.1.P,1761.0,1845.0,71a6e476c9dd
sheet: 22 x 30 in. (55.9 x 76.2 cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 3: Tus Gritos Oirán,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.091,,,e668c3b2e071
8-7/8 x 12 in. (22.5 x 30.5 cm),1925-1928,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Landscape with Trees,",Swiss/American,Ernest Bloch,,1880.0,1959.0,7df467777545
49 x 32-5/8 in. (124.5 x 82.9 cm),1930,Norton Simon Art Foundation,"Portrait of Leila Claude Anet,",French,Pierre Bonnard,http://images.nortonsimon.org/viewer/index.php?id=M.1993.1.P,1867.0,1947.0,ebf508b164f7
sheet: 22  x 30 in (55.9 x 76.2 cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 4: Cordon de Policiá,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.086,,,9b80e778b8fd
7-7/8 x 10-3/8 in. (20.0 x 26.4 cm),1927-1928,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Landscape with Lake,",Swiss/American,Ernest Bloch,,1880.0,1959.0,e2f212b8205e
6-7/8 x 5 in. (17.5 x 12.7 cm),1925-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Landscape with Plants,",Swiss/American,Ernest Bloch,,1880.0,1959.0,326b72b4377b
12 x 8-7/8 in. (30.5 x 22.5 cm),1925-1928,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Flowers and Green Grass,",Swiss/American,Ernest Bloch,,1880.0,1959.0,07626f906754
10-1/2 x 7-3/4 in. (26.7 x 19.7 cm),c. 1927-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Flowers,",Swiss/American,Ernest Bloch,,1880.0,1959.0,58684f871fc8
7 x 5 in. (17.8 x 12.7 cm),1925-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Landscape,",Swiss/American,Ernest Bloch,,1880.0,1959.0,c91e5e74c20f
10-3/8 x 7-5/8 in. (26.4 x 19.5 cm),1925-1928,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Head,",Swiss/American,Ernest Bloch,,1880.0,1959.0,e75b8d2e2796
5-3/4 x 8-7/8 in. (14.6 x 22.5 cm),c. 1927-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Excessive Unburdenedness,",Swiss/American,Ernest Bloch,,1880.0,1959.0,0fecb008da52
5-3/4 x 9 in. (14.6 x 22.9 cm),c. 1927-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Excessive Rapture,",Swiss/American,Ernest Bloch,,1880.0,1959.0,c9302da009ad
12 x 8 7/8 in. (30.5 x 22.5 cm),c. 1925-1926,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","American Woman,",Swiss/American,Ernest Bloch,,1880.0,1959.0,98a179703571
5 3/4 x 8 7/8 in. (14.6 x 22.5 cm),c. 1927-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Dream through Sponginess,",Swiss/American,Ernest Bloch,,1880.0,1959.0,46e173c332db
7 x  5 in. (17.8 x 12.7 cm),c. 1927-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Broken Heart,",Swiss/American,Ernest Bloch,,1880.0,1959.0,34e3f721be7e
sheet: 22 x 30 in. (55.9 x 76.2 cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 2: Entre el Pueblo Estoy,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.088,,,08966f79e11a
sheet: 30 x 22 in. (76.2 x 55.9cm); Image: 25 1/2 x 18 3/4 (64.77 x 47.63),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 14,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.096,,,5dea73c83cbc
10-3/8 x 7-3/4 in. (26.4 x 19.7 cm),c. 1927-1928,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Mountainous Landscape,",Swiss/American,Ernest Bloch,,1880.0,1959.0,15929a7c2955
sheet: 22 x 30 in. (55.9 x 76.2),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Earth 13: Escena Urbana,",Spanish,Rafael Canogar,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.094,,,d2781d165190
11 x 8 1/2 in. (27.9 x 21.6 cm),c. 1927-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","View in the Distance,",Swiss/American,Ernest Bloch,,1880.0,1959.0,f845873386b6
6-7/8 x 5 in. (17.5 x 12.7 cm),1925-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Trees,",Swiss/American,Ernest Bloch,,1880.0,1959.0,8b1f3c2eb19b
7-3/4 x 10-3/8 in. (19.7 x 26.4 cm),c. 1927-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Scene with Five Figures,",Swiss/American,Ernest Bloch,,1880.0,1959.0,6bbdfea716b6
12 x 8-5/8 in. (30.5 x 21.9 cm),c.1925-1926,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Suffragette,",Swiss/American,Ernest Bloch,,1880.0,1959.0,5d78005d1431
7-5/8 x 10-3/8 in. (19.4 x 26.4 cm),c. 1927-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Plants with Purple Sky,",Swiss/American,Ernest Bloch,,1880.0,1959.0,e45f5b8582ec
5-3/4 x 8-7/8 in. (14.6 x 22.5 cm),c. 1927-1930,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Primeval Gathering of Strength,",Swiss/American,Ernest Bloch,,1880.0,1959.0,6bae72e4f98e
Image: 9-3/4 x 7-3/4 in. (24.8 x 19.7 cm),1968,"Norton Simon Museum, Gift of the Artist","Trees Reflected in a Shaving Mirror,",German,Ruth Bernhard,http://images.nortonsimon.org/viewer/index.php?id=PH.1969.92,1905.0,2006.0,756f22e66c95
27-1/4 x 22-1/4 in. (69.2 x 56.5 cm),1763,The Norton Simon Foundation,"Portrait of the Archduchess Marie Anne of Austria,",French,Pierre Bernard,http://images.nortonsimon.org/viewer/index.php?id=F.1983.17.2.P,1704.0,1777.0,e7d3c25c22d8
19-3/4 x 24 in. (50.2 x 61.0 cm),1887,"Norton Simon Art Foundation, Gift of Jennifer Jones Simon","Still Life with Flowers,",French,Émile Bernard,http://images.nortonsimon.org/viewer/index.php?id=M.1997.1.2.P,1868.0,1941.0,498e6fee4aab
95 x 59 x 20 in. (241.3 x 149.9 x 50.8 cm),1891-1893,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Cupboard,",French,Émile Bernard,,1868.0,1941.0,6ffed848b606
27-1/4 x 22-1/4 in. (69.2 x 56.5 cm),1763,The Norton Simon Foundation,"Portrait of the Archduchess Elisabeth of Austria,",French,Pierre Bernard,http://images.nortonsimon.org/viewer/index.php?id=F.1983.17.1.P,1704.0,1777.0,6e193be29aea
28-7/8 x 39-1/2 in. (73.3 x 100.3 cm),c. 1888-1889,"Norton Simon Art Foundation, Gift of Jennifer Jones Simon","Brittany Landscape,",French,Émile Bernard,,1868.0,1941.0,4d8ce5d197ef
Image: 13-1/4 x 10-3/8 in. (33.7 x 26.4 cm),1951,"Norton Simon Museum, Gift of the Artist","At the Pool,",German,Ruth Bernhard,http://images.nortonsimon.org/viewer/index.php?id=PH.1969.91,1905.0,2006.0,2e129d99e8f7
79 x 93-1/4 in. (200.7 x 236.9 cm),late 17th century / early 18th century,Norton Simon Art Foundation,"Evening Landscape with Tower and Figures, and a Distant View of Mount Soracte, Rome,",Dutch,Nicolaes Berchem,http://images.nortonsimon.org/viewer/index.php?id=M.1977.11.P,1620.0,1683.0,ee898ef3579b
26-5/8 x 25-1/4 in. (67.6 x 64.1 cm),1679,The Norton Simon Foundation,"Pastoral Scene,",Dutch,Nicolaes Berchem,http://images.nortonsimon.org/viewer/index.php?id=F.1972.15.4.P,1620.0,1683.0,e46b000385f8
Sheet: 5-1/2 x 5-1/4 in. (14.0 x 13.3 cm); Image: 4-1/2 x 4-1/4 in. (11.4 x 10.8 cm),1968,"Norton Simon Museum, Anonymous Gift, 1969","Players Dracula Decimo,",American,Billy Al Bengston,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.423,1934.0,,47225fdf4e22
Image: 6-1/2 x 9-1/2 in. (16.5 x 24.1 cm),1969,"Norton Simon Museum, Gift of the Artist","Untitled #2 (Man Within Plastic Material),",American,Gordon L. Bennett,http://images.nortonsimon.org/viewer/index.php?id=PH.1969.38,1933.0,,8f80ca9be8b2
Sheet: 5-1/2 x 5-1/4 in. (14.0 x 13.3 cm),1968,"Norton Simon Museum, Anonymous Gift, 1969","Players Dracula Duodecimo,",American,Billy Al Bengston,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.425,1934.0,,73b1fe65b997
Sheet: 5-1/2 x 5-1/4 in. (14.0 x 13.3 cm),1968,"Norton Simon Museum, Anonymous Gift, 1969","Players Dracula Noveno,",American,Billy Al Bengston,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.422,1934.0,,fc95efa22448
12-1/8 x 12-1/8 x 12-1/8 in. (30.8 x 30.8 x 30.8 cm),1969,"Norton Simon Museum, Gift of Mr. Philip Johnson","Untitled,",American,Larry Bell,,1939.0,,230f1c02a87b
