Artist_Name,Process,Dimensions,Provenance,image,Artwork_Name,Artwork_Year,EA_id
Catherine Opie,"Fuji Supergloss dye-coupler print, A.P.",20 x 16 in. (50.8 x 40.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Chip and Lara Leavitt",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.123&dim=300px,Frankie,1994,390ad151c88b
Catherine Opie,"Iris print, edition of 5","16 x 41 in. (40.6 x 104.1 cm)
Frame: 26 1/2 x 51 3/8 in. (67.3 x 130.5 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Citibank Private Bank Emerging Artists Award, 1997",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.183&dim=300px,Untitled #4,1997,7cda71a9d974
Catherine Opie,"Iris print, edition of 5","Frame: 26 1/2 x 51 3/8 in. (67.3 x 130.5 cm)
16 x 41 in. (40.6 x 104.1 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Citibank Private Bank Emerging Artists Award, 1997",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.182&dim=300px,Untitled #2,1997,9ab997f353b8
Catherine Opie,Chromogenic print,60 x 30 in. (152.4 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the friends of Virgil Young in his memory",http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.10&dim=300px,Bo,1994,97360ddc30a3
Catherine Opie,"Iris print, edition of 5","16 x 41 in. (40.6 x 104.1 cm)
26 1/2 x 51 3/8 in. (67.3 x 130.5 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Citibank Private Bank Emerging Artists Award, 1997",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.184&dim=300px,Untitled #5,1997,0f8285f6f500
Tomas Osinski,"Pencil on paper, ink on paper, and tree branch","Drawings: 82 x 41 in. (208.3 x 104.1 cm)
Branch: 52 x 18 x 9 in. (132.1 x 45.7 x 22.9 cm)","The Museum of Contemporary Art, Los Angeles
Gift of the artist by Cultural Exchange",http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.36A-M&dim=300px,Reconstruction,1982,9e43d18fd037
Albert Oehlen,Inkjet and oil on canvas,59 x 43 1/4 in. (149.9 x 109.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.186&dim=300px,24-7 Punk,2001,740e2621fadc
Arthur Ollman,"Ektachrome print, no. 24/35",13 1/8 x 19 in. (33.3 x 48.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind",http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.61&dim=300px,"AO5 (San Francisco, Checkerboard Drive)",1977,83cd2331bd3f
Laura Owens,"Acrylic, oil, and watercolor on canvas",110 x 144 in. (279.4 x 365.8 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Scott D. F. Spiegel Endowment Fund",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.68&dim=300px,Untitled,2000,19ed6cc8f730
Laura Owens,Watercolor and collage on paper,"17 1/2 x 14 1/4 in. (44.5 x 36.2 cm)
Paper: 10 1/4 x 7 in. (26 x 17.8 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.261&dim=300px,Untitled,1998,f6337ffdc20f
Laura Owens,Acrylic on canvas,24 x 20 in. (61 x 50.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Thea Westreich and Ethan Wagner in honor of Ann Goldstein",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.100&dim=300px,Untitled,1997,f670ae965cfe
Louise Nevelson,Wood painted black,114 x 124 x 16 in. (289.6 x 315 x 40.6 cm),"The Museum of Contemporary, Los Angeles
Gift of the artist",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.14&dim=300px,Sky Cathedral/Southern Mountain,1959,4c8c126e01c9
Louise Nevelson,Wood painted black,110 x 107 1/2 x 74 in. (279.4 x 273.1 x 188 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Pace Gallery and the artist",http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.26&dim=300px,Winter Garden,1975,b2b3298c7663
Louise Nevelson,Wood painted black,43 x 36 x 34 in. (109.2 x 91.4 x 86.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Mr. and Mrs. Arnold Glimcher",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.32&dim=300px,Moon Fountain,1957,4d783c6cc22b
Louise Nevelson,"Five color silkscreen, edition 199/300",12 x 9 in. (30.5 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Steven Feinstein",http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.12.17&dim=300px,Untitled,1973,0313a68f3e3e
Louise Nevelson,Wood painted black,35 1/2 x 38 1/2 x 15 in. (90.2 x 97.8 x 38.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Mr. and Mrs. Arnold Glimcher",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.8&dim=300px,Night Landscape,1955,fd9f7c7c0a70
John Neff,Collage on paper,"10 3/4 x 14 3/4 in. (27.3 x 37.5 cm)
Frame: 10 3/4 x 14 3/4 in. (27.3 x 37.5 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Martin and Rebecca Eisenberg",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.24&dim=300px,Untitled,2001,d29d5ae56a92
John Neff,Collage on paper,"12 3/4 x 9 3/4 in. (32.4 x 24.8 cm)
Frame: 21 5/8 x 9 3/4 in. (54.9 x 24.8 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Martin and Rebecca Eisenberg",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.25&dim=300px,Untitled,2001,e122146f8478
John Neff,Collage on paper,"15 x 11 3/4 in. (38.1 x 29.8 cm)
Frame: 15 x 13 3/4 in. (38.1 x 34.9 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Martin and Rebecca Eisenberg",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.27&dim=300px,Untitled,2001,a325c34a8384
John Neff,Color contact print,14 3/4 x 12 3/4 in. (37.5 x 32.4 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Martin and Rebecca Eisenberg",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.28&dim=300px,Copyist,2001,cb069697a20a
Cady Noland,Color photostat,20 x 24 in. (50.8 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.11&dim=300px,"Car Race, Red Suit.
Photo: Thevenin/SIPA Press
Monaco Grand Prix, May . , 0",1982,6dd5fff53ed9
David Novros,Acrylic lacquer and dry pigment on fiberglass,12 panels: 120 x 156 in. (304.8 x 396.2 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Dorot Foundation and gift of the artist in honor of Peter Ungerleider&#039;s 50th Birthday",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.127A-L&dim=300px,Untitled,1968,ecdf1e1c8f36
David Novros,"Acrylic lacquer, and murano pigment and dry pigment on fiberglass",96 x 108 in. (243.8 x 274.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Barbara Jakobson",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.72A-L&dim=300px,Untitled,1968,847f5d2ef159
Arnold Newman,Gelatin silver print,Image: 20 x 16 in. (50.8 x 40.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.89&dim=300px,"Alberto Giacometti,  , 0",1954,f7b4854ddb6b
Arnold Newman,Gelatin silver print,Image: 14 x 11 in. (35.6 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.86&dim=300px,"Piet Mondrian,  , 0",1942,165ada4c53d4
Arnold Newman,Gelatin silver print,Image: 10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.85&dim=300px,"Barnett Newman,  , 0",1970,0daefcb4cfd7
Arnold Newman,Gelatin silver print,Image: 10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.90&dim=300px,"Edward Kienholz,  , 0",1967,e4d63f85ba1d
Arnold Newman,Gelatin silver print,Image: 14 x 11 in. (35.6 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.88&dim=300px,"Adolph Gottlieb,  , 0",1970,1cf4ed1004e3
Arnold Newman,Gelatin silver print,Image: 10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.87&dim=300px,"Tony Smith,  , 0",1967,3e9d7767c376
Arnold Newman,Silver print,11 x 14 in. (27.9 x 35.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Jonathan Starr",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.110&dim=300px,Moses and Raphael Soyer - New York City,1942,448f3882d025
Arnold Newman,Gelatin silver print,Image: 11 x 14 in. (27.9 x 35.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.91&dim=300px,"George Segal&#039;s Studio,  , 0",1985,6253407f2cc9
Arnold Newman,Gelatin silver print,Image: 14 x 11 in. (35.6 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.92&dim=300px,"Jean Dubuffet,  , 0",1956,6ad81e3201ba
Jerry McMillan,Photo-etched half hard brass coil,274 3/8 x 12 in. (696.9 x 30.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Dr. Leopold S. Tuchman",http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.38&dim=300px,Untitled,1975,6ebefc3f2480
Steve McQueen,"Triptych, color video projection with sound",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne in honor of Jeremy Strick",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.176&dim=300px,Drumroll,1998,61c15f5e770f
T. Kelly Mason,Graphite on paper,24 x 18 in. (61 x 45.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of an anonymous donor",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.62&dim=300px,White Noise -- Black Hole,2001,c8a9bc4afa8a
T. Kelly Mason,"Aluminum structure, packing blankets, collage and sound installation",98 1/2 x 63 x 358 1/4 in. (250.2 x 160 x 910 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Mike Kelley",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.11&dim=300px,Passage from Present to Presence,2000,94d44db6845d
Robert Motherwell,Red and blue ink on rice paper,9 x 11 in. (22.9 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Steven Roth",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.54&dim=300px,Lyric Suite (D65-),2578,c3ed6f09453d
Robert Motherwell,Black and colored ink on rice paper,11 x 9 in. (27.9 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Steven Roth",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.53&dim=300px,Lyric Suite (D65-209),1965,22083c30899f
Robert Motherwell,Black ink on rice paper,9 x 11 in. (22.9 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Steven Roth",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.52&dim=300px,Lyric Suite (D65-),1779,20de4d77f688
Robert Motherwell,Black and colored ink on rice paper,11 x 9 in. (27.9 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Steven Roth",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.49&dim=300px,Lyric Suite (D65-),1648,6d20168476b8
Robert Motherwell,Black and colored ink on rice paper,11 x 9 in. (27.9 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Steven Roth",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.50&dim=300px,Lyric Suite (D65-),1703,af6ea6305ec1
Robert Motherwell,Black  ink on rice paper,11 x 9 in. (27.9 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Steven Roth",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.51&dim=300px,Lyric Suite (D65-),1749,3d1307a1d136
Robert Motherwell,Acrylic paint and black chalk on canvas and paper,72 x 36 in. (182.9 x 91.4 cm),"The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman",http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.145&dim=300px,In Red with Two Ovals,1976,8c48fba1913d
Ree Morton,Celastic over wire,Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by a grant from The Judith Rothchild Foundation and the Curatorial Discretionary Fund",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.20&dim=300px,Coil Piece,1975,7c69688dbc6a
Gordon Matta-Clark,"Parquet wood flooring, drywall, and wood with cibachrome print on masonite","Photo: 30 x 20 in. (76.2 x 50.8 cm)
Floor: 15 3/4 x 59 x 90 1/2 in. (40 x 149.9 x 229.9 cm)","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.166A-C&dim=300px,Office Baroque,1977,af39e73681c3
Gordon Matta-Clark,Black ink on paper,14 1/4 x 47 in. (36.2 x 119.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Thomas Solomon and John Solomon in memory of Holly Solomon",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.19&dim=300px,Untitled,1973,a628abac7c83
Gordon Matta-Clark,Black and white photo collage,30 x 40 in. (76.2 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Dr. David Clark and Dr. Jennifer Andrews Clark",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.107&dim=300px,Splitting,1974,d1c57b0a0103
John Miller,"Assorted plastic objects, aluminum cans, insulation foam, plaster, paper mache, modeling paste, styrofoam, acrylic on masonite panel",47 1/4 x 39 1/2 x 10 1/4 in. (120 x 100.3 x 26 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist and Metro Pictures, New York",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.124&dim=300px,We Drank Some Cokes and Beat Our Toys into Ploughshares,1991,e3bef718c664
John Miller,Acrylic on board and various object,60 x 48 in. (152.4 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Alan Power",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.89&dim=300px,Untitled,1991,38013968faf6
John Miller,"Broadloom carpet, stitched",42 x 42 x 1/2 in. (106.7 x 106.7 x 1.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Kourosh Larizadeh and Luis Pardo",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.124&dim=300px,Remnant,1993,bd69afa49064
Cindy Sherman,Color coupler print,40 x 30 in. (101.6 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of William J. and Maria Bell",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.130&dim=300px,Untitled #118,1983,71b215bec162
Cindy Sherman,"Cibachrome print, edition 5/10","24 x 48 in. (61 x 121.9 cm)
Frame: 31 x 55 x 2 1/2 in. (78.7 x 139.7 x 6.4 cm)","The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.93&dim=300px,Untitled #88,1981,9e03d7578199
Cindy Sherman,"Black and white photograph, edition 3/10",25 1/2 x 38 1/2 in. (64.8 x 97.8 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.206&dim=300px,Untitled,1999,42ae7ad09113
Cindy Sherman,Gelatin silver print,10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Puchased with funds provided by the friends of Marsha Kleinman in her memory",http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.56&dim=300px,Untitled Film Still #65,1980,f109ec39da55
Cindy Sherman,Color photograph,14 x 14 in.,"The Museum of Contemporary Art, Los Angeles
Gift of Alan N. Kleinman from the Estate of Marsha Kleinman",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.93&dim=300px,Untitled (Self Portait holding a book),1985,5326110938c5
Cindy Sherman,"Chromogenic color print, edition 1/6",58 x 42 in. (147.3 x 106.7 cm),"The Museum of Contemporary Art, Los Angeles
Partial gift of Beatrice and Philip Gersh",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.162&dim=300px,Untitled #223,1990,dad67c84580f
Cindy Sherman,"Cibachrome print, edition 107/125",20 x 16 in. (50.8 x 40.6 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.92&dim=300px,Untitled,1982,6379d5d778fe
Raimund Abraham,Gift of the American Art Foundation,85.2.1-13,,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.1-13&dim=300px,"Anthology Film Archives: A Portfolio of Thirteen Prints , 0",,b5f340ba4202
Raimund Abraham,"Etching on Arches paper, edition 15/75","25 x 32 in. (63.5 x 81.3 cm)
Other (Mounted on paper): 42 x 31 in. (106.7 x 78.7 cm)","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.1&dim=300px,Untitled,1982,a7e21946959f
Richard Diebenkorn,Oil on canvas,65 1/4 x 92 in. (165.7 x 233.7 cm),"Collection of Lenore S. and Bernard A. Greenberg
Partial gift to The Museum of Contemporary Art, Los Angeles",http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.84&dim=300px,Ocean Park 131,1985,f17496bb36ef
Richard Diebenkorn,"Drypoint and aquatint, edition 34/35",36 1/2 x 30 1/2 in. (92.7 x 77.5 cm),"The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman",http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.110&dim=300px,Spreading Spade,1981,5ba3b33e01b6
Richard Diebenkorn,"Watercolor, ink, and pencil on paper","Paper: 15 1/2 x 18 3/4 in. (39.4 x 47.6 cm)
Frame: 22 3/4 x 25 3/4 x 1 1/2 in. (57.8 x 65.4 x 3.8 cm)","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman",http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.107&dim=300px,Untitled,1953,e67525c6b28f
Richard Diebenkorn,"Acrylic, gouache, pasted paper, and crayon on paper","Paper: 37 3/4 x 25 in. (95.9 x 63.5 cm)
Frame: 44 x 31 x 1 1/4 in. (111.8 x 78.7 x 3.2 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Mr. and Mrs. Ray Stark",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.128&dim=300px,O.P. 85 #5,1985,1f01a003d79d
Karel Appel,Gouache on paper,22 1/2 x 30 in. (57.2 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Judge Pearce Young",http://www.moca.org/museum/pc_media_viewer.php?acsnum=83.20&dim=300px,Oiseau,1961,6a8e38221f60
George McNeil,Oil on canvas,68 x 56 in. (172.7 x 142.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of David J. Haddad",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.60&dim=300px,Pere Ubu and Friends,1982,5cef23c501fc
Dave Muller,Acrylic on paper,Each (6 parts): 84 x 36 in. (213.4 x 91.4 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.7A-F&dim=300px,Quick Picks (twenty-six),2004,ef6ebba67cc0
Dave Muller,Acrylic on paper,60 x 40 in. (152.4 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.18&dim=300px,Re-Smith,1998,c465874f2483
Dave Muller,Acrylic and ink on paper,12 x 9 in. (30.5 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.17&dim=300px,Smith,1998,fa660a31233c
Dave Muller,Enamel and tape on aluminum,"Each (4 Panels): 23 x 34 3/4 in. (58.4 x 88.3 cm)
Installed:  Dimensions variable","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.7&dim=300px,Oversized Card Set (Collector&#039;s Version),1996,b8a731e77de7
Dave Muller,"Pencil, glitter, glue, and ink on paper",32 x 24 in. (81.3 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.20&dim=300px,Damaged Goods,1994,b175c94b5c15
Dave Muller,Panel and acrylic on paper,40 x 30 in. (101.6 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.19&dim=300px,An Uncommonly Serene Moment,1998,82583bfbcfc6
Dave Muller,Acrylic and pencil on paper,43 3/4 x 35 3/4 in. (111.1 x 90.8 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Andy Warhol Foundation for the Visual Arts, Inc. and Councilman Joel Wachs",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.99&dim=300px,Substitute (Celebrity),1999,f331a3e240e6
Ciprian Muresan,Pencil on paper,"Image: 13 x 19 11/16 in. (33 x 50 cm)
Frame: 15 1/8 x 22 1/8 x 1 1/4 in. (38.4 x 56.2 x 3.2 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.64A-L&dim=300px,Untitled,2007,69462be1392e
Jerry McMillan,Photo-etched half hard brass coil,274 3/8 x 12 in. (696.9 x 30.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Dr. Leopold S. Tuchman",http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.38&dim=300px,Untitled,1975,a6da7cbb05da
Jerry McMillan,Gelatin silver print,16 x 20 in. (40.6 x 50.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind",http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.66.12&dim=300px,Untitled,1977,16e17b7dd3a4
Agnes Martin,"India ink, graphite and gesso on canvas",72 x 72 in. (182.9 x 182.9 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.68&dim=300px,Untitled #2,1977,a0f587d3b930
Agnes Martin,"Gesso, acrylic, and graphite on canvas",72 x 72 in. (182.9 x 182.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.19&dim=300px,Untitled #4,1980,34782742bd97
Brice Marden,Etching and aquatint,32 3/4 x 39 3/4 in. (83.2 x 101 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.17&dim=300px,Five Three&#039;s,1976,b9f08ab25ad8
Brice Marden,Oil and beeswax on fabric,30 x 120 in. (76.2 x 304.8 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.64&dim=300px,Frieze,1979,7fea8b670a97
Brice Marden,Oil and beeswax on fabric,74 x 72 in. (188 x 182.9 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.66&dim=300px,"Red, Yellow, Blue Painting",1974,4831b4840357
Thomas Nozkowski,Ink and crayon on paper,Paper: 9 x 12 in. (22.9 x 30.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.259&dim=300px,Untitled S-22,1997,d9b9dee9791c
Thomas Nozkowski,Graphite and ink on paper,Paper: 9 x 12 in. (22.9 x 30.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.260&dim=300px,Untitled W-73,1992,40bd02d89de1
Louise Nevelson,Wood painted black,114 x 124 x 16 in. (289.6 x 315 x 40.6 cm),"The Museum of Contemporary, Los Angeles
Gift of the artist",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.14&dim=300px,Sky Cathedral/Southern Mountain,1959,4392e814a946
Louise Nevelson,Wood painted black,110 x 107 1/2 x 74 in. (279.4 x 273.1 x 188 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Pace Gallery and the artist",http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.26&dim=300px,Winter Garden,1975,7e3a13f7a1d9
Louise Nevelson,Wood painted black,43 x 36 x 34 in. (109.2 x 91.4 x 86.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Mr. and Mrs. Arnold Glimcher",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.32&dim=300px,Moon Fountain,1957,7c8be3262347
Louise Nevelson,"Five color silkscreen, edition 199/300",12 x 9 in. (30.5 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Steven Feinstein",http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.12.17&dim=300px,Untitled,1973,0c84f4bdb985
Louise Nevelson,Wood painted black,35 1/2 x 38 1/2 x 15 in. (90.2 x 97.8 x 38.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Mr. and Mrs. Arnold Glimcher",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.8&dim=300px,Night Landscape,1955,4328a3556b12
Louise Nevelson,"Cast polyester resin multiple, edition  95/125",18 1/2 x 18 1/2 in. (47 x 47 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.20&dim=300px,Full Moon,1980,b6556f8434c3
Laura Owens,"Acrylic, oil, and watercolor on canvas",110 x 144 in. (279.4 x 365.8 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Scott D. F. Spiegel Endowment Fund",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.68&dim=300px,Untitled,2000,c4376ec5766e
Laura Owens,Watercolor and collage on paper,"17 1/2 x 14 1/4 in. (44.5 x 36.2 cm)
Paper: 10 1/4 x 7 in. (26 x 17.8 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.261&dim=300px,Untitled,1998,8b47207af324
