Subtype_of_Art,Type_of_Art,Title,Date_made,Credit,ArtistName,Inscription,Pic_URL,Dimensions,BirthDate,DeathDate,EA_id
oil on wood panel,painting,Santa Barbara Mission,1921,Gift of Mr. and Mrs. Anthony R. White,Karl Schmidt,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0027590.jpg,7.25 in HIGH x 9.375 in WIDE(18.41 cm HIGH x 23.81 cm WIDE),,,c6491e987f19
oil on cardboard,painting,Chinatown Street Scene #1,1923,Gift of Louis Siegriest,Bernard Von Eichman," LACMA: Made in California, 2000. TOM.  Society of Six.  1972. SFMMA.  Painting & Sculpture in California:  The Modern Era.  1977. Piedmont Art in the Park Festival.  1973. de Young.  CA Colorists:  Ptgs. of the Society of Six.  1989.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A75.143.12_DGAH_082_02_0.jpg,19.25 in HIGH x 16.25 in WIDE(48.89 cm HIGH x 41.27 cm WIDE),1899.0,1970.0,0d3171b68a99
oil on canvas,painting,Sunrise at Tracy,1924,Gift of Mr. and Mrs. William B. Land,Raymond Dabb Yelland," Foremost McKesson Inc, S F, 1975      San Mateo Co. Arts Council, 1977 WAAM Tour, 1978",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0007440.jpg,22 in HIGH x 36 in WIDE(55.88 cm HIGH x 91.44 cm WIDE),,,d386c4640e67
oil on canvas,painting,Metal-Craft,1925,"Gift of Florence Dixon in memory of Harry Dixon and his son, Dudley Dixon",Maynard Dixon,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/0600567b.jpg,36.5 in HIGH x 39.5 in WIDE(92.71 cm HIGH x 100.33 cm WIDE),,,0869e82babd1
oil on canvas,painting,Sunny Cove,1928,Gift of Louis B. Siegriest,August Gay," Piedmont, Ca.  Art in the Park Festival.  1973. TOM.  Impressionism: The California View. 1981. Catalogue.                                                      TOM.  Impressionism: The California View, Laguna Beach Museum of Art, 1/15/82 to 2/21/82.                                 Tom.  Impressionism: The California View, Crocker Art Museum, 3/28/82 to 5/2/82.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0602071b.jpg,11.25 in HIGH x 14 in WIDE(28.57 cm HIGH x 35.56 cm WIDE),1890.0,1949.0,7c2e2631b55a
oil on canvas,painting,California Dock Scene,1929,"Gift of Mrs. Frederick G. Novy, Jr.",Millard Sheets, Choices! Recent Acquisitions (TOM-Art Special Gallery) 11/94 - 8/95,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A94.64_DGAH_180_02.jpg,8 in HIGH x 22 in WIDE(20.32 cm HIGH x 55.88 cm WIDE),,,d6c82b9f8db4
oil on canvas,painting,Point Richmond,1929,Gift of Louis Siegriest,Maurice Logan," TOM.  Society of Six.  1972. SFMMA.  Painting and Sculpture in California:  The Modern Era.  1976-77. TOM.  Impressionism, The California View.  1981-82. Walnut Creek Civic Arts Gallery. Walnut Creek, Ca.  Rolling Hills and Purple Cows.  1982. de Young.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/0601854b.jpg,15 in HIGH x 18 in WIDE(38.10 cm HIGH x 45.72 cm WIDE),,,def11c6be5ac
oil on canvas,painting,"Untitled (tryptych, landscape)",1930,,Karl Schmidt,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012446.jpg,15.5 in HIGH x 31 in WIDE(39.37 cm HIGH x 78.74 cm WIDE),,,6e7ff4aa8c7e
oil on canvas,painting,Monterey Cypress,1930,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews | Lucia Mathews, TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0034532.jpg,26 in HIGH x 30 in WIDE(66.04 cm HIGH x 76.20 cm WIDE),1860.0,1945.0,a55984672c59
oil on wood panel,painting,Summer Day,1930,Gift of the Art Guild,Arthur Mathews | Lucia Mathews, TOM.  Mathews Exhibition.  1985. TOM.  Small Landscapes (perspectives show)  1988.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.13.18_DGMA_063_02.jpg,14 in HIGH x 12.5 in WIDE(35.56 cm HIGH x 31.75 cm WIDE),1860.0,1945.0,fd6fc6583202
oil on canvas,painting,Monterey Cypress | Monterey Cypress #1,1930,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews," TOM.  Mathews Exhibition.  1972.  (Cat.) Foremost-McKesson.  S.F., Ca.  1975. Chamber of Commerce.  Oakland, Ca.  1977. WAAM.  N.Y.  California Landscapes.  1978. Crocker Art Museum.  Sacramento, Ca.  From Exposition to Exposition.  1981. TOM.  Mathews Exhibition.  1985. San Diego Museum of Art.  The Golden Land.  1986.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/A66.196.2_DGMA_118.2_02.jpg,25.5 in. HIGH x 29.5 in. WIDE,1860.0,1945.0,90c6d60ad332
oil on canvas,painting,L'Atelier,1931,"Oakland Museum of California, gift of Marcelle Labaudt",Lucien Labaudt," Carnegie Institute. Pittsburgh, Pa.  30th Annual International Exhibition of Painting.  1931 CPLH.  S.F.  Lucien Labaudt.  1933 SFMMA.  Lucien Labaudt (Memorial Exhibition).  1944. Rotunda Galleries of City of Paris. S.F.  1945. // The Fabric of Life:150",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A82.2.1_DGAH_164_02.jpg,36 in HIGH x 45 in WIDE(91.44 cm HIGH x 114.30 cm WIDE),,,0ca0515b2c0d
oil on canvas,painting,untitled landscape,1931,Gift of Margaret G. Zeff,Eugen Neuhaus,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/0607127b.jpg,25 in HIGH x 30 in WIDE(63.50 cm HIGH x 76.20 cm WIDE),,,a7c2ab01014f
oil on canvas,painting,Earth Knower,"1931, 32, 35",Gift of Dr. Abilio Reis,Maynard Dixon," GGIE.  1939. CPHL.  SFAA 54th Annual Exhibition.  1932. Ilsley Galleries, L.A.  1933. LA. Art Association.  All California Art Exhibit.  1934.   M.H.deY.  1968. Phoenix Art Museum. Phoeniz, Az.  1970. California Academy of Sciences, SF. 1981. The American",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A59.72.1_DGAH_150_02.jpg,40 in HIGH x 50 in WIDE(101.60 cm HIGH x 127.00 cm WIDE),,,f99b13c45d73
oil on canvas,painting,Figure,1933,Gift of the Estate of Helen Clark Oldfield,Otis Oldfield," California State Fair, Sacramento.  1933. MOMA.  New York.  Painting and Sculpture from 16 American Cities.  1933 Golden Gate Intl. Exposition, Dept. of Fine Arts.  S.F.  Contemporary Art.  1939.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0031040.jpg,60 in HIGH x 34 in WIDE(152.40 cm HIGH x 86.36 cm WIDE),,,6579082bc3f9
gouache,painting,"Melody of Wave  (Pyramid Lake, Nevada)",1933,The Oakland Museum Founders Fund,Chiura Obata," Civic Arts Gallery, Walnut Creek, 1973 See's, 1977 TOM, Watercolors from the California Collection, 1977 Art Programs Inc., 1980//Palo Alto Cultural Center? 1993? 1994?//  California State University, Chico: 3/10 - 4/9/1994.// A Half-Century of Hope and S",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0600839b.jpg,15.75 in HIGH x 22 in WIDE(40.00 cm HIGH x 55.88 cm WIDE),1885.0,1975.0,254f6a49f6b9
oil on canvas,painting,Monterey Cypress,1933,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews | Lucia Mathews," TOM.  Mathews Exhibition.  1972.  (Cat.) I. Magnin.  1976. Athenian Nile Club.  1980. White House, Washington, DC.  1981. TOM.  Mathews Exhibition.  1985. American Embassy, Canberra, Australia.  1986- Fresno Met. Museum, 1990.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/A66.196.15_DGMA_134.2_02.jpg,38.25 in HIGH x 34.25 in WIDE(97.15 cm HIGH x 86.99 cm WIDE),1860.0,1945.0,2ec8b7d6f24c
oil on canvas,painting,Orbits,1934,"Gift of Concours d'Antiques, Art Guild, Oakland Museum Association",Agnes Pelton," The Desert Inn Galleries.  Palm Springs, Ca.  1938, 40. Golden Gate Intl. Exposition, Dept. of Fine Arts.  S.F.  1939. Riverside Art Association Gallery.  Ca.  1941. SFMA.  1943. SBMA.  1943. SFMMA.  Painting and Sculpture in California:  The Modern Era.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A76.84_DGAH_172_02.jpg,36.25 in HIGH x 30 in WIDE(92.07 cm HIGH x 76.20 cm WIDE),,,dfe9cbb50531
oil on canvas,painting,Scab,1934,"Oakland Museum of California, museum purchase and gift of Edith Hamlin",Maynard Dixon," We Called it a Work Holiday: The 1946 Oakland General Strike, Oakland Museum of California, History Dept. 11/22/96 - 2/23/97",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A81.11_DGAH_149_02.jpg,36 in HIGH x 40 in WIDE(91.44 cm HIGH x 101.60 cm WIDE),,,4fca72d2351e
oil on canvas,painting,Two Heads (portrait of the artist and his wife Helen),1935,Gift of the Estate of Marjorie Eaton by Exchange,Otis Oldfield," A Time and a Place, TOM and 3 traveling venues, 1990-92; SFMMA (San Francisco Museum of Art) 1935",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A93.2.2_DGAH_060_02.jpg,27 in HIGH x 22 in WIDE(68.58 cm HIGH x 55.88 cm WIDE),,,a9f70e1687ee
oil on canvas,painting,Reconsideration of Time & Space,1935,Gift of Grace Clements,Grace Clements," Santa Barbara Museum of Art.  Turning the Tide.  1990-1992. //Pacific Dreams: Currents of Surrealism and Fantasy in California Art, 1934-1957 (TOM) 2/25-6/11/95, UCLA at the Armand Hammer Museum of Art and Cultural Center 7/11-9/17/95, Nora Eccles Harriso",http://collections.museumca.org/?q=system/files/imagecache/100_Square/0602022b.jpg,41.75 in HIGH x 34.25 in WIDE(106.04 cm HIGH x 86.99 cm WIDE),,,243b979a6ab1
egg tempera,painting,Night Fishing on Monterey Bay,1936,"Collection of the Oakland Museum of California, Gift of Vic Rosov and Ron Foley",John Langley Howard,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A97.29.1_DGAH_069_02.jpg,20 in HIGH x 19.5 in WIDE(50.80 cm HIGH x 49.53 cm WIDE),,,e0bdce9d252b
egg tempera,painting,Three Women,1938,Gift of Friends of the artist (see notes),Margaret Peterson," Golden Gate Exposition, 1939 // Crocker Art Museum - Sacramento, From Exposition to Exposition - Progressive and Conservative Northern California Painting. 1915-1939, 1981. // Jan Holloway Gallery - Berkeley Art Scene 10/21-11/29/93. // California State U",http://collections.museumca.org/?q=system/files/imagecache/100_Square/0602030b.jpg,59.25 in HIGH x 46.75 in WIDE(150.49 cm HIGH x 118.74 cm WIDE),,,53abc9203ab8
oil on canvas,painting,The Arguello Adobe,1938,,Orpha Klinker,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0021763.jpg,18 in HIGH x 24 in WIDE(45.72 cm HIGH x 60.96 cm WIDE),,,b21a6bcbd6ea
oil on canvas,painting,Santa Clara Adobe,1938,,Orpha Klinker,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0021764.jpg,18 in HIGH x 24 WIDE(45.72 cm HIGH x 60.96 WIDE),,,db0cf87b906c
oil on canvas,painting,Coast at Purisima,1939,Gift of Annette Nibley,Rex Brandt," Several labels on the back of the painting indicate it was in exhibitions at the Laguna Art Museum, The Irvine Museum, and the Corcoran in Washington D.C.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0011205.jpg,30 in HIGH x 40 in WIDE(76.20 cm HIGH x 101.60 cm WIDE),,,cff475a38baf
oil on canvas,painting,"Maynard Dixon, Painter of the Desert",1940,Gift of the artist,Edith Hamlin, TOM.  Artists of California.  1987-88.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A88.40_DGAH_107_02.jpg,25 in HIGH x 30 in WIDE(63.50 cm HIGH x 76.20 cm WIDE),,,2722838541d3
canvas,painting,Untitled,1940,Gift of John Smith,Bernard Zakheim,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0006396.jpg,26.75 in HIGH x 10.625 in WIDE(67.94 cm HIGH x 26.99 cm WIDE),,,d642908412db
oil on canvas,painting,The Blues in the Night,1941,Art Acquisition Fund,Elsie Palmer Payne,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A99.29_DGAH_171_02.jpg,30 in HIGH x 25 in WIDE(76.20 cm HIGH x 63.50 cm WIDE),,,3e93b6babe5b
tempera,painting,Mother and Cat|Miyo and Cat,1941,Gift of the Collectors Gallery,Mine Okubo," SFMA.  61st Annual Exh. of Painting & Sculpture of SFAA.  1941. TOM.  Mine Okubo:  An American Experience.  1972.   (later travelled under auspices of WAAM, 1974-1975) //  The Japan Society of Boston, Inc. Mar 10 - Apr 23, 1993.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A72.74_DGPT_085_02.jpg,29.75 in HIGH x 24 in WIDE(75.56 cm HIGH x 60.96 cm WIDE),1912.0,2001.0,31a460604326
oil on canvas,painting,Scetch,1942,Gift of James G. and Carol L. Loughlin,Paul Lauritz,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0018330.jpg,25 in HIGH x 30 in WIDE(63.50 cm HIGH x 76.20 cm WIDE),,,4d8192e23328
oil on canvas,painting,The Gamblers,1943,Art Acquisition Fund Purchase,Fletcher Martin,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0002508.jpg,30 in HIGH x 40.125 in WIDE(76.20 cm HIGH x 101.92 cm WIDE),,,f963e8f70302
oil on cardboard,painting,Poetic Justice,1945,Museum Donors Acquisition Fund,Helen Lundeberg, La Jolla Museum of Contemporary Art.  Helen Lundeberg:  A Retrospective Exhibition.  1971. SFMMA.  Lorser Feitelson and Helen Lundeberg:  A Retrospective Exhibition.  1980-81. LACMA.  A Tribute to Helen Lundeberg.  1988. Santa Barbara Museum of Art.  Turn,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A76.144_DGAH_166_02.jpg,13 in HIGH x 17.5 in WIDE(33.02 cm HIGH x 44.45 cm WIDE),,,0eb24bb7c123
paper,painting,Portrait of Moira Nichols,1946,Gift of Moira Nichols,George Rickey,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0011400.jpg,,,,94c2a52448b1
oil on canvas,painting,The Revelation,1946,Gift of Helen and Richard Weston,Louis Monza," TOM, Cat and a Ball on a Waterfall:  200 Years of California Folk Painting and Sculpture, 1986.TOM (PERS), Folk Painting,1989.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/0600810b.jpg,26 in HIGH x 32 in WIDE(66.04 cm HIGH x 81.28 cm WIDE),,,db242792ae1a
oil on canvas,painting,Untitled,1947,"Lent by the National Gallery of Art, Washington, DC",Mark Rothko,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0022424.jpg,36.5 in HIGH x 30 in WIDE(92.71 cm HIGH x 76.20 cm WIDE),1903.0,1970.0,a1c29ac0f3d2
oil on canvas,painting,Untitled (oil derricks on La Brea Blvd. LA),1947,Gift of Lisa Schliff,Ben Wilks,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0008237.jpg,18 in HIGH x 23.75 in WIDE(45.72 cm HIGH x 60.32 cm WIDE),,,a1cf5fa60a17
oil on canvas,painting,Untitled (Abstraction),1948,Gift of Mr. Hassel W. Smith,Hassel W. Smith," TOM.  A Period of Exploration: San Francisco 1945-1950.  1973. College of Note Dame, Early and Recent Abstract Expressionist Paintings, Feb 17 - Mar 27, 1988.  Monterey Peninsula Museum of Art.  Early and Recent Abstract Expressionists Paintings.  Mar -",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A66.122.25_DGAH_033_02.jpg,34 in HIGH x 39.75 in WIDE(86.36 cm HIGH x 100.96 cm WIDE),,,5ffd935261a3
oil on canvas,painting,Untitled,1948,Gift of the Estate of Peggy Nelson Dixon,James Budd Dixon, SFMMA.  On Looking Back.  1968.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A76.121.221_DGAH_148_02.jpg,52 in HIGH x 22 in WIDE(132.08 cm HIGH x 55.88 cm WIDE),,,5435366e53b2
oil on canvas,painting,Burnt Spinner,1948,Art Deaccession Fund,Rico Lebrun,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/2008.95.1_DGAL_070_01_0.jpg,80 in HIGH x 30 in WIDE(203.20 cm HIGH x 76.20 cm WIDE),,,ecf2619077a7
oil on canvas,painting,Archtypes,1948,Lent by Dr. and Mrs. Dean L. Mawdsley,James Budd Dixon," UC, Davis, Ca.  Innovations in Bay Area Painting.  1983.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0601900b.jpg,,,,44784c93d2c1
oil on canvas,painting,Alone with the Killer,1948,Gift of Mrs. David Park,Hassel W. Smith," TOM.  A Period of Exploration on Exhibition, 1973 Boise Gallery of Art, Abstract Expression, 1976 TOM, Art in the San Francisco Bay Area: 1945-1980, 1985. College of Notre Dame, Early and Recent Abstract Expressionist Paintings, Feb 17 - Mar 27, 1988. M",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A62.78.1_DGAD_218_02.jpg,20 in HIGH x 22 in WIDE(50.80 cm HIGH x 55.88 cm WIDE),,,ea7019f78c37
oil on canvas,painting,Self-Portrait,1948,Gift of the Art Guild of the Oakland Museum Association,Hassel W. Smith, TOM.  Art in the San Francisco Bay Area:  1945-1980.  1985. TOM.  California Artists:  A Group Portrait in Mixed Media.  1987-1988.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0029560.jpg,16 in HIGH x 12 in WIDE(40.64 cm HIGH x 30.48 cm WIDE),,,141de5776d71
paint,painting,Three Shapes Within A Structure,1948,Gift of The Falkenstein Foundation.,Claire Falkenstein,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0002730.jpg,29 in HIGH x 44 in WIDE(73.66 cm HIGH x 111.76 cm WIDE),,,32125aa2a467
oil on canvas,painting,Untitled,1949,Gift of the Herbert Gray Hills Foundation,Frank Lobdell," Hackett Mill, LLC (Gallery - San Francisco) - 1/7/2011 - 4/1/2011.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A66.43.2_DGAH_165_02.jpg,47.875 in HIGH x 39.875 in WIDE(121.60 cm HIGH x 101.28 cm WIDE),,,4c6beb3709a1
watercolor,painting,Abstract/Musicians,1949,Gift of the Sierra Club Foundation,Zena Cornin,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0012574.jpg,,,,8ba6366e377f
oil on canvas,painting,Untitled,1949,Gift of the Women's Board of the Oakland Museum Association,Richard Diebenkorn," Albright-Knox.  Retrospective.  1976-77. Hara Museum, Tokyo.  RD:  Ptgs. & Works on Paper.  1989.                                                        SFMOMA, RETROSPECTIVE, Nov 19,1992 - Jan 24, 1993.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.195_DGAH_147_02.jpg,45 in HIGH x 36 in WIDE(114.30 cm HIGH x 91.44 cm WIDE),1922.0,1993.0,f1d794cd59b7
oil on canvas,painting,Untitled,1949,Gift of Dr. and Mrs. Victor Calef,Edward Corbett," Richmond Art Center, CA. Edward Corbett Retrospective.  Sep 1990 - Jan 1991.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0029892.jpg,63 in HIGH x 39.25 in WIDE(160.02 cm HIGH x 99.69 cm WIDE),,,3a8e7660115c
graphite,painting,Aftermath,1950,,Eric E. Stearne,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0027487.jpg,17 in HIGH x 12.5 in WIDE(43.18 cm HIGH x 31.75 cm WIDE),,,120582bfe32d
oil,painting,"Twin Peaks, San Francisco",1950,Gift of the Artist,Jae Carmichael,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012456.jpg,23.75 in HIGH x 30 in WIDE(60.32 cm HIGH x 76.20 cm WIDE),,,9640be772e3a
collage,painting,Untitled (abstraction),1952,Gift of Edward and June Tablak.,Jay Defeo,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0030753.jpg,29.25 in HIGH x 26.125 in WIDE x .75 in DEEP(74.29 cm HIGH x 66.36 cm WIDE x 1.90 cm DEEP),,,4f6c71fb13bb
masonite,painting,Mendocino Panorama,1954,,Charles Griffin Farr,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0020035.jpg,18 in HIGH x 36 in WIDE(45.72 cm HIGH x 91.44 cm WIDE),,,a1138e91657d
oil on board,painting,Morning on the Waterfront,1954,Bequest from the Bens Revocable Inter Vivos Trust,Karl Baumann,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0011398.jpg,16 in HIGH x 26 in WIDE(40.64 cm HIGH x 66.04 cm WIDE),,,e49e4a8ac1bd
oil on canvas,painting,Berkeley No. 20,1954,Gift of the Estate of Howard E. Johnson,Richard Diebenkorn," Washington Gallery of Modern Art.  Diebenkorn Retrospective.  1964. American Federation of the Arts.  7th International Art Exhibition, Mainichi, Tokyo.  1963.                            Whitechapel, London - Diebenkorn Retrospective, Jan 10 - Mar 8, 1992",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A84.45.1_DGAH_145_02.jpg,70 in HIGH x 61.25 in WIDE(177.80 cm HIGH x 155.57 cm WIDE),1922.0,1993.0,fc2b8cda1592
oil on canvas,painting,Untitled,1954,,Robert Bechtle,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0025103.jpg,13 in HIGH x 35 in WIDE(33.02 cm HIGH x 88.90 cm WIDE),,,6e11d0aae15e
board,painting,The Illustrated History of the Universe,1955,The Oakland Museum Founders Fund,Jay Defeo," Mills College Studio Art Faculty Retrospective Exhibition, Sep 25 - Dec 14, 1986.TOM, Twenty-Five Years of Collecting California, September 25, 1994 - January 8, 1995.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0010585.jpg,48 in HIGH x 48 in WIDE(121.92 cm HIGH x 121.92 cm WIDE),,,bb8fdc13db36
oil on canvas,painting,Chug!,1955,Gift of Fred Martin,Wally Hedrick," Wally Hedrick: Selected Works, San Francisco Art Institute, 4/10-5/11/85 //SFAI at 125, 2/28/96 - 8/1/96, Perspectives Gallery, OM",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0010584.jpg,32 in HIGH x 50 in WIDE(81.28 cm HIGH x 127.00 cm WIDE),,,29b453c16465
oil on canvas,painting,Bridge|Untitled,1956,Gift of James and Suzette Smith,Clayton Pinkerton,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0021588.jpg,43.5 in HIGH x 58 in WIDE(110.49 cm HIGH x 147.32 cm WIDE),,,d3c8a210d497
oil on canvas,painting,Untitled,1957 - 58,"Gift of Seymour Farber, M.D.",Ernest Briggs,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0011395.jpg,40 in HIGH x 34 in WIDE(101.60 cm HIGH x 86.36 cm WIDE),,,c237df57d273
oil on canvas,painting,Women in a Landscape,1958,Anonymous Donor Program of the American Federation of the Arts,David Park," Univ. Art Gallery, U.C. Berkeley, Ca.  David Park Memorial Exhibition: The University Years 1955-60 (t).  1964. SBMA, Ca.  David Park: His World.  1968. Maxwell Galleries Ltd., S.F.  David Park.  1970. Newport Harbor Art Museum, Newport Beach, Ca.  David",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A60.35.1_DGAH_001_02.jpg,50 in HIGH x 56 in WIDE(127.00 cm HIGH x 142.24 cm WIDE),1911.0,1960.0,03d8e19ea081
oil on canvas,painting,Untitled,1958,Gift of Collectors Gallery of the Oakland Museum Association,John Saccaro,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0010251.jpg,84 in HIGH x 66 in WIDE(213.36 cm HIGH x 167.64 cm WIDE),,,7fa557d4670a
oil on canvas,painting,Woman with Chin in Hand,1958,Gift of the Estate of Howard E. Johnson,Richard Diebenkorn, TOM.  Recent Acquisitions.  1985.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0600552b.jpg,13 in HIGH x 11.5 in WIDE(33.02 cm HIGH x 29.21 cm WIDE),1922.0,1993.0,499e20817d3a
oil on canvas,painting,Etya,1958,Gift of Mr. William M. Roth and Mrs. William P. Roth,Sonia Gechtoff,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0010249.jpg,109 in HIGH x 68 in WIDE(276.86 cm HIGH x 172.72 cm WIDE),,,5cf73070afa1
acrylic,painting,Night Breakers,1959,"Gift of Willis G. Foster and Maria P. Foster, Berkeley, California",Glenn A. Wessels,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0007704.jpg,,1895.0,1982.0,d9210a409cdf
oil on canvas,painting,Figure on a Porch,1959,Anonymous Donor Program of the American Federation of the Arts,Richard Diebenkorn," Albright Knox Gallery. 1976. On loan to Vice President Mondale.  1980. SFMMA.  Resource/Reservoir.  1983. Grey Art Gallery, NY.  The Figurative Mode:  Northern California Painting 1955-1965.  1984 Seattle World's Fair.  American Art Since 1950.  1962. Cui",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A60.35.5_DGAH_146_02.jpg,,1922.0,1993.0,aac4a8b657b2
acrylic,painting,Wiggly Water|Morning Ripple,1960,"Gift of Willis G. Foster and Maria P. Foster, Berkeley, California",Glenn A. Wessels,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/n001108b.jpg,,1895.0,1982.0,4da3f2663ecf
oil on board,painting,Self Portrait,1960,Gift of the Sierra Club Foundation,Z. Kavin,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012540.jpg,,,,eb6d7eb569de
acrylic,painting,Tonopah Landscape|G.B. Carson appraisal lists title as Tonopan Landscape,1960,Gift of Patricia Adler,Louis Siegriest,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0022029.jpg,19.75 in HIGH x 22.75 in WIDE x 0.25 in DEEP(50.16 cm HIGH x 57.78 cm WIDE x .63 cm DEEP),,,00d33970d307
acrylic,painting,Mendocino Moon,1960-1961,"Gift of Willis G. Foster and Maria P. Foster, Berkeley, California",Glenn A. Wessels,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/n001107b.jpg,,1895.0,1982.0,0314412f2469
oil on canvas,painting,Twins,1961,Gift of the Estate of Robert Dickenman,Emerson Woelffer,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A88.60.10_DGAH_191_02_0.jpg,30 in HIGH x 24 in WIDE(76.20 cm HIGH x 60.96 cm WIDE),,,87306620f939
oil on canvas,painting,Delicatessen Counter,1961,"Gift of Concours d'Antiques, Art Guild",Wayne Thiebaud," SFMMA.  1966. Phoenix Art Museum, Az.  Wayne Thiebaud Retrospective.  1976-77. TOM.  10 x 10.  1979. Vice President Mondale's home.  Washington, D. C.  1980. Walnut Creek Civic Arts Gallery.  Ca.  Realism.  1980. NCFA.  Washington, D. C.  Art for The Vice",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A71.83_DGAH_018_02.jpg,27 in HIGH x 34 in WIDE(68.58 cm HIGH x 86.36 cm WIDE),,,43fdaf886e94
acrylic,painting,Yosemite - I,1961,"Gift of Willis G. Foster and Maria P. Foster, Berkeley, California",Glenn A. Wessels,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/n001109b.jpg,,1895.0,1982.0,7514ff42d1a0
oil on canvas,painting,Street,1961,Gift of the Estate of Howard E. Johnson,Richard Diebenkorn," Hara Museum, Tokyo.  RD:  Ptgs. & Works on Paper.  1989.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0600551b.jpg,48 in HIGH x 51.25 in WIDE(121.92 cm HIGH x 130.17 cm WIDE),1922.0,1993.0,a10826299906
oil on canvas,painting,For H.M.,1962,Gift of Harry Hunt,DEBORAH REMINGTON, TOM.  The Dilexi Years:  1958-1970.  1984.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A82.4.1_DGAH_176_02.jpg,,,,8bd70b33e7ca
