artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine
Drawing of a figure of Christ,Louis Comfort Tiffany,American,1848,1933,early20thcentury,Gouache and graphite on artist board in original window matt with gold metallic finish.,Overall: 20 7/8 x 12 13/16 in. (53 x 32.6 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Janet Halleck Drake,Henry Inman,American,1801,1846,1825,Oil on canvas,29 3/4 x 24 3/4 in. (75.6 x 62.9 cm),Paintings,"Purchase, Gift of Edgar William and Bernice Chrylser Garbisch, by exchange, 1996"
Charles Wagner,Benjamin Trott,,1770,1843,,Watercolor on ivory,2 13/16 x 2 3/16 in. (7.1 x 5.5 cm),Paintings,"Gift of Gloria Manney, 2006"
Cannon Rock,Winslow Homer,American,1836,1910,1895,Oil on canvas,40 x 40 in. (101.6 x 101.6 cm),Paintings,"Gift of George A. Hearn, 1906"
Onions and Tomato,Mary Ann Currier,American,1927,,1984,Oil pastel on mat board,"H.26-1/2, W.56 inches (67.3 x 142.2 cm.)",Drawings,"Purchase, Dr. and Mrs. Robert E. Carroll Gift, 1985"
Mountains in Moonlight,Arthur B. Davies,American,1862,1928,,Pastel and gouache on dark blue wove paper,8 1/16 x 11 9/16 in. (20.5 x 29.4 cm),Drawings,"Gift of A. W. Bahr, 1958"
Design for chancel,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Watercolor, gouache, pen and brown ink, graphite",Overall: 31 1/4 x 30 in. (79.4 x 76.2 cm) Design: 26 1/4 x 26 1/4 in. (66.7 x 66.7 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Red and Yellow Cliffs,Georgia O'Keeffe,American,1887,1986,1940,Oil on canvas,24 x 36 in. (61 x 91.4 cm),Paintings,"Alfred Stieglitz Collection, Bequest of Georgia O'Keeffe, 1986"
Young Mother Sewing,Mary Cassatt,American,1844,1926,1900,Oil on canvas,36 3/8 x 29 in. (92.4 x 73.7 cm),Paintings,"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929"
Design for figural window,Louis Comfort Tiffany,American,1848,1933,1920,"Gouache and watercolor over silver gelatin photograph collage and watercolor, pen and black India ink, and graphite on wove paper support:",16 9/16 x 11 13/16 in. (42 x 30 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Taking the Census,Francis William Edmonds,American,1806,1863,1854,Oil on canvas,28 x 38 in. (71.1 x 96.5 cm),Paintings,"Gift of Diane, Daniel, and Mathew Wolf, in honor of John K. Howat and Lewis I. Sharp, 2006"
Nude with Tattoo,Joe Brainard,American,1942,1994,1974,Oil and ink on canvas,"H. 16, W. 12 inches (40.6 x 30.5 cm.)",Paintings,"Gift of Stanley Posthorn, in memory of the artist, 1997"
Fruit,Julian Alden Weir,American,1852,1919,1888?,Oil on canvas,21 1/8 x 17 3/16 in. (53.7 x 43.7 cm),Paintings,"Purchase, Gift of Robert E. Tod, by exchange, 1980"
Egyptian Woman,John Singer Sargent,American,1856,1925,1891,Oil on canvas,25 1/2 x 21 in. (64.8 x 53.3 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950"
"Portrait of Berdie, Number II",Larry Rivers,American,1923,2002,1953,Oil on canvas,82 1/8 x 56 1/8 in. (208.6 x 142.6 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
Samuel Chase,William Russell Birch,,1755,1834,1790?,Enameled copper in gold locket set with pearls,1 7/16 x 1 1/4 in. (3.7 x 3.2 cm),Paintings,"Gift of Gloria Manney, 2006"
"Lake Como, May 1, 1869 (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982"
A North River Recreation Pier,Jerome Myers,American,1867,1940,1905,Oil on canvas,25 3/16 x 30 1/16 in. (64 x 76.4 cm),Paintings,"George A. Hearn Fund, 1966"
Autumn Uplands,Bruce Crane,American,1857,1937,by1908,Oil on canvas,27 x 41 in. (68.6 x 104.1 cm),Paintings,"Gift of George A. Hearn, 1909"
Alpha-Pi,Morris Louis,American,1912,1962,1960,Magna on canvas,102 1/2 x 177 in. (260.4 x 449.6cm),Paintings,"Arthur Hoppock Hearn Fund, 1967"
Self-Portrait,Gene Davis,American,1920,1985,1982,Acrylic on canvas,"H. 104, W. 68 inches (264.2 x 172.7 cm.)",Paintings,"Gift of Charles Cowles, 1983"
Pea Point from South Meadow,Fairfield Porter,American,1907,1975,1974,Oil on pressboard,"H. 18, W. 22 inches (45.7 x 55.9 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993"
Projet de Violence III,Dorothea Tanning,American,1910,2012,,"Watercolor, gouache, and graphite on paper",Sheet: 14 3/8 x 12 1/8 in. (36.5 x 30.8 cm) Image: 10 x 7 1/8 in. (25.4 x 18.1 cm),Drawings,"Bequest of William S. Lieberman, 2005"
Pietrasanta Painting,Caio Fonseca,American,1959,,1995,Gouache and ink on paper,H. 18 x W. 24 in. (45.7 x 61 cm),Drawings,"Gift of Dr. Alvin E. Friedman-Kien, 2007"
"Main Street, Brewster",Margit Varga,American,1908,2005,1941,Oil on canvas,"H. 25-7/8, W. 32 inches (65.7 x 81.3 cm.)",Paintings,"Gift of Mrs. William J. Mahoney Jr., 1947"
Clem's No. I,Frank Bowling,British,1936,,1972,Acrylic on canvas,"H. 67, W. 28 inches (170.2 x 71.1 cm.)",Paintings,"Gift of Madeline Mohr, 1980"
Photogravure of painting,Louis Comfort Tiffany,American,1848,1933,early20thcentury,Photogravure of a painting (?) mounted on board,Overall: 19 15/16 x 16 in. (50.6 x 40.6 cm) Design: 8 x 6 1/8 in. (20.3 x 15.6 cm),Photographs,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"The Heart, South of Naples",Jim Dine,American,1935,,1986,Oil on canvas,"H. 83, W. 71 inches (210 x 180.3 cm.)",Paintings,"Anonymous Gift, 1986"
Statement,Manierre Dawson,American,1887,1969,1913?,Oil on wood panel,16 x 12 1/8 in. (40.6 x 30.8 cm),Paintings,"Gift of Peter Lockwood, 2006"
Concord,Barnett Newman,American,1905,1970,1949,Oil and masking tape on canvas,"H. 89-3/4, W. 53-5/8 inches (228 x 136.2 cm.)",Paintings,"George A. Hearn Fund, 1968"
David,Maxwell Hendler,American,1938,,1965,Oil on wood,"H. 12, W. 24 inches (30.5 x 61.2 cm.)",Paintings,"Gift of the artist, 1975"
Morning in the Cleveland Flats,Richard Chiriani,American,1942,,1979,Alkyd on canvas mounted on composition board,"H. 41-1/4, W. 107-1/8 inches (104.8 x 272.1 cm.)",Paintings,"Gift of Dr. and Mrs. Robert E. Carroll, 1985"
And She Was a Witch,George Fuller,American,1822,1884,1884,Oil on canvas,30 x 40 in. (76.2 x 101.6 cm),Paintings,"Gift of George I. Seney, 1887"
Autumn Color,Marsden Hartley,American,1877,1943,1910?,Oil on cardboard,"H. 11-7/8, W. 14 inches (30.2 x 35.6 cm.)",Paintings,"Anonymous Gift, in memory of Robert Glenn Price, 1954"
Arras,Conrad Marca-Relli,American,1913,2000,1955,Painted canvas collage,"H. 36-7/8, W. 46-5/8 inches (93.7 x 118.4 cm.)",Paintings,"Gift of Edwin L. Weisl, Jr., 1971"
"Cult Figure, Number 6",Ford Crull,American,1952,,1988,"Oilstick, oil, and graphite on paper","H. 30, W. 22-1/4 inches (76.2 x 56.5 cm.)",Drawings,"Van Day Truex Fund, 1991"
Portrait of a Man,School of Sir Godrey Kneller 1646 ?723,,1646,1723,1730,Oil on canvas,49 3/4 x 39 3/4 in. (125.2 x 99.8 cm),Paintings,"Gift of The Chester Dale Collection, 1954"
Design for lantern,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Watercolor, gouache, colored pencil, and graphite on board.",Overall: 24 3/8 x 13 1/2 in. (61.9 x 34.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Uncle Charles,Charles Cromwell Ingham,,1786,1863,1844,Watercolor on ivory in maroon leatherette case with ormolu mat,4 1/8 x 3 1/8 in. (10.5 x 8 cm),Paintings,"Gift of Gloria Manney, 2006"
Villandry II,Idelle Weber,American,1932,,1984,Oil on canvas,"H. 43, W. 45-1/8 inches (149.2 x 114.6 cm.)",Paintings,"Gift of Jane and Robert E. Carroll, 1991"
Peace and Plenty,George Inness,American,1825,1894,1865,Oil on canvas,77 5/8 x 112 3/8 in. (197.2 x 285.4 cm),Paintings,"Gift of George A. Hearn, 1894"
Study of a Man,Thomas Hovenden,,1840,1895,,Graphite and white gouache on blue wove paper,13 1/8 x 9 1/2 in. (33.3 x 24.1 cm),Drawings,"Rogers Fund, 1962"
Lady with Fan,Frank Duveneck,American,1848,1919,1873,Oil on canvas,42 3/4 x 32 1/4 in. (108.6 x 81.9 cm),Paintings,"Gift of the Charles F. Williams family, 1966"
Tobias and the Angel,Thomas Wilmer Dewing,,1851,1938,1887,Oil on canvas,24 1/8 x 40 1/8 in. (61.3 x 101.9 cm),Paintings,"Gift of Edward D. Adams, 1919"
Lingering Memories,Peggy Bacon,American,1895,1987,1954,"Ink, watercolor, and gouache on paper","H. 20-5/8, W. 29-1/4 inches (52.4 x 74.3 cm.)",Drawings,"Arthur Hoppock Hearn Fund, 1956"
Robert Gilmor,Robert Field,,1769,1819,1804,Watercolor on ivory,3 1/2 x 2 3/4 in. (8.9 x 7 cm),Paintings,"Bequest of Charles Allen Munn, 1924"
The Glazier,Willem de Kooning,,1904,1997,1940,Oil on canvas,"H. 54, W. 44 inches (137.2 x 111.8 cm.)",Paintings,"From the Collection of Thomas B. Hess, Gift of the heirs of Thomas B. Hess, 1984"
Lady in Black,William Merritt Chase,American,1849,1916,1888,Oil on canvas,74 1/4 x 36 5/16 in. (188.6 x 92.2 cm),Paintings,"Gift of William Merritt Chase, 1891"
The American School,Matthew Pratt,,1734,1805,1765,Oil on canvas,36 x 50 1/4 in. (91.4 x 127.6 cm),Paintings,"Gift of Samuel P. Avery, 1897"
Design for double window,Frederick Wilson 1858-1932,,1858,1932,1908?,Watercolor and gouache on paper mounted on original matt board,"Overall: 10 1/4 x 12 1/4 in. (26 x 31.1 cm) Design, each lancet: 7 5/8 x 3 3/4 in. (19.4 x 9.5 cm)",Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Mrs. Luman Reed,Charles Cromwell Ingham,,1786,1863,1835?,"Oil on canvas, laid down on composition board",30 1/8 x 25 in. (76.5 x 63.5 cm),Paintings,"Bequest of Frederick Sturges Jr., 1977"
Mistress Mary Quite Contrary,Lydia Field Emmet,American,1866,1952,1891,"Graphite, ink wash, and gouache on wove paper, mounted on cardboard",7 1/2 x 10 1/4 in. (19.1 x 26 cm),Drawings,"Purchase, Barrie A. and Deedee Wigmore Foundation Gift, 1997"
Prisoners from the Front,Winslow Homer,American,1836,1910,1866,Oil on canvas,24 x 38in. (61 x 96.5cm) Framed: 36 1/2  ?50 5/8  ?4 1/2 in. (92.7  ?128.6  ?11.4 cm),Paintings,"Gift of Mrs. Frank B. Porter, 1922"
"Sheep Porcupine Island, Bar Harbor, Maine, Evening Study, August 29, 1896",John La Farge,American,1835,1910,1896,Watercolor and gouache on off-white wove paper laid down on off-white wove paper.,6 3/16 x 8 7/16 in. (15.7 x 21.4 cm),Drawings,"Gift of Alice Thorp, 1953"
Untitled,Robert Goodnough,American,1917,2010,1947,Oil on paper,"H. 20-1/8, W. 17-7/8 inches (51.1 x 43.2 cm.)",Drawings,"Gift of the artist, 1978"
Plaque of George Washington,After Gilbert Stuart,American,1755,1828,1830,Painted glass,8 x 5 3/8 in. (20.3 x 13.7 cm),Paintings,"Gift of William H. Huntington, 1883"
The Conservatory,David Bates,American,1952,,1985,Oil on canvas,"H. 96, W. 78 inches (243.8 x 198.1 cm.)",Paintings,"Purchase, Mrs. Jan Cowles, Virginia Cowles Kurtis and Charles Cowles Gifts, in memory of Gardner Cowles, 1986"
Martha Stewart Wilson,James Peale,American,1749,1831,1814,Oil on canvas,28 1/2 x 24 in. (72.3 x 61 cm),Paintings,"Gift of Mr. and Mrs. William L. McKim, 1972"
Never Before,Josef Albers,,1888,1976,1971,Oil on Masonite,"H. 44, W. 48 inches (111.8 x 121.9 cm.)",Paintings,"Gift of the artist, 1972"
Lady with a Dog,Mather Brown,American,1761,1831,1786,Oil on canvas,49 1/2 x 39 1/2 in. (125.7 x 100.3 cm),Paintings,"Purchase, The Bertram F. and Susie Brummer Foundation Inc. Gift, 1964"
"Celia Thaxter's Garden, Isles of Shoals, Maine",Childe Hassam,American,1859,1935,1890,Oil on canvas,17 3/4 x 21 1/2 in. (45.1 x 54.6 cm),Paintings,"Anonymous Gift, 1994"
Crossing the Williamsburg Bridge,Willie Birch,American,1942,,1986,Gouache on paper with painted papier-m鑺抍h ?frame (frame is part of artwork),"H. 44, W. 56-1/2 inches (111.8 x 143.5 cm.)",Drawings,"Kathryn E. Hurd Fund, 1992"
Esther Boardman,Ralph Earl,American,1751,1801,1789,Oil on canvas,42 1/2 x 32 in. (108 x 81.3 cm),Paintings,"Gift of Edith and Henry Noss, 1991"
[Red Building in Field],Walker Evans,American,1903,1975,Sep-63,Tempera on panel,44.1 x 61.0 cm (17 3/8 x 24 in. ),Paintings,"Walker Evans Archive, 1994"
Untitled,Jeff Gompertz,American,1957,,1985,Wax and oil on paper,"H. 25-1/4, W. 38-1/8 inches (64.1 x 96.8 cm.)",Drawings,"Van Day Truex Fund, 1985"
Dressing,John Koch,American,1909,1978,1956,Oil on canvas,"H. 16, W. 20 inches (40.6 x 50.8 cm.)",Paintings,"Hugo Kastor Fund, 1957"
Design for hanging lantern,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Colored wax crayon, gouache, and graphite on tissue paper mounted on board.",Overall: 22 1/8 x 15 in. (56.2 x 38.1 cm) Other (Design): 13 5/8 x 7 7/8 in. (34.6 x 20 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Cocktails,Guy P鐚玭e du Bois,American,1884,1958,1945,Oil on canvas,"H. 29, W. 36 inches (73.7 x 91.4 cm.)",Paintings,"George A. Hearn Fund, 1946"
Speakeasy,Glenn Coleman,American,1887,1932,1931,Oil on canvas,"H. 30, W. 25 inches (76.2 x 63.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1932"
Dry Brook,Jervis McEntee,American,1828,1891,1888,Graphite and gouache on gray wove paper,10 5/8 x 13 15/16 in. (27 x 35.4 cm),Drawings,"Morris K. Jesup Fund, 1976"
"Apples from Dorset, Vermont",Walt Kuhn,American,1877,1949,1937,Oil on canvas,"H. 25, W. 30 inches (63.5 x 76.2 cm.)",Paintings,"Gift of Douglas Dillon, 1980"
A Gentleman of the Wilkes Family,Henry Inman,American,1801,1846,1840,Oil on canvas,12 x 10 in. (30.5 x 25.4 cm),Paintings,"Bequest of Grace Wilkes, 1922"
Moonlight Marine,Albert Pinkham Ryder,American,1847,1917,1890,Oil and possibly wax on wood panel,11 1/2 x 12 in. (29.2 x 30.5 cm),Paintings,"Samuel D. Lee Fund, 1934"
Self-portrait,Samuel Lovett Waldo,,1783,1861,1815?,Oil on wood,33 x 22 1/2 in. (83.8 x 57.2 cm),Paintings,"Amelia B. Lazarus Fund, 1922"
Elegy Number 9 (After MH's Iron Cross),Anthony Viti,American,1961,,1992,Oil on Masonite,"H. 11, W. 11 inches (27.9 x 27.9 cm.)",Paintings,"George A. Hearn Fund, 1993"
"Central Park, Winter",William James Glackens,American,1870,1938,1905?,Oil on canvas,25 x 30 in. (63.5 x 76.2 cm),Paintings,"George A. Hearn Fund, 1921"
"Lake Maggiore, May 12, 1869 (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,"Graphite, white gouache, watercolor on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982"
Design for square mosaic panel,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Watercolor, gouache, pen and ink, and graphite on artist board faced in original warm grey window mat",Overall: 17 7/16 x 17 3/8 in. (44.3 x 44.1 cm) Design: 9 5/16 x 9 7/8 in. (23.7 x 25.1 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Design for a rose window,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Watercolor, gouache, pen, ink, and graphite on white wove paper",Overall: 13 11/16 x 8 7/8 in. (34.8 x 22.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Carey's Backyard,Loren MacIver,American,1909,1998,1939,Oil on canvas,"H. 36, W. 24 inches (91.4 x 61 cm.)",Paintings,"Gift of New York City W. P. A., 1943"
"Wolf, Western Series, American Predella #5",Don Nice,American,1932,,1975,"Two panels: a) Acrylic on canvas, b) watercolor, and graphite on paper","a)H. 50-1/4, W. 70 inches (166.4 x 177.8 cm.) b)H. 15-1/4, W. 70 inches (38.7 x 177.8 cm.) a) unframed b) frame: 15 1/4 x 70 x 1 1/2 inches (38.7 x 177.8 x 3.8 cm)",Paintings,"Gift of Anne and Joel Ehrenkranz, 1992"
"Design for beatitude stained glass window for Arlington Street Church, Boston",Frederick Wilson 1858-1932,,1858,1932,1905?,"Watercolor, gouache, pen and brown ink, and graphite",Overall (closed): 10 1/2 x 5 1/2 in. (26.7 x 14 cm) Overall (open): 13 5/8 x 17 1/2 in. (34.6 x 44.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Rappahanock IV,Ludwig Sander,American,1906,1975,1974,Oil on canvas,"H. 44, W. 80 inches (111.8 x 203.2 cm.)",Paintings,"George A. Hearn Fund and Arthur Hoppock Hearn Fund, 1975"
Skull,Andy Warhol,American,1928,1987,1977,Acrylic and silkscreen on canvas,"H. 72, W. 80 inches (182.9 x 203.2 cm.)",Paintings,"Gift of Halston, 1981"
The Palm Tree,Irene de Bohus,American,1914,,1940,Oil on canvas,"H. 24, W. 32 inches (61 x 81.6 cm.)",Paintings,"George A. Hearn Fund, 1940"
Untitled,Mark Rothko,,1903,1970,1946,"Watercolor, gouache, ink, and graphite on paper","H. 21-1/4, W. 15-1/4 inches (54 x 39.4 cm.)",Drawings,"Gift of The Mark Rothko Foundation Inc., 1985"
"Purple Afternoon, London",Joseph Pennell,American,1857,1926,,"Watercolor, gouache, and graphite on off-white wove paper",8 3/4 x 11 in. (22.2 x 27.9 cm),Drawings,"Gift of Bartlett Arkell, 1942"
Carmelita Requena,Thomas Eakins,American,1844,1916,1869,Oil on canvas,21 x 17 in. (53.3 x 43.2 cm),Paintings,"Bequest of Mary Cushing Fosburgh, 1978"
Curtis Clay,James Peale,American,1749,1831,1798,Watercolor on ivory in gilded copper locket; hair reserve verso,2 11/16 x 2 3/16 in. (6.8 x 5.6 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 2006"
Indian Summer,William Trost Richards,American,1833,1905,1875,Oil on canvas,24 1/8 x 20 in. (61.3 x 50.8 cm),Paintings,"Bequest of Collis P. Huntington, 1900"
Portrait of Helen,Frederick Serger,American,1899,1965,1935,Oil on canvas,"H. 36, W. 29 inches (91.4 x 73.7 cm.)",Paintings,"The Frederick and Helen Serger Collection, Bequest of Helen Serger, in honor of William S. Lieberman, 1989"
Portrait of Ralph Dusenberry,Arthur Dove,American,1880,1946,1924,"Oil, folding wooden rulers, wood, and cut-and-pasted printed paper on canvas",22 x 18 in. (55.9 x 45.7 cm),Paintings,"Alfred Stieglitz Collection, 1949"
Hills of Vermont,Aldro T Hibbard,American,1886,1972,1922,Oil on canvas,"H. 43-3/4, W. 50 inches (111.1 x 127 cm.)",Paintings,"George A. Hearn Fund, 1923"
Mrs. Samuel Mifflin and Her Granddaughter Rebecca Mifflin Francis,Charles Willson Peale,American,1741,1827,1780,Oil on canvas,50 1/8 x 40 1/4 in. (127 x 101.8 cm),Paintings,"Egleston Fund, 1922"
Greensleeves,I.J. Belmont,American,1877,1964,1945?,Oil on canvas,"H. 18, W. 24 inches (45.7 x 61 cm.)",Paintings,"Gift of Elsie K. Belmont, 1979"
Back Street,Frank Kleinholz,American,1901,1987,1942,Oil on canvas,"H. 30, W. 40 inches (76.2 x 101.6 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1942"
"Wyoming Valley, Pennsylvania",Jasper Francis Cropsey,American,1823,1900,1864,Oil on canvas,15 x 24 in. (38.1 x 61 cm),Paintings,"Bequest of Collis P. Huntington, 1900"
The Satin Tuning Fork,Yves Tanguy,,1900,1955,1940,Oil on canvas,"H. 39, W. 32 inches (99 x 81.3 cm.)",Paintings,"Jacques and Natasha Gelman Collection, 1998"
Puppet and Child,Sueo Serisawa,American,1910,2004,1950,Oil on canvas,"H. 40, W. 30 inches (101.6 x 76.2 cm.)",Paintings,"Alfred N. Punnet Endowment Fund, 1951"
Self-Portrait,Marion Greenwood,American,1909,1970,1948,Oil on canvas,"H. 22-1/8, W. 20-1/8 inches (56.2 x 51.1 cm.)",Paintings,"George A. Hearn Fund, 1951"
"The Wheel, St. Catherine",Jonathan Weinberg,American,1957,,1983,Oil on canvas,"H. 60, W. 40 inches (152.4 x 101.6 cm.)",Paintings,"Edith C. Blum Fund, 1983"
Terrifying Terrain,Elizabeth Murray,American,1940,2007,1990,Oil on shaped canvases,84 1/2 x 85 x 11 in. (214.6 x 215.9 x 27.9 cm),Paintings,"Joseph H. Hazen Foundation Purchase Fund, in honor of Cynthia Hazen Polsky, 1991"
Study for Chain of Pearls,Dennis Oppenheim,American,1938,2011,1984,"Graphite, colored pencil, oil wash, oil, pastel on paper","4 Panels: H. 38, W. 50 inches (10.2 x 127 cm.) (Overall: H. 76, W. 100 inches 193 x 254 cm.)",Drawings,"Van Day Truex Fund, 1992"
Delaware Water Gap Village,Louis Michel Eilshemius,American,1864,1941,1886?,Oil on canvas,25 x 29 7/8 in. (63.5 x 75.9 cm),Paintings,"Arthur Hoppock Hearn Fund, 1950"
Mrs. Sylvester Dering,Daniel Huntington,American,1816,1906,1878,Oil on canvas,30 1/4 x 25 in. (76.8 x 63.5 cm),Paintings,"Gift of Sylvester Dering, 1916"
Untitled,Milton Resnick,,1917,2004,1945,"Oil, graphite, crayon, and charcoal on cardboard, mounted on Masonite",Cardboard (primary support): 15 x 20 in. (38.1 x 50.8 cm) Masonite (secondary support): 15 1/2 x 20 1/2 in. (39.4 x 52.1 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
Portrait of a Lady,Nathaniel Rogers,American,1788,1844,,Watercolor on ivory in green leatherette case with velvet lining,3 x 2 3/8 in. (7.6 x 6 cm),Paintings,"Gift of Gloria Manney, 2006"
Nat Hudson's Camp,Carl Sprinchorn,,1887,1971,1944,Gouache on paper,"H. 11-3/4, W. 17-3/8 inches (29.9 x 44.2 cm.)",Drawings,"Gift of John B. Stilwell, 1954"
Number 4 - 1960,James Brooks,American,1906,1992,1960,Acrylic and oil on paper,"H. 20-3/4, W. 14-3/4 inches (52.7 x 37.5 cm.)",Drawings,"Gift of Charlotte Park Brooks, 1991"
Portrait of the Artist,Mary Cassatt,American,1844,1926,1878,"Watercolor, gouache on wove paper laid down to buff-colored wood-pulp paper",23 5/8 x 16 3/16 in. (60 x 41.1 cm),Drawings,"Bequest of Edith H. Proskauer, 1975"
Standing Woman with Man in Outline,Thomas Hovenden,,1840,1895,,Graphite and white gouache on tan wove paper,17 3/4 x 11 3/4 in. (45.1 x 29.8 cm),Drawings,"Rogers Fund, 1962"
"Blue Mountain, New Mexico",Houghton Cranford Smith,American,1887,1983,1923?,Oil on canvas,"H. 8, W. 10 inches (20.3 x 25.4 cm.)",Paintings,"Purchase, George A. Hearn Fund, by exchange, 1991"
Spanish Music Hall,Everett Shinn,American,1876,1953,1902,Oil on canvasboard,13 3/4 x 17 3/4 in. (34.9 x 45.1 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876 ?967), 1967"
"Sundown at Centre Harbor, New Hampshire",William Trost Richards,American,1833,1905,1874,"Watercolor, gouache, and graphite on gray-green wove paper",8 7/8 x 13 5/8 in. (22.5 x 34.6 cm),Drawings,"Gift of The Reverend E. L. Magoon, D.D., 1880"
"The Hill of the Alhambra, Granada",Samuel Colman,American,1832,1920,1865,Oil on canvas,47 1/2 x 72 1/2 in. (120.7 x 184.2 cm),Paintings,"Gift of Mrs. Oswald C. Hering, in memory of her husband, 1968"
Johanna,Ron Janowich,American,1948,,1985,Oil on canvas,"H. 102, W. 60 inches (259.1 x 152.4 cm.)",Paintings,"George A. Hearn Fund, 1986"
Crowd at the Seashore,William James Glackens,American,1870,1938,1910?,Oil on canvas,25 x 30 in. (63.5 x 76.2 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876 ?967), 1967"
Vermillion Banner,Margo Hoff,American,1912,2008,1982,"Acrylic, charcoal and cut and pasted canvas on canvas","H. 66, W. 60 inches (167.6 x 152.4 cm.)",Paintings,"Gift of Sally and Owen Fairweather, 1983"
The Sitter,Larry Rivers,American,1923,2002,1956,Oil on canvas,"H. 51-1/8, W. 47 inches (129.8 x 119.4 cm.)",Paintings,"Hugo Kastor Fund, 1956"
Iconic Wheel,Pamela Nelson,American,1947,,late1990s,"Watercolor, gouache, crayon, and graphite underdrawing on paper",Diam.: 11 3/4 in. (29.8 cm),Drawings,"Gift of Barbaralee Diamonstein-Spielvogel, 2009"
The Death of the First Born,Erastus Salisbury Field,,1805,1900,1880,Oil on canvas,35 x 46 in. (88.9 x 116.8 cm),Paintings,"Gift of Edgar William and Bernice Chrysler Garbisch, 1966"
Untitled (Sheet of Studies),Jackson Pollock,American,1912,1956,1942,"Ink, gouache, watercolor, colored pencils and graphite pencil on paper","H. 26, W. 20-1/2 inches (66 x 52.1 cm.)",Drawings,"Gift of Lee Krasner Pollock, 1982"
Design for a window,Louis Comfort Tiffany,American,1848,1933,early20thcentury,Watercolor and gouache on paper in original matt,,Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Number 34,John McLaughlin,American,1898,1976,1964,Oil on canvas,"H. 48, W. 60 inches (121.9 x 152.4 cm.)",Paintings,"Gift of Mr. and Mrs. Morris S. Pynoos, 1986"
The Block,Romare Bearden,American,1911,1988,1971,"Cut and pasted printed, colored and metallic papers, photostats, graphite, ink marker, gouache, watercolor, and ink on Masonite","Overall: H. 48, W. 216 in. (121.9 x 548.6 cm) Six panels, each: H. 48, W. 36 in. (121.9 x 91.4 cm)",Drawings,"Gift of Mr. and Mrs. Samuel Shore, 1978"
Red Painting,Ad Reinhardt,American,1913,1967,1952,Oil on canvas,"H. 78, W. 144 inches (198.1 x 365.8 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1968"
Design for window,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Gouache and watercolor in grisaille, light tan; gouache impasto in figure; black chalk (assumed) as underdrawing; ruled black pen and ink borders on off-white wove paper; 1-ply lining paper",Other (Design): 8 3/8 x 3 1/8 in. (21.2 x 8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"Prescience, Foresight",Todd Siler,American,1953,,1988,"Acrylic, oil, oil stick, cut and pasted paper, pastel, and graphite on canvas","H. 54, W. 108 inches (139.7 x 274.3 cm.)",Paintings,"Gift of Stewart and Judith Colton, 1988"
A Revolutionary Officer,Henry Benbridge,,1743,1812,1780?,Watercolor on ivory in gold-colored locket bordered with brilliants,1 17/32 x 1 in. (3.9 x 2.5 cm),Paintings,"Gift of J. William Middendorf II, 1968"
