artworkTitle,artistName,nationality,birthDate,deathDate,dateOfStartOfCreation,dateOfEndOfCreation,medium,dimensions,classification,creditLine,production_id
Portrait of Ralph Dusenberry,Arthur Dove,American,1880,1946,1924,1924,"Oil, folding wooden rulers, wood, and cut-and-pasted printed paper on canvas",22 x 18 in. (55.9 x 45.7 cm),Paintings,"Alfred Stieglitz Collection, 1949",25d294cb3510
Hills of Vermont,Aldro T Hibbard,American,1886,1972,1922,1922,Oil on canvas,"H. 43-3/4, W. 50 inches (111.1 x 127 cm.)",Paintings,"George A. Hearn Fund, 1923",10f2ceafd21b
Mrs. Samuel Mifflin and Her Granddaughter Rebecca Mifflin Francis,Charles Willson Peale,American,1741,1827,1777,1780,Oil on canvas,50 1/8 x 40 1/4 in. (127 x 101.8 cm),Paintings,"Egleston Fund, 1922",e86bd2066813
Greensleeves,I.J. Belmont,American,1877,1964,1945,1945,Oil on canvas,"H. 18, W. 24 inches (45.7 x 61 cm.)",Paintings,"Gift of Elsie K. Belmont, 1979",3a4e8b3fcef6
Back Street,Frank Kleinholz,American,1901,1987,1942,1942,Oil on canvas,"H. 30, W. 40 inches (76.2 x 101.6 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1942",2ac95958aef8
"Wyoming Valley, Pennsylvania",Jasper Francis Cropsey,American,1823,1900,1864,1864,Oil on canvas,15 x 24 in. (38.1 x 61 cm),Paintings,"Bequest of Collis P. Huntington, 1900",52ceb8f95038
Sem?Stuart Davis,American,1892,1964,1953,1953,Oil on canvas,52 x 40 in. (132.1 x 101.6 cm),Paintings,"George A. Hearn Fund, 1953",ace12494ac7d,1d8e5f31a913
Puppet and Child,Sueo Serisawa,American,1910,2004,1950,1950,Oil on canvas,"H. 40, W. 30 inches (101.6 x 76.2 cm.)",Paintings,"Alfred N. Punnet Endowment Fund, 1951",d29aedc91956
Self-Portrait,Marion Greenwood,American,1909,1970,1948,1948,Oil on canvas,"H. 22-1/8, W. 20-1/8 inches (56.2 x 51.1 cm.)",Paintings,"George A. Hearn Fund, 1951",ce26afb09f2e
Terrifying Terrain,Elizabeth Murray,American,1940,2007,1989,1990,Oil on shaped canvases,84 1/2 x 85 x 11 in. (214.6 x 215.9 x 27.9 cm),Paintings,"Joseph H. Hazen Foundation Purchase Fund, in honor of Cynthia Hazen Polsky, 1991",da6de1670243
Study for Chain of Pearls,Dennis Oppenheim,American,1938,2011,1984,1984,"Graphite, colored pencil, oil wash, oil, pastel on paper","4 Panels: H. 38, W. 50 inches (10.2 x 127 cm.) (Overall: H. 76, W. 100 inches 193 x 254 cm.)",Drawings,"Van Day Truex Fund, 1992",144636ba9a30
Delaware Water Gap Village,Louis Michel Eilshemius,American,1864,1941,1886,1886,Oil on canvas,25 x 29 7/8 in. (63.5 x 75.9 cm),Paintings,"Arthur Hoppock Hearn Fund, 1950",45f0a1cc6bba
Mrs. Sylvester Dering,Daniel Huntington,American,1816,1906,1878,1878,Oil on canvas,30 1/4 x 25 in. (76.8 x 63.5 cm),Paintings,"Gift of Sylvester Dering, 1916",5d9bd3bc5efd
Number 4 - 1960,James Brooks,American,1906,1992,1960,1960,Acrylic and oil on paper,"H. 20-3/4, W. 14-3/4 inches (52.7 x 37.5 cm.)",Drawings,"Gift of Charlotte Park Brooks, 1991",108fb0115b6e
Portrait of the Artist,Mary Cassatt,American,1844,1926,1878,1878,"Watercolor, gouache on wove paper laid down to buff-colored wood-pulp paper",23 5/8 x 16 3/16 in. (60 x 41.1 cm),Drawings,"Bequest of Edith H. Proskauer, 1975",418f1ac6967f
"Blue Mountain, New Mexico",Houghton Cranford Smith,American,1887,1983,1923,1923,Oil on canvas,"H. 8, W. 10 inches (20.3 x 25.4 cm.)",Paintings,1991,d148cf55bfef
Spanish Music Hall,Everett Shinn,American,1876,1953,1902,1902,Oil on canvasboard,13 3/4 x 17 3/4 in. (34.9 x 45.1 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",21d075e5a2c7
"Sundown at Centre Harbor, New Hampshire",William Trost Richards,American,1833,1905,1874,1874,"Watercolor, gouache, and graphite on gray-green wove paper",8 7/8 x 13 5/8 in. (22.5 x 34.6 cm),Drawings,"Gift of The Reverend E. L. Magoon, D.D., 1880",635997ae2a59
"The Hill of the Alhambra, Granada",Samuel Colman,American,1832,1920,1865,1865,Oil on canvas,47 1/2 x 72 1/2 in. (120.7 x 184.2 cm),Paintings,"Gift of Mrs. Oswald C. Hering, in memory of her husband, 1968",fd1da6e00ac7
Crowd at the Seashore,William James Glackens,American,1870,1938,1910,1910,Oil on canvas,25 x 30 in. (63.5 x 76.2 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",423592dffe4b
Vermillion Banner,Margo Hoff,American,1912,2008,1982,1982,"Acrylic, charcoal and cut and pasted canvas on canvas","H. 66, W. 60 inches (167.6 x 152.4 cm.)",Paintings,"Gift of Sally and Owen Fairweather, 1983",a703e99adf33
The Sitter,Larry Rivers,American,1923,2002,1956,1956,Oil on canvas,"H. 51-1/8, W. 47 inches (129.8 x 119.4 cm.)",Paintings,"Hugo Kastor Fund, 1956",eb66d7a61b7b
Untitled (Sheet of Studies),Jackson Pollock,American,1912,1956,1939,1942,"Ink, gouache, watercolor, colored pencils and graphite pencil on paper","H. 26, W. 20-1/2 inches (66 x 52.1 cm.)",Drawings,"Gift of Lee Krasner Pollock, 1982",8d9760545001
Number 34,John McLaughlin,American,1898,1976,1964,1964,Oil on canvas,"H. 48, W. 60 inches (121.9 x 152.4 cm.)",Paintings,"Gift of Mr. and Mrs. Morris S. Pynoos, 1986",a0fae705306c
The Block,Romare Bearden,American,1911,1988,1971,1971,"Cut and pasted printed, colored and metallic papers, photostats, graphite, ink marker, gouache, watercolor, and ink on Masonite","Overall: H. 48, W. 216 in. (121.9 x 548.6 cm) Six panels, each: H. 48, W. 36 in. (121.9 x 91.4 cm)",Drawings,"Gift of Mr. and Mrs. Samuel Shore, 1978",e7df5d1d98ed
Red Painting,Ad Reinhardt,American,1913,1967,1952,1952,Oil on canvas,"H. 78, W. 144 inches (198.1 x 365.8 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1968",c309e731b9fa
Design for window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Gouache and watercolor in grisaille, light tan; gouache impasto in figure; black chalk (assumed) as underdrawing; ruled black pen and ink borders on off-white wove paper; 1-ply lining paper",Other (Design): 8 3/8 x 3 1/8 in. (21.2 x 8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",6323312669cf
Pushing for Rail,Thomas Eakins,American,1844,1916,1874,1874,Oil on canvas,13 x 30 1/16 in. (33 x 76.4 cm),Paintings,"Arthur Hoppock Hearn Fund, 1916",102d9f9b8cc4
The Mime,Man Ray,American,1890,1976,1916,1916,Oil on Masonite,24 1/4 x 18 1/8in. (61.6 x 46cm) 28 1/2 x 22 1/2 x 1 1/4 in. (72.4 x 57.2 x 3.2 cm) (Frame),Paintings,"Gift of Everett B. Birch, 1982",dfca814a04af
Mrs. Gideon Tucker,William Sidney Mount,American,1807,1868,1830,1830,Oil on canvas,34 1/8 x 27 in. (86.7 x 68.6 cm),Paintings,"Bequest of Helen L. Tucker, 1949",36431556e4ed
Her World,Philip Evergood,American,1901,1973,1948,1948,Oil on canvas,"H. 48, W. 35-5/8 inches (121.9 x 90.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",936b5e502443
Fur Traders Descending the Missouri,George Caleb Bingham,American,1811,1879,1845,1845,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),Paintings,"Morris K. Jesup Fund, 1933",677a87c889f3
Man in a Green Coat,Gilbert Stuart,American,1755,1828,1779,1785,Oil on canvas,28 1/2 x 23 1/2 in. (72.3 x 59.7 cm),Paintings,"Bequest of Mary Stillman Harkness, 1950",d49c93f0e767
Design for carp window,Louis Comfort Tiffany,American,1848,1933,1895,1900,"Watercolor, gouache, and graphite on buff-colored wove paper",8 11/16 x 10 15/16 in. (22.1 x 27.8 cm) Other (Design): 4 3/8 x 5 7/8 in. (11.1 x 15 cm) Other (mat/mount size): 14 1/4 x 19 1/4 in. (36.2 x 48.9 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",9de4c6a5c270
The Gulf Stream,Winslow Homer,American,1836,1910,1899,1899,Oil on canvas,28 1/8 x 49 1/8 in. (71.4 x 124.8 cm),Paintings,"Catharine Lorillard Wolfe Collection, Wolfe Fund, 1906",753c2c7c355b
"Off Cape Split, Maine",John Marin,American,1870,1953,1938,1938,Oil on canvas,"H. 22-1/8, W. 28-1/8 inches (56.2 x 71.4 cm.)",Paintings,"George A. Hearn Fund, 1946",7b3a2c67d1f0
"The Green Lacquer Room, Museo Correr, Venice",Walter Gay,American,1856,1937,1912,1922,Oil on canvas,21 1/2 x 18 1/4 in. (54.6 x 46.4 cm),Paintings,"Bequest of Anne D. Thomson, 1923",b01df4c26bca
The Ameya,Robert Frederick Blum,American,1857,1903,1893,1893,Oil on canvas,25 1/16 x 31 1/16 in. (63.7 x 78.9 cm),Paintings,"Gift of Estate of Alfred Corning Clark, 1904",e2d3805be9d4
Landscape,Albert Pinkham Ryder,American,1847,1917,1897,1898,Oil on canvas,9 1/2 x 14 in. (24.1 x 35.6 cm),Paintings,"Gift of Frederick Kuhne, 1952",a9e8cfb8e494
Solitary,Adolph Gottlieb,American,1903,1974,1957,1957,Oil on canvas,"H. 59-1/4, W. 41-1/2 inches (150.5 x 105.4 cm.)",Paintings,"Gift of Mrs. Iola S. Haverstick, 1981",3e6e2452cb50
"Lake Maggiore, May 11,1869: Village and Landscape (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,1869,"Graphite, white gouache, watercolor on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",178c0aa0c2ca
Portrait of a Gentleman,Samuel Broadbent Jr.,American,1810,1880,1838,1838,Watercolor on ivory in gilded copper foliate locket; hair reserve verso,2 7/16 x 2 in. (6.2 x 5 cm),Paintings,"Fletcher Fund, 2006",61998181f8a2
Walker Evans,Dorothy Eisner,American,1906,1984,1944,1944,Oil and encaustic on Masonite,"H. 25-1/2, W.31-1/4 inches (64.1 x 79.4 cm.)",Paintings,"Gift of John McDonald, 1988",645547a6ea37
Maine Coast,Winslow Homer,American,1836,1910,1896,1896,Oil on canvas,30 x 40 in. (76.2 x 101.6 cm),Paintings,"Gift of George A. Hearn, in memory of Arthur Hoppock Hearn, 1911",5eb9608eaebb
Astarte,John Singer Sargent,American,1856,1925,1890,1895,Oil on canvas,38 5/8 x 12 in. (98.1 x 30.5 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",5c5adda4e97d
Two Boys,Frank W. Benson,American,1862,1951,1926,1926,Oil on canvas,32 3/16 x 40 1/8 in. (81.8 x 101.9 cm),Paintings,"George A. Hearn Fund, 1927",c24521df575e
Design for chandelier,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Colored wax crayon, gouache highlights, and graphite on tissue paper mounted on board.",Overall: 22 1/16 x 15 in. (56 x 38.1 cm) Other (Design): 15 1/4 x 10 7/8 in. (38.7 x 27.6 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",2b72cb2b46e9
General Winfield Scott,Robert Walter Weir,American,1803,1889,1855,1855,Oil on canvas,33 3/4 x 26 7/8 in. (85.7 x 68.3 cm),Paintings,"Gift of the heirs of William B. Isham, 1910",b0c3fc5f5b31
Ernesta (Child with Nurse),Cecilia Beaux,American,1855,1942,1894,1894,Oil on canvas,50 1/2 x 38 1/8 in. (128.3 x 96.8 cm),Paintings,"Maria DeWitt Jesup Fund, 1965",bcb2c6559917
Portrait of a Man,Samuel John Stump,American,1778,1863,1825,1825,Ivory,"Oval, 2 5/8 x 2 1/4 in. (68 x 56 mm)",Miniatures,"Bequest of Millie Bruhl Fredrick, 1962",87e4ff2b6ecb
Design for a window,Louis Comfort Tiffany,American,1848,1933,1905,1905,"Watercolor, gouache, and graphite on off-white wove paper",Overall: 18 1/8 x 10 1/8 in. (46 x 25.7 cm) Other (Design): 17 5/8 x 9 5/8 in. (44.7 x 24.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",bd6931fd9be5
Angel Appearing to Three Marys at the Tomb,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, graphite, and black ink on artist board",Overall: 21 15/16 x 14 5/8 in. (55.7 x 37.1 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",47b3a9eaec33
"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant",John Singer Sargent,American,1856,1925,1899,1899,Oil on canvas,115 x 84 1/8 in. (292.1 x 213.7 cm),Paintings,"Catharine Lorillard Wolfe Collection, Wolfe Fund, 1927",d465c22b7f66
Portrait of a Lady,John Carlin,American,1813,1891,1850,1850,Watercolor on ivory,1 5/8 x 1 1/4 in. (4.1 x 3.2 cm),Paintings,"Gift of Gloria Manney, 2006",1564559cae5e
Album,James McNeill Whistler,American,1834,1903,1854,1855,"Drawings in pen and ink, graphite, gouache, and black chalk on off-white and toned wove and laid paper; cover missing",Various sized sheets,Drawings,"Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970",ee44a59aee76
In the Deep Woods,Charles Shepard Chapman,American,1879,1962,1917,1917,Oil on canvas,"H. 60-1/4, W. 36 inches (152.4 x 91.4 cm.)",Paintings,"George A. Hearn Fund, 1917",1426c82bbe76
Seabirds,William Thon,American,1906,2000,1953,1953,Oil on canvas,"H. 20-3/8, W. 44-3/8 inches (51.7 x 112.7 cm.)",Paintings,"Gift of Mr. and Mrs. Morris W. Haft, 1954",92bf68e4c9a0
"Coast Guard Station, Two Lights, Maine",Edward Hopper,American,1882,1967,1927,1927,"Watercolor, gouache and charcoal on paper","H. 13-7/8, W. 19-7/8 inches (35.2 x 50.5 cm.)",Drawings,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",b98aeaf8ceeb
Children with Goat,John Carlin,American,1813,1891,1857,1857,Oil on canvas,18 1/8 x 24 1/8 in. (46 x 61.3 cm),Paintings,"Gift of the Carlin family, 2009",99a9faf0d82b
The Flying Box,John Hultberg,American,1922,2005,1954,1954,Oil on canvas,"H. 39-1/2, W. 65 inches (100.4 x 165.1 cm.)",Paintings,"George A. Hearn Fund, 1955",6a97d106be2a
The Celebration of the Mass,Harry W. Watrous,American,1857,1940,1930,1935,Oil on canvas,40 x 36 in. (101.6 x 91.4 cm),Paintings,"Gift of the artist, 1935",41bf8c1ace75
Portrait of a Man,Formerly attributed to Thomas Hicks,American,1823,1890,1850,1850,Oil on canvas,26 1/2 x 19 3/4 in. (66.5 x 49 cm),Paintings,"Gift of The Chester Dale Collection, 1955",b0b003512546
Undulation Series,Richard Pousette-Dart,American,1916,1992,1941,1944,"Gouache, watercolor, and ink on paper","H. 23, W. 31-1/2 inches (58.4 x 80 cm.)",Drawings,"Anonymous Gift, 1991",21b3ba4f3ae6
arby,Georgia O'Keeffe,American,1887,1986,1937,1937,Oil on canvas,36 x 40 1/8 in. (91.4 x 101.9 cm),Paintings,"Alfred Stieglitz Collection, 1959",4e95a0328dd6
The Student,Thomas Sully,American,1783,1872,1839,1839,Oil on canvas,23 1/2 x 19 1/2 in. (59.7 x 49.5 cm),Paintings,"Bequest of Francis T. Sully Darley, 1914",64b60ecc07e0
Daniel Crommelin Verplanck,John Singleton Copley,American,1738,1815,1771,1771,Oil on canvas,49 1/2 x 40 in. (125.7 x 101.6 cm),Paintings,"Gift of Bayard Verplanck, 1949",2f837e252059
Musidora,Thomas Sully,American,1783,1872,1813,1835,Oil on wood,28 1/8 x 22 1/2 in. (71.4 x 57.2 cm),Paintings,"Gift of Louis Allston Gillet, in memory of his uncles, Sully Gillet and Lorenzo M. Gillet, 1921",12fb28b59327
Martha Washington,James Peale,American,1749,1831,1782,1782,Watercolor on ivory,1 1/2 x 1 in. (3.8 x 2.5 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 2006",2f5bf6d36489
Goat,Arthur Dove,American,1880,1946,1935,1935,"Oil on canvas, with selective varnish",23 x 31 in. (58.4 x 78.7 cm),Paintings,"Alfred Stieglitz Collection, 1949",ba635f45de13
Rushing Water,John Singer Sargent,American,1856,1925,1901,198,"Watercolor, gouache, and graphite on white wove paper",14 x 9 15/16 in. (35.6 x 25.2 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",1a26e1b39386
"William M. Chase, N. A.",John Singer Sargent,American,1856,1925,1902,1902,Oil on canvas,62 1/2 x 41 3/8 in. (158.8 x 105.1 cm),Paintings,"Gift of the Pupils of Mr. Chase, 1905",61c7a7dbd15d
The Flatiron Building,Samuel Halpert,American,1884,1930,1919,1919,Oil on canvas,"H. 40, W. 34 inches (101.6 x 86.4 cm.)",Paintings,"Gift of Dr. and Mrs. Wesley Halpert, 1981",b7f46d2ede14
Mr. and Mrs. Anson Phelps Stokes,Cecilia Beaux,American,1855,1942,1898,1898,Oil on canvas,72 1/16 x 39 7/8 in. (183 x 101.3 cm),Paintings,"Gift of the family of the Rev. and Mrs. Anson Phelps Stokes, 1965",510e7ef6726f
The Dog Killer,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",5e761abae523
Interior,Samuel Halpert,American,1884,1930,1917,1917,Oil on canvas,"H. 20, W. 16-1/8 inches (50.8 x 41 cm.)",Paintings,"Gift of Carolyn and Dr. Wesley Halpert, 1993",0ad33c3b7ea9
Berg's Ship Yard,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 1/8 x 9 1/8 in. (15.6 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",3f0b4d87cf16
Aeroplane Synchromy in Yellow-Orange,Stanton Macdonald-Wright,American,1890,1973,1920,1920,Oil on canvas,24 1/4 x 24 in. (61.6 x 61 cm),Paintings,"Alfred Stieglitz Collection, 1949",12b721a5d0dd
Florida Seascape,William Baziotes,American,1912,1963,1945,1945,"Gouache, ink, and watercolor on paper","H. 14-1/4, W. 19-3/4 inches (36.2 x 50.2 cm.)",Drawings,"George A. Hearn Fund, 1946",030b1a582a3c
General George Eliott,Mather Brown,American,1761,1831,1790,1790,Oil on canvas,98 3/16 x 64 3/8 in. (249.4 x 163.5 cm),Paintings,2004,1dee301f9aa6
Midnight,Alexander Shilling,American,1859,1937,1930,1930,Oil on canvas,18 3/8 x 24 1/2 in. (46.7 x 62.2 cm),Paintings,"Anonymous Gift, 1938",a5a4a3d09c58
Storm Clouds,Arthur Dove,American,1880,1946,1935,1935,Wax emulsion on canvas in artist-made frame,15 x 21 1/8 in. (38.1 x 53.7 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",1f52ab7cb20e
Warships in the Harbor,Joseph Pennell,American,1857,1926,1923,1923,"Watercolor, charcoal, and gouache on off-white wove paper",7 x 9 7/8 in. (17.8 x 25.1 cm),Drawings,"Gift of Bartlett Arkell, 1942",3cc40b5b671b
White Abstraction,Arthur B. Carles,American,1882,1952,1935,1935,Oil on canvas,"H. 39, W. 33 inches (99.1 x 83.8 cm.)",Paintings,"Gift of The Woodward Foundation, 1976",855740b6fdad
1950-W,Clyfford Still,American,1904,1980,1950,1950,Oil on canvas,"H. 69-3/4, W. 42 inches (177.2 x 106.7 cm.)",Paintings,"Gift of Mrs. Clyfford Still, 1986",f5daed344bb2
Untitled (Four Figures),Nicolas Carone,American,1917,2010,1951,1951,"Enamel on paper, mounted on linen",21 1/4 x 18 1/4 in. (54 x 46.4 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",bf8cc3090195
Landscape No. 25,Marsden Hartley,American,1877,1943,1908,1908,Oil on commercially prepared paperboard,12 x 12 in. (30.5 x 30.5 cm),Paintings,"Alfred Stieglitz Collection, 1949",3f865a5e0373
Miss Ross,James Peale,American,1749,1831,1791,1791,Watercolor on ivory,Sight: 2 x 1 9/16 in. (5.1 x 4 cm),Paintings,"Fletcher Fund, 1941",50ee7d298acf
Autumn Meadows,George Inness,American,1825,1894,1869,1869,Oil on canvas,30 x 45 1/2 in. (76.2 x 115.6 cm),Paintings,"Gift of Walter Knight Sturges, 1974",96131095dee6
Painting,Charles Henry Alston,American,1907,1977,1950,1950,Oil on canvas,"H. 50, W. 36 inches (127 x 91.4 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1951",9dee9f6ecb22
Castel San Elmo (from Cropsey Album),Attributed to Jasper Francis Cropsey,American,1823,1900,1848,1848,"Graphite, white gouache, and watercolor on dark buff-colored wove paper",6 7/8 x 9 9/16 in. (17.5 x 24.3 cm),Drawings,"Purchase, Charles and Anita Blatt Gift, 1970",0f2d0d95f563
A Window at Night,Anne Goldthwaite,American,1869,1944,1933,1933,Oil on canvas,44 x 26 1/4 in. (111.8 x 66.3 cm),Paintings,"George A. Hearn Fund, 1938",58fc2c0b701c
Repairing the Bridge,Robert Spencer,American,1879,1931,1913,1913,Oil on canvas,29 7/8 x 35 5/8 in. (75.9 x 90.5 cm),Paintings,"George A. Hearn Fund, 1914",414a8669140e
Seated Nude,Walt Kuhn,American,1877,1949,1926,1928,"Oil on cardboard, adhered to wood","H. 24-1/8, W. 19-3/4 inches (61.3 x 50.2 cm.)",Paintings,"Gift of Carl D. Lobell, 1995",d2cf449dee47
John Cox,Henry Williams,American,1787,1830,1810,1810,Watercolor on ivory in gold-colored metal locket with finial; hair reserve verso,2 17/32 x 2 1/16 in. (6.4 x 5.2 cm),Paintings,"Maria DeWitt Jesup Fund, 1985",77d8fb134a63
Black Iris,Georgia O'Keeffe,American,1887,1986,1926,1926,Oil on canvas,36 x 29 7/8 in. (91.4 x 75.9 cm),Paintings,"Alfred Stieglitz Collection, 1969",b7c821cee0f7
Spring Woods,Henry Ward Ranger,American,1858,1916,1895,1900,Oil on canvas,28 1/4 x 36 in. (71.8 x 91.4 cm),Paintings,"Gift of George A. Hearn, 1906",ede45355ac44
Desert,Dorothy Dehner,American,1901,1994,1948,1948,"Gouache, watercolor, and ink on paper","H. 11-1/2, W. 15-5/8 inches (29.2 x 39.7 cm.)",Drawings,"Gift of the Dorothy Dehner Foundation for the Visual Arts, 1997",04bc270691ca
Painted Newsprint,Franz Kline,American,1910,1962,1948,1950,"Oil on newspaper, mounted on gessoed Masonite","H. 30, W. 40 inches (76.2 x 101.6 cm.)",Drawings,"Gift of Mr. and Mrs. William B. Jaffe, 1964",0190c42ac6e1
"Design for interior wall of Hershey Theatre, Hershey, Pennsylvania",Louis Comfort Tiffany,American,1848,1933,1915,1915,"Watercolor, gouache, pen and black ink, aluminum paint and bronze powder ink, and graphite on artist board with original shaped window mat",Overall: 25 7/8 x 32 3/16 in. (65.7 x 81.8 cm) Design: 23 15/16 x 27 9/16 in. (60.8 x 70 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",a59f9859f8e7
Four Seasons,Louis Comfort Tiffany,American,1848,1933,1897,1897,"Watercolor, gouache, graphite, and red earth chalk pencil on on white wove paper formerly overmatted with original warm grey window matt",Overall: 29 5/16 x 18 9/16 in. (74.5 x 47.2 cm) Other (Design): 24 7/8 x 18 7/16 in. (63.2 x 46.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",4eec1818f8c7
Design for a mosaic or a window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, and graphite on textured white wove paper mounted to warm grey matt board",Overall: 15 3/4 x 6 15/16 in. (40 x 17.7 cm) Other (Design): 16 1/8 x 5 5/16 in. (41 x 13.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",5a3ca7fb42f4
Frank O'Brian,Leland Bell,American,1922,1991,1960,1960,Oil on pre-primed canvas glued to Masonite,"H. 24, W. 18 inches (61 x 45.7 cm.)",Paintings,"Gift of Diane L. Ackerman, in memory of her husband, Martin S. Ackerman, 1993",3e6c2b867d08
Golden Afternoon,Childe Hassam,American,1859,1935,1908,1908,Oil on canvas,30 1/16 x 40 3/8 in. (76.4 x 102.6 cm),Paintings,"Rogers Fund, 1911",ff74049c3af4
The Artist in his Studio,Warren Brandt,American,1918,2002,1979,1979,Oil on canvas,"H. 64, W. 45 inches (162.4 x 114.2 cm.)",Paintings,"Purchase, Eric W. Goldman Gift, 1980",ba0ebc5ae4fc
October Seas,Paul Dougherty,American,1877,1947,1910,1910,Oil on canvas,"H. 36-1/8, W. 48-1/8 inches (91.8 x 122.2 cm.)",Paintings,"George A. Hearn Fund, 1911",4369bfdc0a38
Olive Trees at Tivoli,George Inness,American,1825,1894,1873,1873,"Gouache, watercolor, and graphite on blue wove paper with colored fibers",7 x 12 3/8 in. (17.8 x 31.4 cm),Drawings,"Morris K. Jesup Fund, 1989",b31ac14198ed
Clam Shell,Georgia O'Keeffe,American,1887,1986,1930,1930,Oil on canvas,24 x 36 in. (61 x 91.4 cm),Paintings,"Alfred Stieglitz Collection, 1962",061731b9a15b
Snap the Whip,Winslow Homer,American,1836,1910,1872,1872,Oil on canvas,12 x 20 in. (30.5 x 50.8 cm),Paintings,"Gift of Christian A. Zabriskie, 1950",b4ae8a4c431e
Torso with Bandanna,Joe Brainard,American,1942,1994,1975,1975,"Cut and pasted printed paper, gouache, colored pencil, and ink stamp on paper","H. 6, W. 4 inches (15.2 x 10.2 cm.)",Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997",5984158308ac
Lee Krasner,Eda Mirsky Mann,American,1911,2012,1930,1930,Oil on canvas,"H. 24, W. 30 inches (61 x 76.2 cm.) Unframed",Paintings,"Gift of the artist, 1988",44cafd1577a0
"The Adjustment of Conflicting Interests: Count Raymond of Toulouse Swears at the Altar to Observe the Liberties of the City;?Color Study for Mural, Supreme Court Room, Minnesota State Capitol,?Saint Paul",John La Farge,American,1835,1910,1903,1903,"Gouache, watercolor, and graphite on white wove paper",7 1/8 x 11 1/4 in. (18.1 x 28.6 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",736fcf6a5aa5
Stream and Rocks,John Singer Sargent,American,1856,1925,1901,198,"Watercolor, gouache, and graphite on white wove paper",10 x 14 in. (25.4 x 35.6 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",e4cf5a063e79
The Valley of Vision: A Book of Romance and Some Half-Told Tales,rong,American,1867,1944,1919,1919,"illustrations: photomechanical reproductions of wood engravings, watercolors and paintings",7 11/16 x 5 x 1 1/2 in. (19.5 x 12.7 x 3.8 cm),Books,"Gift of Constance C. McPhee, 2012",8f68eec91cab
Corn Husking at Nantucket,Eastman Johnson,American,1824,1906,1875,1875,Oil on canvas,27 5/8 x 54 1/2 in. (70.2 x 138.4 cm),Paintings,"Rogers Fund, 1907",30428a1abda3
The Old New York Post Office,Junius Allen,American,1898,1962,1939,1940,"Oil on canvas, mounted on Masonite",36 x 42in. (91.4 x 106.7cm) 44 x 49 7/8 x 2 5/8 in. (111.8 x 126.7 x 6.7 cm) (Frame),Paintings,"George A. Hearn Fund, 1940",7cfcc5d6233b
