Subtype_of_Art,Type_of_Art,Title,Date_made,Credit,ArtistName,Inscription,Pic_URL,Dimensions,BirthDate,DeathDate,production_id
Oil on canvas,Paintings,Warm Afternoon,1910,Museum Donors Acquisition Fund,Guy Rose," PPIE.  1915.  (titled Hot Afternoon) Mills College Art Gallery. 1973. TOM.  Impressionism, The California View.  1981-82. Cummer Gallery of Art, Oct 15, 1986 through January 11, 1987, 25th  Anniversary, Curator, Dr. Gerdts.//Guy Rose, American Impressio",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A67.43_DGAL_1121_01.jpg,29 in HIGH x 23.5 in WIDE(73.66 cm HIGH x 59.69 cm WIDE),1867,1925,f0fff42ce85d
Oil on canvas,Paintings,Landscape--San Francisco,1910,Gift of the Art Guild,Arthur Mathews | Lucia Mathews," TOM.  Mathews Exhibition.  1972. Pasadena, Ca.  California Design:  1910.  1974. SFMMA.  California:  The Modern Era.  1976. TOM.  Mathews Exhibition.  1985.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/A65.13.9_DGMA_057.1_02.jpg,26 in HIGH x 30 in WIDE(66.04 cm HIGH x 76.20 cm WIDE),1860,1945,2ba8438a8286
Oil on masonite,Paintings,Encounter,1945,Gift of the Women's Board,David Park," California Palace of the Legion of Honor, 1945 (see label, verso)//Newport Harbor Art Museum, David Park Retrospective, 1977 - 1978",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0600846b.jpg,9.5 in HIGH x 11.875 in WIDE(24.13 cm HIGH x 30.16 cm WIDE),1911,1960,bb4d51e32e5c
Oil on canvas,Paintings,Rehearsal,1949 - 1950,Gift of the Anonymous Donor Program of the American Federation of Arts,David Park," LACMA: Made in California, 2000. SFMMA.  California: The Modern Era.  1976. SFAI.  1969. TOM.  A Period of Exploration.  1973. SFMMA.  1976 - 1977. Newport Harbor Art Museum.  Park Retrospective.  1977-1978. New York University - Grey Art Gallery.  The Fi",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A62.34_DGAL_1057_01.jpg,46 in HIGH x 35.75 in WIDE(116.84 cm HIGH x 90.80 cm WIDE),1911,1960,40c271d30f61
Oil on canvas,Paintings,Portrait of Richard Diebenkorn,1953,Gift of Mrs. Roy Moore,David Park," TOM, David Park Retrospective Show, 1962 Heritage Gallery, 1968 Newport Harbor Art Museum, David Park Retrospective, 1977 - 1978 TOM.  California Artists:  A Group Portrait in Mixed Media.  1987-1988. Whitney Museum of Am. Art.  David Park Retro.  1988-19",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.214.13_DGAH_039_02.jpg,20 in HIGH x 14.125 in WIDE(50.80 cm HIGH x 35.88 cm WIDE),1911,1960,a723b57ced35
Oil on canvas,Paintings,Solitaire,1954,Gift of the Art Guild of the Oakland Museum Association,David Park," Colorado Springs Fine Arts Center, Museum Aqusitions, 1962 Newport Harbor Art Museum, David Park Retrospective, 1977 - 1978 TOM.  David Park (organized by Whitney, Oakland venue only).  1989.//Cal. State LA 1992?",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A62.33_DGAL_1056_01.jpg,30 in HIGH x 24.25 in WIDE(76.20 cm HIGH x 61.59 cm WIDE),1911,1960,23401454f03f
Oil on canvas,Paintings,Figure in Landscape,1957,Gift of the Women's Board of the Oakland Museum Association,Elmer Bischoff," OAM.  Contemporary Bay Area Figurative Painting.  1957. CPLH, S.F.  Winter Invitational.  1960. TOM.  Elmer Bischoff: Figurative Paintings, 1957-72.  1975. SFMMA.  Bay Area Figurative: 1950-65.  1989.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A57.17.2_DGAH_141_02.jpg,52 in HIGH x 57.5 in WIDE(132.08 cm HIGH x 146.05 cm WIDE),1916,1991,06c05d401f65
Oil on canvas,Paintings,Portrait of Lupe,1964,Gift of Noel Neri,Joan Brown," Transformation:the Art of Joan Brown; Oakland Museum of California, Sept. 26, 1998-January 17, 1999",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0011193.jpg,30.125 in HIGH x 25.25 in WIDE(76.52 cm HIGH x 64.13 cm WIDE),1938,1990,66a418eeb6bd
Oil on canvas,Paintings,Mountain Jack and a Wandering Miner,1850,"Collection of the Oakland Museum of California, gift of Concours d'Antiques, Art Guild",E. Hall Martin," The Trust for Museum Exhibitions. American WeWestern Art: From Myth to Reality///  OMCA: The Art of the Gold Rush//// WMMA.  N.Y.C.  The American Frontier: Images and Myths.  1973. NCFA, Smithsonian Inst.  Washington, D.C.  America As Art.  1976. TOM. 1",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0024714.jpg,39.5 in HIGH x 72 in WIDE(100.33 cm HIGH x 182.88 cm WIDE),1818,1851,7d53b369621a
Oil on canvas,Paintings,View of Hetch-Hetchy,1885,Gift of Dr. and Mrs. Bruce Friedman,Ferdinand Richardt," The Edge - Oakland Museum of California, June 2 - October 14, 2007.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0006465.jpg,34.5 in HIGH x 30.75 in WIDE(87.63 cm HIGH x 78.10 cm WIDE),1819,1895,e267dcbdba40
Oil on canvas,Paintings,Untitled  ((Mural)),1911-1912,"The Oakland Museum of California, Gift of Concours d'Antiques, Art Guild",Arthur Mathews | Lucia Mathews, TOM.  Mathews Exhib.  1972.  Catalog #86. TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A72.8.1_DGMA_177_02.jpg,49 in HIGH x 80 in WIDE(124.46 cm HIGH x 203.20 cm WIDE),1860,1945,4bb029a46cee
Oil on canvas,Paintings,Youth,1917,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews | Lucia Mathews," The Golden Gate International Exposition, 1939. TOM, Mathews: Masterpieces of the California Decorative Style, 1972. TOM, Mathews Exhibition, 1985.  OMCA, Great Hall, California as Muse: The Art of Arthur and Lucia Mathews 10/28/2006 - 03/25/2007; traveling to Norton Museum of Art and Akron Art Museum, Fall 2007 - Fall 2008.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/A66.196.24_DGMA_145_02.jpg,39 in HIGH x 50 in WIDE(99.06 cm HIGH x 127.00 cm WIDE),1860,1945,08072a4e594a
Oil on canvas,Paintings,Masque of Pandora  (Pandora),circa 1914,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews, PPIE. TOM.  Mathews Exhibition.  1972.  (Cat.) TOM.  Mathews Exhibition.  1985. ,http://collections.museumca.org/?q=system/files/imagecache/100_Square/A66.196.11_DGMA_130.1_02_1.jpg,52 in. HIGH x 48 in. WIDE,1860,1945,b6921e3430c5
Gouache,Paintings,Landscape (California),circa 1936,Gift of the Estate of the artist,Mine Okubo," TOM, Mine Okubo: An American Experience, 1972.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/2008.32.4_1.jpg,8.75 in HIGH x 11.375 in WIDE(22.22 cm HIGH x 28.89 cm WIDE),1912,2001,f6565c5d4d03
Oil on canvas,Paintings,Lady in the Garden,mid 20th century,Gift of the Estate of the artist,Mine Okubo," TOM, Mine Okubo: An American Experience, 1972.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/imagefield_default_images/unavailable.png,61.125 in HIGH x 41 in WIDE x 1.125 in DEEP(155.26 cm HIGH x 104.14 cm WIDE x 2.86 cm DEEP),1912,2001,ae0057f40952
Oil on canvas,Paintings,"3 sections - animals, people, fish",mid 20th century,Gift of the Estate of the artist,Mine Okubo," TOM, Mine Okubo: An American Experience, 1972.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/imagefield_default_images/unavailable.png,43.75 in HIGH x 29.5 in WIDE x 1.125 in DEEP(111.12 cm HIGH x 74.93 cm WIDE x 2.86 cm DEEP),1912,2001,9933f75631f3
Oil on canvas,Paintings,"Lady, Pet and Cat",mid 20th century,Gift of the Estate of the artist,Mine Okubo," TOM, Mine Okubo: An American Experience, 1972.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/imagefield_default_images/unavailable.png,61 in HIGH x 52 in WIDE x 1.5 in DEEP(154.94 cm HIGH x 132.08 cm WIDE x 3.81 cm DEEP),1912,2001,f7271bf06674
Oil on canvas,Paintings,Three Vases,mid 20th century,Gift of the Estate of the artist,Mine Okubo," TOM, Mine Okubo: An American Experience, 1972.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/imagefield_default_images/unavailable.png,50 in HIGH x 40 in WIDE(127.00 cm HIGH x 101.60 cm WIDE),1912,2001,b1992b0610de
Gouache,Paintings,Workman,mid 20th century,Gift of the Estate of the artist,Mine Okubo," TOM, Mine Okubo: An American Experience, 1972.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/imagefield_default_images/unavailable.png,18 in HIGH x 24 in WIDE(45.72 cm HIGH x 60.96 cm WIDE),1912,2001,941cad0da986
