technique,provenance,title,imageUrl,dimensions,artist,additionalInfo,url,production_id
acrylic on canvas,California Afro-American Museum Foundation purchase,Circular II (Paris Series),http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CEd%5FClark%5CCircular+II%2Ejpg,"74"" H x 81"" W",Edward Clark,Center horizontal beam flanked by two semi-circles.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Clark&whereclause=where+maker%3D%27Edward+Clark%27+OR+cleanmaker%3D%27Edward+Clark%27+OR+maker1%3D%27Edward+Clark%27+OR+maker2%3D%27Edward+Clark%27+OR+maker3%3D%27Edward+Clark%27+OR+maker4%3D%27Edward+Clark%27+OR+maker5%3D%27Edward+Clark%27&current_record=1,fad8d39824fc
Printed and hand-written materials,Gift of Kenneth Severin,Captain Edward L. Toppins Tuskegee Airman Collection,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMilitary%5CToppins%5FCollection%5CTuskegee%5FToppins%2Ejpg,1.666 cubic feet,Edward Lucien Toppins,"Correspondence, books, plaques, ephemera, a personal journal, historic documents, flight logs and paraphernalia pertaining to the life of Tuskegee Airman, Captain Edward L. Toppins.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Lucien+Toppins&whereclause=where+maker%3D%27Edward+Lucien+Toppins%27+OR+cleanmaker%3D%27Edward+Lucien+Toppins%27+OR+maker1%3D%27Edward+Lucien+Toppins%27+OR+maker2%3D%27Edward+Lucien+Toppins%27+OR+maker3%3D%27Edward+Lucien+Toppins%27+OR+maker4%3D%27Edward+Lucien+Toppins%27+OR+maker5%3D%27Edward+Lucien+Toppins%27&current_record=1,cc282ed78d2d
Oil on canvas,"Gift of Richard F. Connally, Jr.",Landscape Scene,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CLandscape+scene%2Ejpg,"30 x 42""",Edward Mitchell Bannister,"Landscape scene of woman walking down dirt road in woods, two cows graze in field nearby.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=1,cb14e2984072
Pencil on paper,Anonymous Gift,Evening Landscape,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CEvening%2Ejpg,"3"" x 5""",Edward Mitchell Bannister,framed pencil drawing,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=2,335c84a047bb
Charcoal on paper,Anonymous Gift,Landscape with Figure,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CFigure%2Ejpg,"6 x 8¼""",Edward Mitchell Bannister,framed pencil drawing,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=3,89ff5cc5342e
Pencil on paper.,Anonymous Gift,"Landscape, Dockside",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CLandscape+dockside%2Ejpg,"3½ x 6½""",Edward Mitchell Bannister,framed pencil drawing,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=4,a01db1b6235d
Pencil on paper.,Anonymous Gift,"Landscape, Shack, Figure, and Boat",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CShack%2Ejpg,"4¼ x 7¼""",Edward Mitchell Bannister,framed pencil drawing,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=5,aa7a8f7751ca
Pencil on paper.,Anonymous Gift,"Escutney Mountain/Landscape, River and Mountain",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CEscutney%2Ejpg,"6 x 9""",Edward Mitchell Bannister,framed pencil drawing,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=6,9fe5e3fc02dd
Pencil on paper.,Anonymous Gift,"Landscape, Rocky outcrop",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CRocky+Outcrop%2Ejpg,"6¼ x 8½""",Edward Mitchell Bannister,framed pencil drawing,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=7,5cb3a90fcf53
Charcoal on paper,Anonymous Gift,Landscape with Cows,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CCows%2Ejpg,"6½ x 9½""",Edward Mitchell Bannister,framed pencil drawing,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=8,a46f1b43666b
Pencil on paper.,Anonymous Gift,"Landscape, Cows and Figure",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CCows+Figure%2Ejpg,"5½ x 8½""",Edward Mitchell Bannister,framed pencil drawing,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=9,40cda4e16e29
Pencil on paper.,Anonymous Gift,"Landscape, Meadow, House on a Hill",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CMeadow+House%2Ejpg,"4½  x 6½""",Edward Mitchell Bannister,framed pencil drawing,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=10,c232de1c26d1
Pencil on paper.,Anonymous Gift,"Oxen, Cart and Two figures",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5COxen%2Ejpg,"8½ x 5¼""",Edward Mitchell Bannister,framed pencil drawing,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=11,17d51fdc2605
Oil on canvas,Gift of M. Earl and Flora C. Grant,The Old Servant,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COld+Servant%2Ejpg,"27½ x 24½ x ¾""",Edwin Augustus Harleston,old woman sitting down with basket signed lower right.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edwin+Augustus+Harleston&whereclause=where+maker%3D%27Edwin+Augustus+Harleston%27+OR+cleanmaker%3D%27Edwin+Augustus+Harleston%27+OR+maker1%3D%27Edwin+Augustus+Harleston%27+OR+maker2%3D%27Edwin+Augustus+Harleston%27+OR+maker3%3D%27Edwin+Augustus+Harleston%27+OR+maker4%3D%27Edwin+Augustus+Harleston%27+OR+maker5%3D%27Edwin+Augustus+Harleston%27&current_record=1,e5b282ba9f73
Photomechanical reproduction,Gift of Robert A. Grimm,Le Monde Diplomatique - Fevrier 1977,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPosters%5CCleaver%2Ejpg,"19"" H x 25"" W","Eldridge Cleaver Legal Defense Fund, Jean Plantu (animation)","Eldridge Cleaver depicted as red cartoon character wearing a cross around his neck (possibly symbolic of Christian fundamentalist politics) and tearing off his spotted shirt (""changing spots"" of former the Black Panther Party politics?). United States flag in background and Black protester in foreground (neglected constituents?).",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29&whereclause=where+maker%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+cleanmaker%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker1%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker2%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker3%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker4%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker5%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27&current_record=1,544dc8081583
Gold-toned gelatin silver print,Gift of Alice Weston,"Conversation (Africa II: The Turkana, Kenya)",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSunday%5FConversation%2Ejpg,"21.75"" x 17.25"" W",Elisabeth Sunday,Two Turkana women in a conversation distorted by elongating their reflections through a flexible Plexiglas-mounted mirror.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elisabeth+Sunday&whereclause=where+maker%3D%27Elisabeth+Sunday%27+OR+cleanmaker%3D%27Elisabeth+Sunday%27+OR+maker1%3D%27Elisabeth+Sunday%27+OR+maker2%3D%27Elisabeth+Sunday%27+OR+maker3%3D%27Elisabeth+Sunday%27+OR+maker4%3D%27Elisabeth+Sunday%27+OR+maker5%3D%27Elisabeth+Sunday%27&current_record=1,f6dd3dbf306c
Photograph,Gift of Wayne & Shelby Kostman,Collection of historic photographs,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CE4%2EBMP,"6¾ x 9¾""",Elite Studios,Portrait of young man in an Elite Studio portfolio,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elite+Studios&whereclause=where+maker%3D%27Elite+Studios%27+OR+cleanmaker%3D%27Elite+Studios%27+OR+maker1%3D%27Elite+Studios%27+OR+maker2%3D%27Elite+Studios%27+OR+maker3%3D%27Elite+Studios%27+OR+maker4%3D%27Elite+Studios%27+OR+maker5%3D%27Elite+Studios%27&current_record=1,31a8cd443397
Woodcut on rice paper,Gift of the Arts Council,Untitled,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCatlett%5CCatlett%5FUntitled%2Ejpg,"18.75"" x 15.5""",Elizabeth Catlett,Geometric rendering portrait of an African American woman.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elizabeth+Catlett&whereclause=where+maker%3D%27Elizabeth+Catlett%27+OR+cleanmaker%3D%27Elizabeth+Catlett%27+OR+maker1%3D%27Elizabeth+Catlett%27+OR+maker2%3D%27Elizabeth+Catlett%27+OR+maker3%3D%27Elizabeth+Catlett%27+OR+maker4%3D%27Elizabeth+Catlett%27+OR+maker5%3D%27Elizabeth+Catlett%27&current_record=1,f4150aa86cf0
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Dream Dancing [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11e%2Ejpg,"Diameter: 12""",Ella Fitzgerald,"Originally released on Atlantic as ""Ella Loves Cole"" and then reissued on Pablo with two extra cuts from 1978, this set features the great Ella Fitzgerald (still in excellent form) backed by an orchestra arranged by Nelson Riddle performing an extensive set of Cole Porter songs. Fifteen years earlier Fitzgerald had had great success with her Cole Porter Songbook and this date, even with a few hokey arrangements, almost reaches the same level. Trumpeter Harry ""Sweets"" Edison and pianist Tommy Flanagan are among the supporting cast. Highlights include ""I Get a Kick out of You, I've Got You Under My Skin, All of You, My Heart Belongs to Daddy and Just One of Those Things."" --Scott Yanow",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald&whereclause=where+maker%3D%27Ella+Fitzgerald%27+OR+cleanmaker%3D%27Ella+Fitzgerald%27+OR+maker1%3D%27Ella+Fitzgerald%27+OR+maker2%3D%27Ella+Fitzgerald%27+OR+maker3%3D%27Ella+Fitzgerald%27+OR+maker4%3D%27Ella+Fitzgerald%27+OR+maker5%3D%27Ella+Fitzgerald%27&current_record=1,1b7c61b2d4e9
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Fine and Mellow [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11f%2Ejpg,"Diameter: 12""",Ella Fitzgerald,"A good title cut, strickly by the book.--Ron Wynn",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald&whereclause=where+maker%3D%27Ella+Fitzgerald%27+OR+cleanmaker%3D%27Ella+Fitzgerald%27+OR+maker1%3D%27Ella+Fitzgerald%27+OR+maker2%3D%27Ella+Fitzgerald%27+OR+maker3%3D%27Ella+Fitzgerald%27+OR+maker4%3D%27Ella+Fitzgerald%27+OR+maker5%3D%27Ella+Fitzgerald%27&current_record=2,bfcb327f90aa
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Montreux '77 [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11a%2Ejpg,"Diameter: 12""",Ella Fitzgerald with the Tommy Flanagan Trio,"Ella Fitzgerald, 42 years after her recording debut, showed on this late concert recording that she still had the magic. Backed by pianist Tommy Flannagan, bassist Keter Betts and drummer bobby Durham, she sounds pretty strong at times, mostly singing veteran ballads but also getting hot on ""Billie's Bounce."" It's not essential but worth checking out. --Scott Yanow",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio&whereclause=where+maker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+cleanmaker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker1%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker2%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker3%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker4%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker5%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27&current_record=1,cad52b4b0a54
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Montreux '77 [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11b%2Ejpg,"Diameter: 12""",Ella Fitzgerald with the Tommy Flanagan Trio,"Ella Fitzgerald, 42 years after her recording debut, showed on this late concert recording that she still had the magic. Backed by pianist Tommy Flannagan, bassist Keter Betts and drummer bobby Durham, she sounds pretty strong at times, mostly singing veteran ballads but also getting hot on ""Billie's Bounce."" It's not essential but worth checking out. --Scott Yanow",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio&whereclause=where+maker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+cleanmaker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker1%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker2%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker3%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker4%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker5%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27&current_record=2,948fdf0a024e
mixed media collage,Gift of Elliott Pinkney,Stop The Shooting,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPinkney%5FStopShooting+copy%2Ejpg,"34"" H x 48"" W",Elliott Pinkney,"Collage of guns, reclining people, brand name logos, flags and provocative signs surrounding a human skull.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elliott+Pinkney&whereclause=where+maker%3D%27Elliott+Pinkney%27+OR+cleanmaker%3D%27Elliott+Pinkney%27+OR+maker1%3D%27Elliott+Pinkney%27+OR+maker2%3D%27Elliott+Pinkney%27+OR+maker3%3D%27Elliott+Pinkney%27+OR+maker4%3D%27Elliott+Pinkney%27+OR+maker5%3D%27Elliott+Pinkney%27&current_record=1,38ee16c43f8c
Chromogenic print,Gift of Ethel Arnold Bradley and daughters,Mayor Tom Bradley,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTom+Bradley%5CPhotograph%2Ejpg,"14"" H x 11"" W",Elson-Alexander Studios,Professional portrait of Thomas Bradley at beginning of his term as mayor of Los Angeles (1973 - 1993).,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elson%2DAlexander+Studios&whereclause=where+maker%3D%27Elson%2DAlexander+Studios%27+OR+cleanmaker%3D%27Elson%2DAlexander+Studios%27+OR+maker1%3D%27Elson%2DAlexander+Studios%27+OR+maker2%3D%27Elson%2DAlexander+Studios%27+OR+maker3%3D%27Elson%2DAlexander+Studios%27+OR+maker4%3D%27Elson%2DAlexander+Studios%27+OR+maker5%3D%27Elson%2DAlexander+Studios%27&current_record=1,9361e1acb6cd
Paper,"Gift of Helen Colvig, In Memory of Mrs. Louise Roy","Advertising card, ""Watermellion's Awful Good...""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CWatermelon%2Ebmp,"14½ x 12""",Epicure Tea,"Boy and watermelon depicted with a wasp in foreground, poem reads ""Watermellion's awful good, Possum's awful sweet, But EPICURE TEA is dreffel nice, And both of them can beat.""",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Epicure+Tea&whereclause=where+maker%3D%27Epicure+Tea%27+OR+cleanmaker%3D%27Epicure+Tea%27+OR+maker1%3D%27Epicure+Tea%27+OR+maker2%3D%27Epicure+Tea%27+OR+maker3%3D%27Epicure+Tea%27+OR+maker4%3D%27Epicure+Tea%27+OR+maker5%3D%27Epicure+Tea%27&current_record=1,e5b38b025a02
Oil on canvas,Gift of Mr. & Mrs. Ron Meyer,My Miss America,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CErnie%5FBarnes%5CAmerica%5FBarnes%2Ejpg,"49"" x 37""",Ernie Barnes,Robust woman carrying two large brown bags.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ernie+Barnes&whereclause=where+maker%3D%27Ernie+Barnes%27+OR+cleanmaker%3D%27Ernie+Barnes%27+OR+maker1%3D%27Ernie+Barnes%27+OR+maker2%3D%27Ernie+Barnes%27+OR+maker3%3D%27Ernie+Barnes%27+OR+maker4%3D%27Ernie+Barnes%27+OR+maker5%3D%27Ernie+Barnes%27&current_record=1,9a85d64390fc
Oil on canvas,Gift of Beatrice and Irving Zeiger,Pool Hall,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CErnie%5FBarnes%5CBarnes%5FUntitled%2Ejpg,"24"" H x  36"" W",Ernie Barnes,Group of men playing pool at a local recreation center.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ernie+Barnes&whereclause=where+maker%3D%27Ernie+Barnes%27+OR+cleanmaker%3D%27Ernie+Barnes%27+OR+maker1%3D%27Ernie+Barnes%27+OR+maker2%3D%27Ernie+Barnes%27+OR+maker3%3D%27Ernie+Barnes%27+OR+maker4%3D%27Ernie+Barnes%27+OR+maker5%3D%27Ernie+Barnes%27&current_record=2,d3a58913078a
"Serigraph, ink on paper",Gift of Impressions Limited Atelier,The Sunflower Quilting Bee at Arles,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CSUNFLO%7E1%2EBMP,"33.5"" H x 35"" W",Faith Ringgold,Hand-separated printer's proof serigraph signed by Faith Ringgold. Depicts historic African American women quilting with Vincent Van Gogh admiring.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Faith+Ringgold&whereclause=where+maker%3D%27Faith+Ringgold%27+OR+cleanmaker%3D%27Faith+Ringgold%27+OR+maker1%3D%27Faith+Ringgold%27+OR+maker2%3D%27Faith+Ringgold%27+OR+maker3%3D%27Faith+Ringgold%27+OR+maker4%3D%27Faith+Ringgold%27+OR+maker5%3D%27Faith+Ringgold%27&current_record=1,355f7a4772e0
"Serigraph, ink on paper",Gift of Impressions Limited Atelier,Groovin' High,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CGroovin%2Ejpg,"32.25"" H x 44"" W",Faith Ringgold,Hand-separated printer's proof serigraph signed by Faith Ringgold. Depicts dancing couples at the Savoire in Harlem. Celebrates the jazz of Dizzy Gillespie and Charlie Parker.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Faith+Ringgold&whereclause=where+maker%3D%27Faith+Ringgold%27+OR+cleanmaker%3D%27Faith+Ringgold%27+OR+maker1%3D%27Faith+Ringgold%27+OR+maker2%3D%27Faith+Ringgold%27+OR+maker3%3D%27Faith+Ringgold%27+OR+maker4%3D%27Faith+Ringgold%27+OR+maker5%3D%27Faith+Ringgold%27&current_record=2,1b15b0a77085
Rotogravure,Gift of Edward T. Garcia,"""Bunch O' Blackberries"" (Cake Walk and Two-Step)",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CBunch%5FBlackberries+copy%2Ejpg,"14"" x 11""",Feist & Frankenthaler,Sheet music composed by Abe Holzmann; photo of twenty African American boys in shirt and ties in an oval surrounded by decorative elements including a drawing of blackberries.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Feist+%26+Frankenthaler&whereclause=where+maker%3D%27Feist+%26+Frankenthaler%27+OR+cleanmaker%3D%27Feist+%26+Frankenthaler%27+OR+maker1%3D%27Feist+%26+Frankenthaler%27+OR+maker2%3D%27Feist+%26+Frankenthaler%27+OR+maker3%3D%27Feist+%26+Frankenthaler%27+OR+maker4%3D%27Feist+%26+Frankenthaler%27+OR+maker5%3D%27Feist+%26+Frankenthaler%27&current_record=1,ad23b8736953
