dimensions,title,photo,technique,credittext,artyear,link,artdesc,nationality,artist,artist_birth,artist_death,production_id
32 3/8 x 42 3/8 inches,Peaceable Kingdom,http://www.mfah.org/site_media/cache/80/d3/80d3cff2300e710a11db16b382c8279d.jpg,Oil on canvas,The Bayou Bend Collection; Gift of Miss Ima Hogg,1826-1828,http://www.mfah.org/art/100-highlights/peaceable-kingdom/,"This painting is one of eight known versions that include rhymes in the borders referring to the biblical prophecy of Isaiah, which expresses the hope and promise of peace on earth. The words also allude to a historical event: William Penn's , which Edward Hicks believed to represent a partial fulfillment of Isaiah's prophecy, with the Quakers establishing a peaceable kingdom on earth. Few American artists are as beloved as Hicks, a devout Pennsylvania Quaker preacher and painter whose fascination with the religious theme of the peaceable kingdom constitutes one of the most popular and complex stories in American art. Toylike animals; placid landscape scenes, mostly of the Delaware Water Gap; and renditions of Penn's treaty consistently populate Hicks's kingdoms-so peaceable in their ideal of universal harmony, yet weighted with national and religious concerns of the time. Naively and at times crudely painted, Hicks's canvases nonetheless radiate passion and charm, and their underlying sources and motivations suggest a rare complexity in the field of so-called American ""folk art.""",American,Edward Hicks,1780,1849,4285576fbc31
55 x 79 5/16 inches,Wotan,http://www.mfah.org/site_media/cache/c3/16/c3165b9fdcd89c967c107f0ccb59c917.jpg,Oil on canvas mounted on Masonite,"Museum purchase, by exchange",1950,http://www.mfah.org/art/100-highlights/wotan/,"In the early 1950s, Franz Kline began paring down his paintings, purging them of all color and representational references. Wotan is one of his most austere compositions, focused simply on the stark contrast between his black brushstrokes and their white background. Kline insisted that all areas of his canvases were equal in weight: ""I paint the white as well as the black, and the white is just as important."" Wotan uThis iconic image records the power of the artist's vision and the authority of his gesture. The title, , u, refers to a Germanic deity of the pre-Christian era. A king of the gods, Wotan could also assume the role of wanderer, seer, and poet. Additionally, Wotan was a central character in Richard Wagner's , operas, which Kline often listened to in the art studio. For Kline, the title is not intended to describe the character of his painting; rather, by summoning up a mythic past, Kline claims a similar timelessness for his bold and revolutionary work.",American,Franz Kline,1910,1962,16d8ca4943cc
16  x 13  inches,Sampler,http://www.mfah.org/site_media/cache/45/98/459821eff32bffa708b3b12f1a045e52.jpg,Silk on linen,The Bayou Bend Collection; Gift of the Houston Junior Woman's Club in honor; of their forty years of service to Bayou Bend,1793,http://www.mfah.org/art/detail/sampler/,"Textiles are celebrated as the principal and most vibrant contribution that early American girls and women made to the decorative arts. The style of this sampler emerged from early girls' academies in Providence and Warren, Rhode Island, established and run during and after the American Revolution by widows to support their children. Joanna Maxwell stitched this sampler at age 11. She lived her life in the seaport town of Warren, and this example, dated 1793 and bearing the phrase ""Wrought in Warren,"" is the earliest known of a distinguished group. It depicts a pastoral scene of adults and children among animals and foliage, with lines of an acrostic verse praising truth, wisdom, God, and goodness stitched in the center, the first letter of each verse spelling out Joanna's name when viewed in a vertical orientation. Her sampler is beautifully executed, and more than two centures later, the needlework retains much of its original color and brilliancy.",American,Joanna Maxwell,1782,1847,f8f4eb4804ba
41 3/8 x 37 1/2 x 19 1/2 inches,Tambour Desk,http://www.mfah.org/site_media/cache/6b/59/6b59e32b8b2c6a57f0a5076411020b0c.jpg,"Mahogany, inlay, enameled brass, eastern white pine, and red oak",The Bayou Bend Collection; Gift of Miss Ima Hogg,1794-1810,http://www.mfah.org/art/detail/tambour-desk/,"The tambour desk was a new and innovative form that reflects the increasingly important place of women in American society in the early 19th century, as well as the growing international influence on American furniture design. Rather than relying on English design sources, the desk appears to be related to a small group of furniture influenced by contemporary French models, in this instance the bonheur du jour , or small writing table, of the Louis XVI period (1774-1793). The desk enjoyed great popularity in Boston and in the cabinetmaking centers north of the city. Exhibited in the Federal Parlor at Bayou Bend, this example bears the script initials ""TS"" and is similar to a desk with a paper label bearing the names of John and Thomas Seymour. Although these relationships strengthen the attribution to the Seymours' shop, they are not sufficient to attribute the desk to a specific maker. Thomas Seymour's own advertisements specify that the furniture was made not by but ""under the direction of Thomas Seymour. Whether this elegant desk represents the work of an individual or a group, the accomplished results epitomize the cabinetmakers' sensitive interpretations of the Neoclassical style in America, through the drawer pulls of English enamel, light-colored inlay, and delicate inlaid swags on the sliding tambour front.",Boston,Thomas Seymour,1794,1804,eb295e99aa9e
34 1/2 x 20 x 20 1/2 inches,Pair of Side Chairs,http://www.mfah.org/site_media/cache/d9/6f/d96f284349056f1b09eec30ad445d408.jpg,"Gessoed, painted and gilded yellow poplar, oak, maple, and eastern white pine with cane",The Bayou Bend Collection; Museum purchase with funds provided; by the Agnes Cullen Arnold Endowment Fund,1808,http://www.mfah.org/art/detail/pair-side-chairs/,"Architect Benjamin Henry Latrobe regularly designed furniture for many of his commissions, including painted furniture for Dolley and President James Madison for the White House that was destroyed in the burning of Washington, D.C, in 1814, as well as the furniture for the Philadelphia merchant William Waln. klismos This pair of chairs is part of an extensive suite of furniture made for Waln to furnish a new house that Latrobe designed for him between 1805 and 1808. Latrobe's relatively archaeologically correct interpretation of the Greek form draws on the designs of Thomas Hope published shortly before and represents perhaps the earliest documented example of the style in America. The overall form, with severe rectangular lines and wide tablet, is a distinctive Philadelphia type. However, the painted decoration seems to have no parallel in other Philadelphia furniture, although very closely related painted decoration is documented to Baltimore. Likewise, the design of the en suite card table and pier table does not resemble that of other Philadelphia examples but relates to pieces made in Baltimore. What remains unclear is whether these chairs were made and painted in Philadelphia, made in Philadelphia and decorated in Baltimore, or made completely in Baltimore.",American;American,Benjamin Henry Latrobe;George Bridport,1764,1820,dfb531521ee3
34 1/2 x 39 1/4 x 22 inches,Bureau Table,http://www.mfah.org/site_media/cache/c4/ee/c4eebf8eea5095168a4f23a30aa5190e.jpg,"Mahogany, brass, chestnut, yellow poplar",The Bayou Bend Collection; Gift of Miss Ima Hogg,1770,http://www.mfah.org/art/detail/bureau-table/,"Capital of the Rhode Island colony, Newport was an active center for coastal commerce. Its cabinet industry benefited from the town's shipping interests-her artisans producing furniture for local consumption, as well as export. In time, two families, the Townsends and the Goddards, came to dominate the trade. Displayed in the Drawing Room at Bayou Bend, this splendid bureau table is recognized as one of the most brilliant renditions of the Newport block-front-a design consisting of a recessed center panel flanked by two raised panels topped by gracefully carved shells. It is generally acknowledged as the most original design achievement to emanate from colonial America. This example is believed to have been made for Samuel Vernon, a prominent merchant, and was intended to store jewelry, buckles, combs, and brushes, with the kneehole cupboard housing a wig stand. The museum's table is confidently attributed to John Townsend who, during the course of his lengthy career, signed or labeled more than thirty pieces of furniture, a number far greater than that of any other colonial cabinetmaker. This unparalleled body of documented work makes it possible to identify his cabinetry with a high degree of certainty. As such, Townsend's furniture chronicles the maker's rise to become one of America's premier master craftsmen.",American,John Townsend,1732,1809,b53ceb8e8bc0
6 15/16 x 5 1/16 x 8 inches,Tankard,http://www.mfah.org/site_media/cache/3a/fc/3afceba69cdeaa1482993da351054ad1.jpg,Silver,The Bayou Bend Collection; Gift of Miss Ima Hogg,1695-1711,http://www.mfah.org/art/detail/tankard/,"Silver and gold, of intrinsic and symbolic value, have always been highly esteemed. Because the American colonies lacked patron-aristocrats, the earliest manifestations of style occurred not in painting or sculpture but in the decorative arts. The silversmith, more than any other artisan, was keenly aware of the latest stylistic developments through the English-produced vessels he imported to sell alongside those of his own manufacture. John Coney was the first in this country to have fabricated several forms, including the inkstand, fork, sugar box, chafing dish, monteith, and chocolate pot. He was equally adept as an engraver, executing the copper plates for Massachusetts and New Hampshire paper currency. Coney's known work in the Mannerist and Baroque aesthetics establishes him as the most accomplished and versatile of all colonial silversmiths. This tankard is a consummate American expression of early Baroque silver. The vessel was made for John Foster, a prosperous Boston merchant and prominent official with sophisticated taste and lofty aspirations. In 1692 he erected an extraordinary house that introduced New Englanders to the Italian Renaissance style. Foster's tankard, like his mansion, is one of the most eloquent statements of style in early New England.",American,John Coney,1655,1722,199bfc7faeb7
36 x 47 7/8 inches,"Nighttime, Enigma and Nostalgia",http://www.mfah.org/site_media/cache/5a/7b/5a7b347cb47ec0a74434943ed8c4aa61.jpg,Oil on canvas mounted onto panel,Museum purchase with funds provided by the; Caroline Wiess Law Accessions Endowment Fund,1933-1934,http://www.mfah.org/art/100-highlights/nighttime-enigma-and-nostalgia/,"A somber still-life abstraction, Nighttime, Enigma and Nostalgia has long been recognized as among Arshile Gorky's masterpieces. The juxtaposition of textured and flat surfaces, and matte and glossy passages, imparts a great liveliness to the surface, creating a perfect counterbalance to the dark tones of the painting. The Profanation of the Host This work is the only painting and final piece in a series of more than 40 drawings Gorky produced from 1930 to 1934. The first sketches of the series were based on Paolo Uccello's 15th-century panel Nighttime, Enigma and Nostalgia , echoing its fractured space and exaggerated perspective. As the series progressed, Gorky turned his attention to more concrete details, and in particular he chose to isolate and elaborate upon the biomorphic forms that dominated the left half of his drawings. This shift introduced a new and concentrated note of psychological intensity into Gorky's work. Nighttime, Enigma and Nostalgia u is a summation painting, the definitive statement of all of Gorky's influences and concerns in the early 1930s. Cubism and Surrealism, as well as the artist's wide knowledge of the history of art, are brilliantly assimilated into the work. His masterly handling of the different degrees of black, along with the poetic sobriety of the balanced forms, reflects Gorky's interest in Spanish painting. The evidence of his hard work-scraping down and repainting-abounds in this example, testifying to the importance that Gorky assigned to it. In 1941, when asked to describe the subject of , , Gorky replied: ""Wounded birds, poverty, and one whole week of rain.""","American, born Armenia",Arshile Gorky,1904,1948,1c514a0a044c
13  x 77 x 30 inches,Conoid Coffee Table,http://www.mfah.org/site_media/cache/a9/17/a917500a11f5aafb3787b1c793b7e791.jpg,Black walnut,Museum purchase with funds provided by the; Mary Kathryn Lynch Kurtz Charitable Lead Trust,1960,http://www.mfah.org/art/detail/conoid-coffee-table/,"uGeorge Nakashima was one of America's most influential first-generation furnituremakers and woodworkers. His synthesis of architectural elements and historical styles, and his respect for the inherent beauty of wood, transformed the way studio furniture was made from the 1940s to the 1970s and marked his pieces as important signifiers of grace, beauty, and integrity in the field, In 1960, Nakashima returned to his architectural roots with the Conoid series. Named after his Conoid Studio, built in 1957, the new furniture designs synthesized architectural elements with organic forms. Wood choices, always important to Nakashima, became even more paramount. Many designs in the Conoid series also incorporated cantilever technology, a sign that although Nakashima was not a part of the new Modernism of the mid-century, he was still very much aware of progress in architecture and design. This table dates from the first year of Nakashima's Conoid udesigns. Called a ""special coffee table"" on its bill of sale, it cost $140. The table's top-free-form and highly figured-exemplifies the richness of expression and organic nature of form indicative of the best Nakashima.",American,George Nakashima,1905,1990,65ca1825eea9
70 1/8 x 40 1/8 inches,Mother and Child (The First Portrait),http://www.mfah.org/site_media/cache/58/05/580549dfdef50d22aeca16f69948e7b7.jpg,Oil on canvas,"Gift of Ehrich Newhouse Gallery, New York",1888,http://www.mfah.org/art/detail/mother-and-child-first-portrait/,"This portrait is William Merritt Chase's earliest study of his daughter, Alice, who holds a coral whistle and looks over the shoulder of her mother, dressed in a Japanese-inspired costume. The relationship between the black tones of the kimono and the background attests to Chase's experiments with delicate tonal harmonies. Chase studied in Indianapolis and New York before attending Munich Academy, where in the 1870s he absorbed the style of the Old Masters. While in Munich, Chase also mastered a bravura, painterly brush technique that would distinguish his work throughout his life. Here, his bold brushwork is particularly apparent in the treatment of the glittering surfaces of the coral and bells, white lace gown, and Japanese embroidery on the mother's robe. This grand, full-length painting was exhibited at numerous venues, including the 1889 Exposition Universelle in Paris. It received many positive reviews, including one by Chase's student Kenyon Cox, who stated, ""the main beauty of the canvas is indescribable . . . the beauty of two tones of black, one upon the other . . . the tingling pleasure that one receives from the one note of vivid scarlet that cuts through this quiet harmony like a knife?""",American,William Merritt Chase,1849,1916,e2cfc3c5d5d1
30 x 46 7/16 inches,Cotopaxi,http://www.mfah.org/site_media/cache/91/32/9132c1458e776df32c3392eeaf1ae410.jpg,Oil on canvas,"Museum purchase with funds provided by the Hogg Brothers Collection, gift of Miss Ima Hogg, by exchange",1855,http://www.mfah.org/art/detail/cotopaxi/,"The artists of the Hudson River School ventured far beyond the New York region suggested in the name that was applied to them. Here, for example, Frederic Church depicts Cotopaxi, an active volcano in Ecuador. The tiny foreground figures suggest the insignificance of people in comparison with the natural wonders that surround them: the volcano, the waterfall, and the lush tropical foliage. Cotopax A member of the second generation of Romantic landscape painters, Church ranks among the most influential American artists during the period between 1850 and 1875. As a youth, he studied with Thomas Cole, one of the Hudson River School founders, and Cole's renderings of the Sicilian volcano Mount Etna may have provided inspiration for Cotopaxi i. More directly, Church conceived of this work following a visit to South America in 1853, after which he depicted the cone-shaped volcano repeatedly for nearly a decade. Painted at a turbulent moment in America's history, before the outbreak of the Civil War, u embodies Church's response to current events. The smoldering volcano in the background carries portents of destruction, and the palm tree-which does not exist on the actual site of Cotopaxi-symbolizes both Latin America and the Garden of Eden. In addition to containing inherent moralistic messages, awe-inspiring American Romantic landscape paintings such as this one also served as documents of distant, exotic sites in the era before photography and modern travel.",American,Frederic Edwin Church,1826,1900,a6e6dfad7536
25 3/4 x 31 7/8 inches,Children in a Garden (The Nurse),http://www.mfah.org/site_media/cache/1c/bc/1cbc6857a0615cef647b01000cd5b5e0.jpg,Oil on canvas,Gift of Mr. and Mrs. Meredith Long,1878,http://www.mfah.org/art/detail/children-garden-nurse/,"Mary Cassatt became well known for her paintings that depict women and children in domestic settings. Children in a Garden (The Nurse) is the first major Impressionist canvas of the outdoors that she painted, and it is one of her early masterworks. She included it in the eighth Impressionist Exhibition in Paris in 1886, and in her first major U.S. solo exhibition in 1895. The painting shows a nursemaid knitting while seated on a bench in a flower-bordered garden. One of her charges sleeps in a nearby carriage, and the other plays at her feet. As with much of Cassatt's work that was based on closely studying family, friends, and servants, this scene offers an intimate glimpse into the private lives of the subjects and portrays the charming characteristics of children and babies without the sentimentality that distinguished so many paintings of the time. Unusual for Cassatt, however, is the work's looser application of paint, its off-center composition, and its emphasis on the landscape. The bright sunlight knits the composition together; brilliant colors sweep through the canvas; and expertly articulated figures show the artist's disciplined draftsmanship and her ability to make them lifelike through careful dabs of paint. For example, the slightly downturned mouth of the baby in its carriage, along with the hand nestled against its face for comfort, indicate deep, peaceful sleep.",American,Mary Cassatt,1844,1926,38d3c37d48dd
96 x 144 inches,Past Recovery,http://www.mfah.org/site_media/cache/80/07/8007ddc1c94689f3101d41ec336fa87b.jpg,100 gelatin silver prints with toning,The Target Collection of American Photography; Gift of Target Stores,1979,http://www.mfah.org/art/detail/past-recovery/,"Esther Parada was trained as a photographer, but her work\xf3monumental in scale and ambitious in nature\xf3is not traditionally photographic. In Past Recovery , she re-creates a history of her family in one work of 100 images. She transforms the traditional photo album into one manipulated photograph of a 1920 family banquet enlarged to life-size. Past Recovery is a montage of personal memories, with all states of life\xeds cycle represented. The artist thus compresses time, as human memory does, to link visual references never linked in reality. My sister's face is juxtaposed with her own image 30 years later and with that of a great aunt whom we never met, although family legend has it that they were cast in the same mold, Parada wrote. Similarly I see other members of that family gathering through the filter of my own cumulative experience. uTo view specific works by Parada in the collection, contact the museum's , for an appointment.",AMERICAN,Esther Parada,1938,2005,9ebf157f8edd
24 x 30 inches,Haystack,http://www.mfah.org/site_media/cache/b7/70/b770189e438de636ef82db7184b18dbc.jpg,"Tempera with oil glaze on linen, on wood panel",Gift of Frank J. Hevrdejs,1938,http://www.mfah.org/art/detail/benton-haystack/,"In Haystack , the rhythmic swirls of paint and lyrical movement of the workers make farm life appear pastoral. The theme-man working in harmony with nature, and the landscape as a source of bounty and sustenance-presents an ideal view of the hardships that farmers endured during the Great Depression of the 1930s. Haystack Referred to as a Regionalist, Thomas Hart Benton believed that the subjects of American artists should come from the nation's heartland. After initially absorbing the lessons of Modernism and embracing an abstract, vivid style, Benton turned in the 1920s to developing what he considered an ""authentic American art,"" an art that was socially responsible and never aesthetically hermetic. A solid technician in the studio, Benton pioneered a painterly technique of applying pigment with egg yolk and water, and then overlaying the surface with transparent glazes. The rich tones and sensuous surfaces of his paintings are the result of this technique and of his heavily managed brushwork, in which he picked details out of the wet surface of the paint. In , the spiraling motion implicit in the hay coiled on the central pole is echoed throughout the painting, where content and artistic process meld seamlessly as Benton weaves together sky, earth, and farmer into one holistic vision of rural life in Missouri.",American,Thomas Hart Benton,1889,1975,9e7c6e9528be
92 7/8 x 80 inches,Painting,http://www.mfah.org/site_media/cache/b1/c2/b1c2064f702ea6f4cc88439c748603e7.jpg,Oil on canvas,Museum purchase,1961,http://www.mfah.org/art/detail/rothko-painting/,"By 1949 Mark Rothko had arrived at his signature Abstract style. Rothko used layers of thinned paint, soaked into the canvas, to create nuances of tone that gradually emerged as ethereal, floating rectangles of color. In contrast to the Action Painters, he worked to eliminate the gestural line, creating instead vast areas of color to envelop the viewer. Rothko viewed color as a means to express emotions, a medium through which paint and canvas could be transformed into the sublime. In this painting, the close hues of the dark colors are punctuated by the vibrant drama of the red band on top. The subtle shifts of color between the lower two rectangular forms and the dark ground create a quiet luminosity that is both majestic and tragic. The shimmering and flickering light, along with the pulsating colors that alternately project and recede, offer an impression of continual movement.","American, born Russia",Mark Rothko,1903,1970,8de431e36c8d
31 3/4 x 10 1/4 x 11 7/8 inches,Border Crossing (Cruzando el Rio Bravo),http://www.mfah.org/site_media/cache/95/b5/95b52a2b152ffc47c6a9992a5cee3865.jpg,Fiberglass with pigment and glitter,Gift of Frank Ribelin,1987,http://www.mfah.org/art/detail/jimenez-border-crossing-cruzando-el-rio-bravo/,"Luis Jim\xe9nez is best known for his vivid fiberglass sculptures that interpret myths of the American West from a Chicano perspective. Not only did Jim\xe9nez work with populist materials such as fiberglass-familiar to the lowrider culture of the Southwest-he also celebrated everyday people. Border Crossing (Cruzando el Rio Bravo) This work, , is a small-scale study for one of the artist's most eloquent sculptures. Reflecting on his own Mexican heritage, Jim\xe9nez pays heartfelt homage to laborers who face exploitation, exportation, and even death by crossing the Rio Grande (or, as seen from the Mexican side, the Rio Bravo) into the United States. A man bears his wife and child on his shoulders, an ensemble that recasts the biblical Flight into Egypt in secular and present-day terms. I had wanted to make a piece that was dealing with the issue of the illegal alien, Jim\xe9nez explained. People talked about aliens as if they landed from outer space, as if they weren't really people. I wanted to put a face on them; I wanted to humanize them. I also wanted to deal with the whole idea of family. . . . I went back to my experience in El Paso where this is a common sight.",American,Luis Jimenez,1940,2006,789fdf9cdc56
25 x 30 inches,Puritan,http://www.mfah.org/site_media/cache/ff/6e/ff6e1849a165909946f8bc654ecceddb.jpg,Oil on canvas,Gift of the Frank Freed Memorial Painting Fund,1947-1950,http://www.mfah.org/art/detail/laselle-puritan/,"A pioneer of Texas Modernism, Toni LaSelle was one of the first Texas painters to commit fully to Abstraction. Her paintings have a vibrant force and compositional confidence that are exceptional, as demonstrated in Puritan. uLaSelle's work of the 1940s offers an important example of Texas Modernism. Influenced by her studies with Abstract Expressionist Hans Hofmann, she brought a painterly sophistication to her elemental, typically small-scale abstractions. LaSelle painted , uover her extended summer visits to Provincetown, the Cape Cod artists' colony where Hofmann's workshop was located. As the title suggests, the composition has a stringent and pared-down purity. The bold, saturated forms, both angular and rounded, are pitted against each other, their cool balance reflecting the rhythms of nature,",American,Dorothy Antoinette (toni) Laselle,1901,2002,ffb962c73b0c
90 x 72 inches,Penumbra,http://www.mfah.org/site_media/cache/d2/2b/d22bbd4ad45b207dc58abb0f10faeaf7.jpg,Oil on linen,Bequest of Caroline Wiess Law,1959,http://www.mfah.org/art/detail/gottlieb-penumbra/,"uAdolph Gottlieb was one of the foremost proponents of Abstract Expressionism. Like many artists of his generation, in the 1930s he participated in the U.S. government's WPA Federal Art Project. Influenced by the \xe8migr\xe8 Surrealists who sought refuge in New York during World War II, Gottlieb explored a new abstract language, one loaded with mystical and mythological content. , In the mid-1950s Gottlieb began to oppose closed and open forms, a motif that evolved into the famous Bursts that many view as the culmination of his career. Gottlieb reduced his composition to two essential components: a radiant red circle floating above a lively maze of large black brushstrokes. The rival forms one serene and heavenly, the other turbulent and expressive have been seen to represent essential pairs such as order and chaos, female and male, or heaven and earth. Charged with emotional resonance, Penumbra shows Gottlieb at the height of his powers.",American,Adolph Gottlieb,1903,1974,8c04b3a514ca
38 3/8 x 98 inches,Jubilee: Ghana Harvest Festival,http://www.mfah.org/site_media/cache/6b/bb/6bbb3f4d42011bbf4efed4e678db043d.jpg,Tempera and acrylic on canvas,Gift of Duke Energy,1959-1963,http://www.mfah.org/art/detail/jubilee-ghana-harvest-festival/,"This painting depicts a festival, or durbar , held annually in Ghana to celebrate the passage of the seasons and the harvest. The cyclical passage of the seasons is echoed in the swaying rhythms of the singing and dancing women. It is based on a series of drawings John Biggers made while in the Ghana region of West Africa in 1957. During the 1940s, Biggers forged a new painting style that was rooted both in the Mexican mural movement and in the 1930s murals commissioned by the U.S. government as part of the Federal Arts Project. Biggers arrived in Houston in 1949 to head the art department at the newly opened Texas Southern University. Embracing mural painting as a means of expressing his heritage, he became the region\xb4s most eloquent chronicler of the changing identity of African Americans. In 1957 Biggers was a pioneer in traveling to Africa to learn more about his cultural roots. Out of his experiences he developed a unique synthesis of African, European, and American art that influenced numerous younger artists.",American,John Biggers,1924,2001,2fc35dce0e4a
44 4/16 x 54 inches,Number 6,http://www.mfah.org/site_media/cache/fb/42/fb42c486713c64740cc1d4c526675888.jpg,Duco and aluminum paint on canvas,Gift of D. and J. de Menil,1949,http://www.mfah.org/art/detail/number-6/,"Number 6 u belongs to Jackson Pollock's first triumphant period of dripped-and-poured paintings. Taking the canvas off the easel and laying it on the floor of his studio so that he could work from all four sides, Pollock dripped, poured, and flung enamel paint on the surface, eliminating brushes and literally drawing with the liquid medium, Revolutionary not only for their technique, these paintings redefined representations of space and the subject of art. Pollock's drip paintings introduced a sense of all-overness, a lack of compositional focus where any one part of the canvas is just as important or central as any other. The energetic web of color and line the concrete notation of the act of painting became the artist's subject. This active, physical style of painting is now known as Abstract Expressionism, or alternatively, Action Painting. The Abstract Expressionists were a loosely formed group of artists who came of age in post-World War II New York and were concerned with rendering emotive or psychological subject matter in abstract form.",American,Jackson Pollock,1912,1956,92a4d9ff9968
36 1/8 x 60 x 60 inches,Untitled,http://www.mfah.org/site_media/cache/64/d7/64d7aba83ba6f188aacaa1bae11e11f6.jpg,"Brass, painted aluminum","Museum commission with funds provided by the National Endowment for the Arts and matched by The Brown Foundation, Inc",1975,http://www.mfah.org/art/detail/untitled-judd/,"Working as both an artist and a writer, Donald Judd sought to overthrow traditional definitions of painting and sculpture. In their place he proposed specific objects that would occupy the same gallery space as the viewer. Judd worked in a pared-down aesthetic with industrially produced materials, a style that came to be known as Minimalism. Untitled uIn his embrace of a reductive and geometric vocabulary, Judd's essential form was the box: open, closed, or even stacked in repetition. Instead of creating his pieces in a studio, Judd would have them fabricated by a factory, thereby ensuring a perfect finish. Here, Judd uses the box form to combine structure, color, and material. The brilliant red of the interior bottom reflects against the side panels, fusing surface and light. Further, by placing the object directly on the floor, as opposed to resting it on a pedestal or base, Judd not only emphasizes the object-like quality of the piece but also thrusts , into the physical space of the viewer.",American,Donald Judd,1928,1994,ffbd256c7452
118 x 118 x 41 inches,Sor Aqua (Venetian),http://www.mfah.org/site_media/cache/63/83/638340a65319d8620a3d5dcf0ec25e9b.jpg,"Wood, metal, rope, glass jug, and water-filled bathtub",Gift of the Caroline Wiess Law Foundation,1973,http://www.mfah.org/art/detail/sor-aqua-venetian/,"In 1964, Robert Rauschenberg became the first American artist to win the grand prize at the Venice Biennale. Almost a decade later he returned to Venice, drawing inspiration from the floating city in a new series of sculptures, including most notably Sor Aqua (Venetian) . By ennobling an ordinary bathtub, Rauschenberg conjures an air of grace in decline. Sor Aqua For half a century, Texas-born Rauschenberg stood as one of the most prolific and celebrated figures in American art. With an artistic practice characterized by vigor, curiosity, and intellect, he continuously moved across the realms of painting, sculpture, photography, printmaking, dance, and performance. Sor Aqua u alludes not only to Venice's canals but also to its grand, deteriorating architecture. Yet the rusted materials evoke something more ethereal: the levitating forms are both awkward and otherworldly. Floating in between the genres of sculpture and installation art, , sets up a powerful opposition of form and metaphor.",American,Robert Rauschenberg,1952,2008,06a57d112a3c
67 x 87 x 14 inches,Rose Art Memory,http://www.mfah.org/site_media/cache/0f/95/0f9574c5fdf5336bc5950263496c6f3d.jpg,"Wood, lacquer, aluminum framework, television monitors, video",Museum purchase with funds provided by the; Caroline Wiess Law Accessions Endowment Fund,1988,http://www.mfah.org/art/detail/rose-art-memory/,"uRevered as the leading innovator of video art, Nam June Paik explored the relationship between people and the rapidly changing environment of the media age. Displaced by the Korean War in 1950, Paik traveled the world, residing in Hong Kong, Tokyo, Munich, and New York. Paik's experiences across the globe led him not only to realize the artistic potential of tech-, nology, but also to measure the distance from his native Korean culture. Rose Art Memory Paik directly confronts the issues of assimilation and modernization in his two-channel video image Rose Art Memory by combining modern and traditional influences. Arranged in a grid format, 14 monitors set to one channel encircle six monitors set to a different channel. The two videos stream simultaneously, generating a pulsating and hypnotic effect. Inscribed within each corner of the traditional, red lacquer frame are the four points of the compass, thus linking the piece to a specific Asian heritage. Created the year Seoul hosted the 1988 Olympic Games, profoundly conveys the experience of impermanence and instability within a hyper-stimulating medium. Furthermore, by juxtaposing ultramodern tech- nology against traditional framework, Paik questions whether such extreme cultural changes will ultimately lead to the degradation of a rich history.","American, born Korea",Nam June Paik,1932,2006,1531c7c45bc2
68 5/8 x 68 5/8 inches,Half,http://www.mfah.org/site_media/cache/e3/f4/e3f41b9be7bc164a974bf0ad7f0a4e86.jpg,Acrylic on canvas,Museum purchase,1959,http://www.mfah.org/art/detail/noland-half/,"Kenneth Noland was a leading proponent of Color Field painting. Along with Helen Frankenthaler and Morris Louis, he pioneered a stain painting technique, using first oil, then acrylic-based Magna, on raw, unprimed canvas. This method allowed for a remarkable directness of color. Half Half is one of a series of approximately 200 concentric-circle paintings Noland created between 1956 and 1963. Each painting varies in terms of the number, width, placement, and color of the circles. Working from the center outward, Noland applied paint directly onto raw canvas so that it soaked into the material, achieving an extraordinary degree of chromatic vibrancy. The visual drama of is in part due to the contrast between the expansive painterliness of the outermost circle and the more restrained geometries of the inner circles. The shifting color values add further drama, ranging from cool green to a deep celestial blue, creating an image that seems to bloom and pulsate, expand and contract.",American,Kenneth Noland,1924,2010,324c468cd835
30 1/8 x 25 1/2 inches,Portrait of Samuel Pemberton,http://www.mfah.org/site_media/cache/f3/13/f313c26e74aa58ed0c8ede5f3abd9a2a.jpg,Oil on canvas,The Bayou Bend Collection; Gift of Miss Ima Hogg,1734,http://www.mfah.org/art/detail/portrait-samuel-pemberton/,"uAmong the liveliest paintings in the Bayou Bend Collection is this distinguished portrait of an 11-year-old boy from Boston. Samuel Pemberton belonged to a wealthy family that made its fortune in real estate and the merchant trade. He graduated from Harvard and explored the ministry before taking over his father's business. Later, he entered public life as a justice of the peace and became a prominent member of the political group the Sons of Liberty. , uPainted by the first major art celebrity in the American colonies, Scottish-born John Smibert, this portrait portrays its subject as a bewigged gentleman in a soft gray suit, proudly erect with an alert expression on his face, his large eyes enhanced by exquisitely rendered eyelashes. A great deal of attention and care has been lavished on painting the ruffle, the braid and buttons of the coat and vest, and the graceful swirls of the wig. Despite the formulaic composition, this portrait has considerable charm and verve, whereas Smibert's later portraits of Samuel's sisters Hannah (in the collection of the Metropolitan Museum of Art) and Mary (in the Bayou Bend Collection) are less appealing. The three portraits likely hung as a unit, with Samuel at center.","American, born Scotland",John Smibert,1688,1751,13e4f3beba7f
