dim,made,prov,title,nationality,artist,image_url,birth_date,death_date,production_id
15 x 18-1/8 in. (38.1 x 46 cm),1890-1891,"The Norton Simon Foundation, Gift of Mr. Norton Simon","Still Life with Apples and Violets,",French,Paul Sérusier,http://images.nortonsimon.org/viewer/index.php?id=F.1983.14.P,1864,1927,c05e973ceaf7
53-5/8 x 48 in. (14.3 x 121.9 cm),1959,"Norton Simon Museum, Gift of Mr. Robert A. Rowan","Untitled (Trip Series),",American,John Altoon,http://images.nortonsimon.org/viewer/index.php?id=P.1964.28,1925,1969,94557cbc068e
comp: 7-1/8 x 5-3/4 in. (18.1 x 14.6 cm); sheet:  8-3/4 x 7-1/4 in. (22.2 x 18.4 cm),1921,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Mz 457,",German,Kurt Schwitters,http://images.nortonsimon.org/viewer/index.php?id=P.1953.562,1887,1948,ad2e26b6c04e
comp: 5 x 3-3/4 in. (12.7 x 9.5 cm); mount: 6-5/8 x 5-1/4 in. (16.8 x 13.3 cm),1921,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Mz 296. Soup,",German,Kurt Schwitters,http://images.nortonsimon.org/viewer/index.php?id=P.1953.564,1887,1948,836465b804d6
comp: 6-1/2 x 5-3/8 in. (16.5 x 13.7 cm); sheet:  8-1/2 x 6-5/8 in. (21.6 x 16.8 cm),1921,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Mz 289. Erfurt,",German,Kurt Schwitters,http://images.nortonsimon.org/viewer/index.php?id=P.1953.314,1887,1948,8876a58d1073
2-1/8 x 5 x 3-3/4 in. (5.4 x 12.7 x 9.5 cm),1920-1922,"Norton Simon Museum, Gift of Kate Steinitz","Lust Murder Box No. 2,",German,Kurt Schwitters,http://images.nortonsimon.org/viewer/index.php?id=P.1969.087,1887,1948,27edf66dd928
"Chu-tanzaku, 11-3/4 x 5-1/2 in. (29.8 x 14.0 cm)",1765,"Norton Simon Museum, Gift of Barbara Steele Williams","The Actor Otani Hiroji III,",Japanese,Kitao Shigemasa,http://images.nortonsimon.org/viewer/index.php?id=P.1967.29.27,1739,1820,9d77e8b88c02
11-1/4 x 15-1/2 in. (28.6 x 39.4 cm),1628,The Norton Simon Foundation,"Landscape with Sandy Road,",Dutch,Salomon van Ruysdael,http://images.nortonsimon.org/viewer/index.php?id=F.1970.15.P,1602,1670,75affe0cc616
24-1/8 x 36-1/2 in. (61.3 x 92.7 cm),1643,The Norton Simon Foundation,"Halt in Front of an Inn,",Dutch,Salomon van Ruysdael,http://images.nortonsimon.org/viewer/index.php?id=F.1970.09.P,1602,1670,bed32b6ca3ac
27-1/2 x 36-1/4 in. (69.9 x 92.1 cm),1660,Norton Simon Art Foundation,"Woody Landscape with a Pool and Figures,",Dutch,Jacob van Ruisdael,http://images.nortonsimon.org/viewer/index.php?id=M.1969.33.P,1628,1682,a65c9e0b3502
45-1/2 x 34-7/8 in. (115.6 x 88.6 cm),1625,"Norton Simon Art Foundation, Gift of Mr. Norton Simon","Portrait of Archduchess Isabella Clara Eugenia, Spanish Regent of the Low Countries, as a Nun,",Flemish,"Rubens, Peter Paul, and Workshop",http://images.nortonsimon.org/viewer/index.php?id=M.1966.10.10.P,1577,1640,b233c48f8f81
33-3/8 x 27 in. (84.8 x 68.6 cm),1755,Norton Simon Art Foundation,"Young Girl Writing a Love Letter,",Italian,Pietro Antonio Rotari,http://images.nortonsimon.org/viewer/index.php?id=M.1979.18.P,1707,1762,e7de6b7492b6
22 x 17-5/8 in. (55.9 x 44.8 cm),1762,"Norton Simon Museum, Bequest of Anna S. Stern, in honor of Mr. and Mrs. Max Pruzan","Portrait of Ecaterina Petrovna Holstein-Beck, Later Princess Bariatinsky,",Italian,Pietro Antonio Rotari,http://images.nortonsimon.org/viewer/index.php?id=P.1987.1,1707,1762,f5dddf1227fc
17-3/4 x 13-3/4 in. (45.1x 34.9 cm),after 1750,Norton Simon Art Foundation,"Portrait of a Woman with Red Coat with Fur Trim, Blue Hat, White Blouse,",Italian,Pietro Antonio Rotari,http://images.nortonsimon.org/viewer/index.php?id=M.1980.08.6.P,1707,1762,8520086bdf2f
39 1/4 x 53 in.  (99.7 x 134.6 cm),1865,The Norton Simon Foundation,"The Fisherman, Early Morning,",French,Pierre-Étienne-Théodore Rousseau,http://images.nortonsimon.org/viewer/index.php?id=F.1976.14.P,1812,1867,399c841996b5
27 x 21-1/2 in. (68.6 x 54.6 cm),1906,Norton Simon Art Foundation,"Two Nudes (The Sirens),",French,Georges Rouault,http://images.nortonsimon.org/viewer/index.php?id=M.1969.25.P,1871,1958,288fa1ac49f0
41 x 28-1/2 in. (104.1 x 72.4 cm),1937,Norton Simon Art Foundation,"The Chinese Man,",French,Georges Rouault,http://images.nortonsimon.org/viewer/index.php?id=M.1968.08.3.P,1871,1958,ae743de28ae6
17-3/4 x 13-3/4 in. (45.1 x 34.9 cm),after 1750,Norton Simon Art Foundation,"Portrait of a Woman with Plaid Scarf with Lace Trim, Red Vest & White Blouse,",Italian,Pietro Antonio Rotari,http://images.nortonsimon.org/viewer/index.php?id=M.1980.08.2.P,1707,1762,73863475b3b8
17-3/4 x 13-3/4 in. (45.1 x 34.9 cm),after 1750,Norton Simon Art Foundation,"Portrait of a Woman with Green Vest, White Blouse and Red Choker,",Italian,Pietro Antonio Rotari,http://images.nortonsimon.org/viewer/index.php?id=M.1980.08.1.P,1707,1762,e584a3e13cdb
17-3/4 x 13-3/4 in. (45.085 x 34.925 cm),after 1750,Norton Simon Art Foundation,"Portrait of a Woman with Gold Jacket, Fur Hat with Gold Tassel,",Italian,Pietro Antonio Rotari,http://images.nortonsimon.org/viewer/index.php?id=M.1980.08.3.P,1707,1762,0e2f1a739e0d
17-3/4 x 13-3/4 in. (45.1 x 34.9 cm),after 1750,Norton Simon Art Foundation,"Portrait of a Woman with Blue Scarf and Striped Shawl,",Italian,Pietro Antonio Rotari,http://images.nortonsimon.org/viewer/index.php?id=M.1980.08.5.P,1707,1762,7864a78c2213
17-3/4 x 13-3/4 in. (45.1 x 34.9 cm),after 1750,Norton Simon Art Foundation,"Portrait of a Woman with Black Lace Scarf, Green Coat with White Fur,",Italian,Pietro Antonio Rotari,http://images.nortonsimon.org/viewer/index.php?id=M.1980.08.4.P,1707,1762,56e029fc089f
framed: 46 x 53-3/4 in. (116.8 x 136.5 cm); panel: 34-1/2 x 42-1/4 in. (87.6 x 107.3 cm),1611-1614,The Norton Simon Foundation,"The Holy Women at the Sepulchre,",Flemish,Peter Paul Rubens,http://images.nortonsimon.org/viewer/index.php?id=F.1972.51.P,1577,1640,a15ba47dd1b7
88 x 54-1/2 in. (223.5 x 138.4 cm),1620-1622,Norton Simon Art Foundation,"Saint Ignatius of Loyola,",Flemish,Peter Paul Rubens,http://images.nortonsimon.org/viewer/index.php?id=M.1975.03.P,1577,1640,9fb6d87e770c
26-1/4 x 20-3/8 in. (66.7 x 51.8 cm),1597-1600,The Norton Simon Foundation,"Portrait of Sebastian Munster,",Flemish,Peter Paul Rubens,http://images.nortonsimon.org/viewer/index.php?id=F.1968.11.14.P,1577,1640,345007d02ca2
46-1/2 x 38 in. (118.1 x 96.5 cm),1622-1625,The Norton Simon Foundation,"Portrait of Louis XIII, King of France,",Flemish,Peter Paul Rubens,http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.060.P,1577,1640,4f41cacc5164
47-1/4 x 38-1/8 in. (120 x 96.8 cm),1622-1625,The Norton Simon Foundation,"Portrait of Anne of Austria, Queen of France,",Flemish,Peter Paul Rubens,http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.059.P,1577,1640,942b50c21d93
18-3/4 x 29-1/8 in. (47.6 x 74 cm),1618-1619,"Norton Simon Art Foundation, Gift of Mr. Norton Simon","Meleager and Atalanta and the Hunt of the Calydonian Boar,",Flemish,Peter Paul Rubens,http://images.nortonsimon.org/viewer/index.php?id=M.1975.21.P,1577,1640,165c05a6c230
48-3/8 x 39 in. (122.9 x 99.1 cm),1616,The Norton Simon Foundation,"David Slaying Goliath,",Flemish,Peter Paul Rubens,http://images.nortonsimon.org/viewer/index.php?id=F.1972.05.P,1577,1640,b5bac8c17542
54-3/8 x 68-1/8 in. (138.1 x 173.1 cm),1665-1670,The Norton Simon Foundation,"Three Great Trees in a Mountainous Landscape with a River,",Dutch,Jacob van Ruisdael,http://images.nortonsimon.org/viewer/index.php?id=F.1971.2.P,1628,1682,62d36fde8e2b
comp: 4-1/4 x 6-1/2 in. (10.8 x 16.5 cm); sheet: 4-3/16 x 7 in. (10.6 x 17.8 cm),1660-1661,Norton Simon Art Foundation,"The Works of Salvator Rosa: Battling Tritons,",Italian,Salvator Rosa,http://images.nortonsimon.org/viewer/index.php?id=M.1970.6.09.G,1615,1673,b7332e42e594
comp: 13-1/4 x 8-1/2 in. (33.7 x 21.6 cm); sheet: 13-3/4 x 9 in. (34.9 x 22.9 cm),1663-1664,Norton Simon Art Foundation,"The Works of Salvator Rosa: Jason and the Dragon,",Italian,Salvator Rosa,http://images.nortonsimon.org/viewer/index.php?id=M.1970.6.15.G,1615,1673,ade0ad09535b
21 x 16-1/2 in. (53.3 x 41.9 cm),1475-1480,The Norton Simon Foundation,"Madonna and Child with Two Cherubim,",Italian,Antoniazzo Romano,http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.056.P,1452,1508,a59172a6e4ee
109 x 166 in. (276.9 x 421.6 cm),1630-1635,Norton Simon Art Foundation,"The Death of Dido,",Italian,Giovanni Francesco Romanelli,http://images.nortonsimon.org/viewer/index.php?id=M.1969.27.P,1610,1662,39c49a00253c
83-3/4 x 28 x 60-1/2 in. (212.7 x 71.1 x 174.0 cm),1905,Norton Simon Art Foundation,"The Walking Man,",French,Auguste Rodin,http://images.nortonsimon.org/viewer/index.php?id=M.1966.05.S,1840,1917,fc14c73d4b57
79 x 38 x 59 in. (200.7 x 96.5 x 149.9 cm),1880,Norton Simon Art Foundation,"The Thinker,",French,Auguste Rodin,http://images.nortonsimon.org/viewer/index.php?id=M.1970.2.S,1840,1917,dfd89b1a08d7
82-1/2 x 93-1/2 x 70-3/4 in. (209.6 x 237.5 x 179.7 cm),1884-1895,Norton Simon Art Foundation,"The Burghers of Calais,",French,Auguste Rodin,http://images.nortonsimon.org/viewer/index.php?id=M.1968.04.S,1840,1917,39ffcf6edbdd
78-3/4 x 28 x 50 in. (200.0 x 71.1 x 127.0 cm),1878-1880,The Norton Simon Foundation,"Saint John the Baptist,",French,Auguste Rodin,http://images.nortonsimon.org/viewer/index.php?id=F.1970.11.S,1840,1917,230aac59cfcf
84-1/4 x 39-1/2 x 47-3/4 in. (214.0 x 100.3 x 121.3 cm),1884-1895,The Norton Simon Foundation,"Pierre de Wissant, Vetu,",French,Auguste Rodin,http://images.nortonsimon.org/viewer/index.php?id=F.1984.1.1.S,1840,1917,bb9f989fd339
77-3/4 x 38-1/2 x 44-3/4 in. (197.5 x 97.8 x 113.7 cm),1884-1895,The Norton Simon Foundation,"Pierre de Wissant, Nude,",French,Auguste Rodin,http://images.nortonsimon.org/viewer/index.php?id=F.1984.1.2.S,1840,1917,29aed1712d40
107 x 44 x 48 in. (271.8 x 111.8 x 121.9 cm),1897,Norton Simon Art Foundation,"Monument to Balzac,",French,Auguste Rodin,http://images.nortonsimon.org/viewer/index.php?id=M.1966.09.S,1840,1917,7e4888144d1f
81-7/8 x 31 x  47 in. (208.0 x 78.7 x 119.4 cm),1884-1895,The Norton Simon Foundation,"Jean de Fiennes, Vetu,",French,Auguste Rodin,http://images.nortonsimon.org/viewer/index.php?id=F.1984.1.3.S,1840,1917,5927ac6211f2
109 x 166 in. (276.9 x 421.6 cm),1630-1635,Norton Simon Art Foundation,"Dido's Sacrifice to Juno,",Italian,Giovanni Francesco Romanelli,http://images.nortonsimon.org/viewer/index.php?id=M.1969.26.1.P,1610,1662,06cb8ef3578f
109 x 192 in. (276.9 x 487.7 cm),1630-1635,The Norton Simon Foundation,"Dido Showing Aeneas Her Plans for Carthage,",Italian,Giovanni Francesco Romanelli,http://images.nortonsimon.org/viewer/index.php?id=F.1969.19.P,1610,1662,eb34210c4fee
18-3/4 x 13-1/8 in. (47.6 x 33.3 cm),1460,The Norton Simon Foundation,"Madonna and Child with Saint John the Baptist,",Italian,Antoniazzo Romano,http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.057.P,1452,1508,85969e727ca9
109 x 138 in. (276.9 x 350.5 cm),1630-1635,The Norton Simon Foundation,"Aeneas Leaving Dido,",Italian,Giovanni Francesco Romanelli,http://images.nortonsimon.org/viewer/index.php?id=F.1969.33.1.P,1610,1662,377606ae8a89
109 x 138 in. (276.9 x 350.5 cm),1630-1635,The Norton Simon Foundation,"Royal Hunt and Storm,",Italian,Giovanni Francesco Romanelli,http://images.nortonsimon.org/viewer/index.php?id=F.1969.33.2.P,1610,1662,74f24e20ed39
111 x 231 in. (281.9 x 586.7 cm),1630-1635,Norton Simon Art Foundation,"Dido's Banquet,",Italian,Giovanni Francesco Romanelli,http://images.nortonsimon.org/viewer/index.php?id=M.1969.26.2.P,1610,1662,b5f31ff589de
48 x 48 in. (121.9 x 121.9 cm),1941,"Norton Simon Museum, Gift of Mr. Cary Grant","The Flower Vendor (Girl with Lilies),",Mexican,Diego Rivera,http://images.nortonsimon.org/viewer/index.php?id=P.1980.2.3,1886,1957,9477646e0a80
26 x 18-1/4 in. (66.0 x 46.4 cm),mid 15th century,The Norton Simon Foundation,"Madonna and Child,",Italian,Cast from a model by Luca della Robbia,http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.107.S,1400,1482,7a9ddc8ef705
70 x 42 x 32 in. (177.8 x 106.7 x 81.3 cm),1914,Norton Simon Art Foundation,"Venus Victorious,",French,Pierre-Auguste Renoir,http://images.nortonsimon.org/viewer/index.php?id=M.1969.16.S,1841,1919,2f8b5875735c
13-1/8 x 10 in. (33.3 x 25.4 cm),1875-1877,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Young Woman in Black,",French,Pierre-Auguste Renoir,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.3.P,1841,1919,dffb05475b5e
24 x 39-1/2 in. (60.9 x 100.3 cm),1867-1868,The Norton Simon Foundation,"The Pont des Arts, Paris,",French,Pierre-Auguste Renoir,http://images.nortonsimon.org/viewer/index.php?id=F.1968.13.P,1841,1919,b58d4354a626
plate: 4-7/8 x 4-1/8 in. (12.4 x 10.5 cm); sheet: 4-15/16 x 4-3/16 in. (12.5 x 10.6 cm),1634,Norton Simon Art Foundation,"Christ and the Woman of Samaria Among Ruins,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.021.G,1606,1669,96a75657a1db
plate: 3-5/16 x 4-5/16 in. (8.4 x 11.0 cm); sheet: 3-5/16 x 4-5/16 in. (8.4 x 11.0 cm),1650,Norton Simon Art Foundation,"Canal with an Angler and Two Swans,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.082.G,1606,1669,8f45534d7b96
plate: 3-3/8 x 4-1/4 in. (8.6 x 10.8 cm); sheet: 3-7/16 x 4-3/8 in. (8.7 x 11.1 cm),1650,Norton Simon Art Foundation,"Canal with a Large Boat and Bridge (Het Schuytje Op de Voorgrondt),",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.083.G,1606,1669,4987f3e07eba
plate: 4-1/2 x 2-5/8 in. (11.4 x 6.7 cm); sheet: 4-1/2 x 2-11/16 in. (11.4 x 6.8 cm),1630,Norton Simon Art Foundation,"Beggar with a Wooden Leg,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.005.G,1606,1669,8461167c1e25
plate: 2-1/2 x 2-3/16 in. (6.4 x 5.6 cm); sheet: 2-1/2 x 2-3/16 in. (6.4  x 5.6 cm),1631,Norton Simon Art Foundation,"Bust of an Old Man with a Fur Cap and Flowing Beard, Nearly Full Face, Eyes Direct,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.012.G,1606,1669,1694294328db
plate: 4-5/8 x 2-3/4 in. (11.7 x 7.0 cm); sheet: 4-11/16 x 2-13/16 in. (11.9 x 7.1 cm),1630,Norton Simon Art Foundation,"Beggar Seated on a Bank,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.004.G,1606,1669,8a913e07824e
plate: 3-1/8 x 2-5/8 in. (7.9 x 6.7 cm); sheet: 3-1/2 x 2-13/16 in. (8.9 x 7.1 cm),1630,Norton Simon Art Foundation,"Beggar Man and Beggar Woman Conversing,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.002.G,1606,1669,719aeec39a7a
comp: 3-3/8 x 1-7/8 in. (8.6 x 4.8 cm); sheet: 3-1/2 x 2 in. (8.9 x 5.1 cm),1630,"Norton Simon Museum, Gift of Marion W. and James S. L. Jacobs","Beggar Leaning on a Stick, Facing Left,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=P.2001.03.1,1606,1669,11e3248ef401
plate: 6-1/4 x 8-3/16 in. (15.9 x 20.8 cm); sheet: 6-5/8 x 8-5/16 in. (16.8 x 21.1 cm),1657,Norton Simon Art Foundation,"Abraham Francen, Apothecary,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.106.G,1606,1669,755f4d3c2932
plate: 3-3/8 x 1-13/16 in. (8.6 x 4.6 cm); sheet: 3-7/16 x 1-7/8 in. (10.6 x 4.8 cm),1630,Norton Simon Art Foundation,"Beggar Leaning on a Stick, Facing Left,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.003.G,1606,1669,e3d93879f260
plate: 3-3/8 x 1-13/16 in. (8.6 x 4.6 cm); sheet: 3-7/16 x 1-7/8 in. (8.7 x 4.8 cm),1639,Norton Simon Art Foundation,"A Peasant in a High Cap, Standing Leaning on a Stick,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.038.G,1606,1669,56fb9d6cfed6
plate: 4-1/8 x 3-1/16 in. (10.5 x 7.8 cm); sheet: 4-3/16 x 3-3/16 in. (10.6 x 8.1 cm),1632,Norton Simon Art Foundation,"A Cavalry Fight,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.018.G,1606,1669,02e77bcbd35a
13 x 16-3/8 in. (33.0 x 41.5 cm),1892,Norton Simon Art Foundation,"Reclining Nude,",French,Pierre-Auguste Renoir,http://images.nortonsimon.org/viewer/index.php?id=M.1969.02.P,1841,1919,08f919cfceb4
14-3/4 x 10 in. (37.5 x 25.4 cm),1872,"The Norton Simon Foundation, Gift of Mr. Norton Simon","Nude,",French,Pierre-Auguste Renoir,http://images.nortonsimon.org/viewer/index.php?id=F.1982.1.P,1841,1919,9c3f75d75d12
21-1/4 x 25-3/4 in. (54 x 65.4 cm),1875-1880,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Bouquet of Lilacs,",French,Pierre-Auguste Renoir,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.193.P,1841,1919,3c3912a60ff3
18-1/8 x 15 in. (46 x 38.1 cm),1876,Norton Simon Art Foundation,"At Renoir's Home, rue St-Georges (formerly The Artist's Studio, rue St.-Georges),",French,Pierre-Auguste Renoir,http://images.nortonsimon.org/viewer/index.php?id=M.1978.13.1.P,1841,1919,6dd6266a9cbd
51-1/4 x 41-3/8 in. (130.2 x 105.1 cm),late 18th century,The Norton Simon Foundation,"The Cloister of the Augustinian Nuns,",French,Hubert Robert,http://images.nortonsimon.org/viewer/index.php?id=F.1981.2.P,1733,1808,1b8cc30ab701
plate: 4-15/16 x 6-1/2 in. (12.5 x 16.5 cm); sheet: 5-1/8 x 6-9/16 in. (13.0 x 16.7 cm),1658,Norton Simon Art Foundation,"Christ and the Woman of Samaria: An Arched Print,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.109.G,1606,1669,9eff96a301d0
26 x 20 in. (66.0 x 50.8 cm),1775,The Norton Simon Foundation,"The Fountain,",French,Hubert Robert,http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.055.P,1733,1808,75bc3926a346
plate: 3-3/4 x 3-1/4 in. (9.5 x 8.3 cm); sheet: 3-3/4 x 3-1/4 in. (9.5 x 8.3 cm),1637,Norton Simon Art Foundation,"Young Man in a Velvet Cap (Petrus Sylvius?),",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.030.G,1606,1669,8fd0b0879b44
plate: 5-1/2 x 8-3/16 in. (14.0 x 20.8 cm); sheet:  5-11/16 x 8-1/4 in. (14.4 x 21.0 cm),1645,Norton Simon Art Foundation,"Cottages Beside a Canal:  a View of Diemen,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.068.G,1606,1669,47c7d0cf2554
7-5/16 x 6-3/16 in. (18.6 x 15.7 cm),1641,Norton Simon Art Foundation,"Cornelis Claesz Anslo, Mennonite Preacher,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.117.G,1606,1669,f85119d8782f
plate: 4-7/8 x 8-5/16 in. (12.4 x 21.1 cm); sheet: 4-15/16 x 8-3/8 in. (12.5 x 21.3 cm),1652,Norton Simon Art Foundation,"Clump of Trees with a Vista,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.097.G,1606,1669,e82b50fbf26d
plate: 8-3/16 x 6-3/8 in. (20.8 x 16.2 cm); sheet: 8-3/16 x 6-3/8 in. (20.8 x 16.2 cm),1651,Norton Simon Art Foundation,"Clement de Jonghe, Printseller,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.091.G,1606,1669,97298d5a8da9
plate: 3-3/4 x 5-3/4 in. (9.5 x 14.6 cm); sheet: 3-13/16 x 5-13/16 in. (9.7 x 14.8 cm),1654,Norton Simon Art Foundation,"Christ Returning from the Temple with His Parents,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.104.G,1606,1669,c47307ef6903
6-3/8 x 8-3/8 in. (16.2 x 21.3 cm),1652,Norton Simon Art Foundation,"Christ Preaching ('La Petite Tombe'),",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.095a.G,1606,1669,060107ced5a2
plate: 6-1/8 x 8-3/16 in. (15.6 x 20.8 cm); sheet: 7-1/4 x 8-1/4 in. (18.4 x 21.0 cm),1652,Norton Simon Art Foundation,"Christ Preaching ('La Petite Tombe'),",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.095.G,1606,1669,8623a9124df6
plate: 5-5/16 x 6-5/8 in. (13.5 x 16.8 cm); sheet: 6-3/8 x 7-13/16 in. (16.2 x 19.8 cm),1635,Norton Simon Art Foundation,"Christ Driving the Moneychangers from the Temple,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.024.G,1606,1669,3779455069b0
comp: 13-1/8 x 17-1/4 in. (33.3 x 43.8 cm); sheet: 13-1/8 x 17-1/4 in. (33.3 x 43.8 cm),1653,Norton Simon Art Foundation,"Christ Crucified between the Two Thieves: Long Oblong Plate (the ""Three Crosses""),",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1979.26.G,1606,1669,c473ea0b937d
comp: 6-1/2 x 4-7/8 in. (16.5 x 12.4 cm); mount: 11-3/8 x 7-3/4 in. (28.9 x 19.7 cm),1920,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Head of a Man,",German,Hans Reichel,http://images.nortonsimon.org/viewer/index.php?id=P.1953.308,1892,1958,f6cde22dffef
Paper: 6 x 6 in. (15.2 x 15.2 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1971","Hommage a Klee,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.018,1916,2005,06ad0a35ff92
Paper: 6 x 6 in. (15.2 x 15.2 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1971","Hommage a Klee,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.017,1916,2005,bd817826a8e6
119 x 240 x 10-1/2 in. (302.3 x 609.6 x 26.7 cm),1965-1967,"Norton Simon Museum, Gift of the Artist","Green Shirt,",American,Robert Rauschenberg,http://images.nortonsimon.org/viewer/index.php?id=P.1969.141,1925,2008,9f865088faee
Paper: 6 x 6 in. (15.2 x 15.2 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1971","Hommage a Klee,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.016,1916,2005,3c15492de72b
Paper: 6 x 6 in. (15.2 x 15.2 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1971","Hommage a Klee,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.015,1916,2005,430f285f57f1
Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1968","Hommage a Kandinsky,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.147,1916,2005,ab48eff2b18b
plate: 4-3/8 x 3-1/8 in. (11.1 x .4 cm); sheet: 6-1/4 x 4-7/8 in. (11.1 x 7.9 cm),1639,Norton Simon Art Foundation,"Death Appearing to a Wedded Couple from an Open Grave,",Dutch,Rembrandt van Rijn,http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.039.G,1606,1669,36ee9f57f439
Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1968","Hommage a Kandinsky,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.146,1916,2005,28fb082ff9a4
Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1968","Hommage a Kandinsky,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.145,1916,2005,0b4dc933261d
Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1968","Hommage a Kandinsky,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.144,1916,2005,9faca8e6e101
Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1968","Hommage a Kandinsky,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.143,1916,2005,264ac5e048a4
Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1968","Hommage a Kandinsky,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.142,1916,2005,68d1ccc1f28d
Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1968","Hommage a Kandinsky,",American,Jesse Reichek,http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.141,1916,2005,b7ef09131bc2
